model,layer,component,mean,std,shape,avgable,replaceable
deepseek-coder-7b-instruct-v1.5,2,layer_full,1.486224263473124,-1.668699458913937,layer_full,True,False
deepseek-coder-7b-instruct-v1.5,3,layer_full,1.2561131981849945,-0.9307660700619381,layer_full,True,False
deepseek-coder-7b-instruct-v1.5,5,layer_full,-0.7806790550401946,-0.7664756541404828,layer_full,True,False
deepseek-coder-7b-instruct-v1.5,8,layer_full,-1.2622079451415686,-0.6362696376282309,layer_full,True,False
deepseek-coder-7b-instruct-v1.5,9,layer_full,0.424518295715875,-1.1165020964740169,layer_full,True,False
deepseek-coder-7b-instruct-v1.5,12,layer_full,-0.9084685436610576,-0.7914402417279154,layer_full,True,False
deepseek-coder-7b-instruct-v1.5,13,layer_full,-0.7822767255637522,-1.2249896856606408,layer_full,True,False
deepseek-coder-7b-instruct-v1.5,15,layer_full,-1.25233265958762,-0.6597119608940838,layer_full,True,False
deepseek-coder-7b-instruct-v1.5,16,layer_full,-1.3208637242120107,-0.6644703804572469,layer_full,True,False
deepseek-coder-7b-instruct-v1.5,17,layer_full,-0.7278591981824648,-0.38867899761687463,layer_full,True,False
deepseek-coder-7b-instruct-v1.5,18,layer_full,-0.9908372229877198,-0.12471024706123308,layer_full,True,False
deepseek-coder-7b-instruct-v1.5,19,layer_full,-0.08346378366238777,-0.044014142280431406,layer_full,True,True
deepseek-coder-7b-instruct-v1.5,20,layer_full,-0.5369442959629478,0.2009088446583235,layer_full,True,True
deepseek-coder-7b-instruct-v1.5,21,layer_full,-0.5107414274153047,0.5082815061526207,layer_full,True,True
deepseek-coder-7b-instruct-v1.5,22,layer_full,0.7503086960401821,0.7815970682551205,layer_full,True,True
deepseek-coder-7b-instruct-v1.5,23,layer_full,0.7655762017125388,0.842794063183026,layer_full,True,True
deepseek-coder-7b-instruct-v1.5,24,layer_full,0.575866665080854,0.8695336659498331,layer_full,True,True
deepseek-coder-7b-instruct-v1.5,25,layer_full,0.8544992121932197,1.2086778533526938,layer_full,True,True
deepseek-coder-7b-instruct-v1.5,26,layer_full,0.5575050597324391,1.4175131664305478,layer_full,True,True
deepseek-coder-7b-instruct-v1.5,28,layer_full,0.4061966539304887,1.6707201169493182,layer_full,True,True
deepseek-coder-7b-instruct-v1.5,29,layer_full,2.079866335353314,1.5167022879854306,layer_full,True,False
deepseek-math-7b-instruct,2,layer_full,1.6321339126402397,-2.644505818180019,layer_full,True,False
deepseek-math-7b-instruct,20,layer_full,-0.7842154007965464,-0.6407633220030483,layer_full,True,False
deepseek-math-7b-instruct,21,layer_full,-1.6394701835889076,-0.25613699615969154,layer_full,True,True
deepseek-math-7b-instruct,22,layer_full,0.44841842577913765,0.18222086388221304,layer_full,True,True
deepseek-math-7b-instruct,23,layer_full,-0.14706558496179126,0.2861851209690735,layer_full,True,True
deepseek-math-7b-instruct,24,layer_full,-0.4635157946182041,0.36562823303131636,layer_full,True,True
deepseek-math-7b-instruct,25,layer_full,0.12817981856787417,0.7459575301842976,layer_full,True,True
deepseek-math-7b-instruct,26,layer_full,-0.39529761250080053,0.9526333428565691,layer_full,True,True
deepseek-math-7b-instruct,27,layer_full,-0.8260654309698333,0.7258571175708091,layer_full,True,True
deepseek-math-7b-instruct,28,layer_full,0.4552242420660452,0.49555260072132523,layer_full,True,True
deepseek-math-7b-instruct,29,layer_full,1.5916736083827865,-0.21262867287283074,layer_full,True,True
