op,component,layer,models
merge,attn_q,15,"Llama-3.1-8B-Instruct-multi-truth-judge:15,Llama-3.1-8B-UltraMedical:15,Llama-3.1-Hawkish-8B:15,Llama-SafetyGuard-Content-Binary:15,calme-2.3-legalkit-8b:15"
merge,attn_k,15,"Llama-3.1-8B-Instruct-multi-truth-judge:15,Llama-3.1-8B-UltraMedical:15,Llama-3.1-Hawkish-8B:15,Llama-SafetyGuard-Content-Binary:15,calme-2.3-legalkit-8b:15"
merge,attn_v,15,"Llama-3.1-8B-Instruct-multi-truth-judge:15,Llama-3.1-8B-UltraMedical:15,Llama-3.1-Hawkish-8B:15,Llama-SafetyGuard-Content-Binary:15,calme-2.3-legalkit-8b:15"
merge,attn_o,15,"Llama-3.1-8B-Instruct-multi-truth-judge:15,Llama-3.1-8B-UltraMedical:15,Llama-3.1-Hawkish-8B:15,Llama-SafetyGuard-Content-Binary:15,calme-2.3-legalkit-8b:15"
merge,mlp_gate,15,"Llama-3.1-8B-Instruct-multi-truth-judge:15,Llama-3.1-8B-UltraMedical:15,Llama-3.1-Hawkish-8B:15,Llama-SafetyGuard-Content-Binary:15,calme-2.3-legalkit-8b:15"
merge,mlp_up,15,"Llama-3.1-8B-Instruct-multi-truth-judge:15,Llama-3.1-8B-UltraMedical:15,Llama-3.1-Hawkish-8B:15,Llama-SafetyGuard-Content-Binary:15,calme-2.3-legalkit-8b:15"
merge,mlp_down,15,"Llama-3.1-8B-Instruct-multi-truth-judge:15,Llama-3.1-8B-UltraMedical:15,Llama-3.1-Hawkish-8B:15,Llama-SafetyGuard-Content-Binary:15,calme-2.3-legalkit-8b:15"
merge,attn_q,24,"Llama-3.1-8B-Instruct-multi-truth-judge:24,calme-2.3-legalkit-8b:24"
merge,attn_k,24,"Llama-3.1-8B-Instruct-multi-truth-judge:24,calme-2.3-legalkit-8b:24"
merge,attn_v,24,"Llama-3.1-8B-Instruct-multi-truth-judge:24,calme-2.3-legalkit-8b:24"
merge,attn_o,24,"Llama-3.1-8B-Instruct-multi-truth-judge:24,calme-2.3-legalkit-8b:24"
merge,mlp_gate,24,"Llama-3.1-8B-Instruct-multi-truth-judge:24,calme-2.3-legalkit-8b:24"
merge,mlp_up,24,"Llama-3.1-8B-Instruct-multi-truth-judge:24,calme-2.3-legalkit-8b:24"
merge,mlp_down,24,"Llama-3.1-8B-Instruct-multi-truth-judge:24,calme-2.3-legalkit-8b:24"
merge,attn_q,26,"Llama-3.1-8B-Instruct-multi-truth-judge:26,Llama-3.1-8B-UltraMedical:26,Llama-SafetyGuard-Content-Binary:26,calme-2.3-legalkit-8b:26"
merge,attn_k,26,"Llama-3.1-8B-Instruct-multi-truth-judge:26,Llama-3.1-8B-UltraMedical:26,Llama-SafetyGuard-Content-Binary:26,calme-2.3-legalkit-8b:26"
merge,attn_v,26,"Llama-3.1-8B-Instruct-multi-truth-judge:26,Llama-3.1-8B-UltraMedical:26,Llama-SafetyGuard-Content-Binary:26,calme-2.3-legalkit-8b:26"
merge,attn_o,26,"Llama-3.1-8B-Instruct-multi-truth-judge:26,Llama-3.1-8B-UltraMedical:26,Llama-SafetyGuard-Content-Binary:26,calme-2.3-legalkit-8b:26"
merge,mlp_gate,26,"Llama-3.1-8B-Instruct-multi-truth-judge:26,Llama-3.1-8B-UltraMedical:26,Llama-SafetyGuard-Content-Binary:26,calme-2.3-legalkit-8b:26"
merge,mlp_up,26,"Llama-3.1-8B-Instruct-multi-truth-judge:26,Llama-3.1-8B-UltraMedical:26,Llama-SafetyGuard-Content-Binary:26,calme-2.3-legalkit-8b:26"
merge,mlp_down,26,"Llama-3.1-8B-Instruct-multi-truth-judge:26,Llama-3.1-8B-UltraMedical:26,Llama-SafetyGuard-Content-Binary:26,calme-2.3-legalkit-8b:26"
merge,attn_q,31,"Llama-3.1-8B-Instruct-multi-truth-judge:31,Llama-SafetyGuard-Content-Binary:31,calme-2.3-legalkit-8b:31"
merge,attn_k,31,"Llama-3.1-8B-Instruct-multi-truth-judge:31,Llama-SafetyGuard-Content-Binary:31,calme-2.3-legalkit-8b:31"
merge,attn_v,31,"Llama-3.1-8B-Instruct-multi-truth-judge:31,Llama-SafetyGuard-Content-Binary:31,calme-2.3-legalkit-8b:31"
merge,attn_o,31,"Llama-3.1-8B-Instruct-multi-truth-judge:31,Llama-SafetyGuard-Content-Binary:31,calme-2.3-legalkit-8b:31"
merge,mlp_gate,31,"Llama-3.1-8B-Instruct-multi-truth-judge:31,Llama-SafetyGuard-Content-Binary:31,calme-2.3-legalkit-8b:31"
merge,mlp_up,31,"Llama-3.1-8B-Instruct-multi-truth-judge:31,Llama-SafetyGuard-Content-Binary:31,calme-2.3-legalkit-8b:31"
merge,mlp_down,31,"Llama-3.1-8B-Instruct-multi-truth-judge:31,Llama-SafetyGuard-Content-Binary:31,calme-2.3-legalkit-8b:31"
