op,component,layer,models
merge,attn_q,25,"Llama-3.1-8B-Instruct-multi-truth-judge:18,Llama-3.1-8B-UltraMedical:25,Llama-3.1-Hawkish-8B:26,Llama-SafetyGuard-Content-Binary:25,calme-2.3-legalkit-8b:25"
merge,attn_k,25,"Llama-3.1-8B-Instruct-multi-truth-judge:18,Llama-3.1-8B-UltraMedical:25,Llama-3.1-Hawkish-8B:26,Llama-SafetyGuard-Content-Binary:25,calme-2.3-legalkit-8b:25"
merge,attn_v,25,"Llama-3.1-8B-Instruct-multi-truth-judge:18,Llama-3.1-8B-UltraMedical:25,Llama-3.1-Hawkish-8B:26,Llama-SafetyGuard-Content-Binary:25,calme-2.3-legalkit-8b:25"
merge,attn_o,25,"Llama-3.1-8B-Instruct-multi-truth-judge:18,Llama-3.1-8B-UltraMedical:25,Llama-3.1-Hawkish-8B:26,Llama-SafetyGuard-Content-Binary:25,calme-2.3-legalkit-8b:25"
merge,mlp_gate,25,"Llama-3.1-8B-Instruct-multi-truth-judge:18,Llama-3.1-8B-UltraMedical:25,Llama-3.1-Hawkish-8B:26,Llama-SafetyGuard-Content-Binary:25,calme-2.3-legalkit-8b:25"
merge,mlp_up,25,"Llama-3.1-8B-Instruct-multi-truth-judge:18,Llama-3.1-8B-UltraMedical:25,Llama-3.1-Hawkish-8B:26,Llama-SafetyGuard-Content-Binary:25,calme-2.3-legalkit-8b:25"
merge,mlp_down,25,"Llama-3.1-8B-Instruct-multi-truth-judge:18,Llama-3.1-8B-UltraMedical:25,Llama-3.1-Hawkish-8B:26,Llama-SafetyGuard-Content-Binary:25,calme-2.3-legalkit-8b:25"
merge,attn_q,10,"Llama-3.1-8B-Instruct-multi-truth-judge:11,Llama-3.1-8B-UltraMedical:10,Llama-SafetyGuard-Content-Binary:10,calme-2.3-legalkit-8b:10"
merge,attn_k,10,"Llama-3.1-8B-Instruct-multi-truth-judge:11,Llama-3.1-8B-UltraMedical:10,Llama-SafetyGuard-Content-Binary:10,calme-2.3-legalkit-8b:10"
merge,attn_v,10,"Llama-3.1-8B-Instruct-multi-truth-judge:11,Llama-3.1-8B-UltraMedical:10,Llama-SafetyGuard-Content-Binary:10,calme-2.3-legalkit-8b:10"
merge,attn_o,10,"Llama-3.1-8B-Instruct-multi-truth-judge:11,Llama-3.1-8B-UltraMedical:10,Llama-SafetyGuard-Content-Binary:10,calme-2.3-legalkit-8b:10"
merge,mlp_gate,10,"Llama-3.1-8B-Instruct-multi-truth-judge:11,Llama-3.1-8B-UltraMedical:10,Llama-SafetyGuard-Content-Binary:10,calme-2.3-legalkit-8b:10"
merge,mlp_up,10,"Llama-3.1-8B-Instruct-multi-truth-judge:11,Llama-3.1-8B-UltraMedical:10,Llama-SafetyGuard-Content-Binary:10,calme-2.3-legalkit-8b:10"
merge,mlp_down,10,"Llama-3.1-8B-Instruct-multi-truth-judge:11,Llama-3.1-8B-UltraMedical:10,Llama-SafetyGuard-Content-Binary:10,calme-2.3-legalkit-8b:10"
merge,attn_q,8,"Llama-3.1-8B-Instruct-multi-truth-judge:2,Llama-3.1-8B-UltraMedical:11,Llama-SafetyGuard-Content-Binary:11,calme-2.3-legalkit-8b:8"
merge,attn_k,8,"Llama-3.1-8B-Instruct-multi-truth-judge:2,Llama-3.1-8B-UltraMedical:11,Llama-SafetyGuard-Content-Binary:11,calme-2.3-legalkit-8b:8"
merge,attn_v,8,"Llama-3.1-8B-Instruct-multi-truth-judge:2,Llama-3.1-8B-UltraMedical:11,Llama-SafetyGuard-Content-Binary:11,calme-2.3-legalkit-8b:8"
