layer,group,base_mean,tgt_mean,delta_mean,base_std,tgt_std,delta_std,cosine
0,attn,3.167754462390964e-06,2.505816565621195e-06,-6.619378967697689e-07,0.023546671680584944,0.01996553794265574,-0.003581133737929204,0.3624893866742572
0,mlp,-2.1241873443410245e-06,6.962853737579438e-06,9.087041081920463e-06,0.02840882731767666,0.028240165057079582,-0.00016866226059707862,0.28881438262752607
1,attn,9.978881531742871e-06,4.563833252622815e-06,-5.415048279120056e-06,0.031306679296087485,0.02646468008713029,-0.004841999208957195,0.4349842313357791
1,mlp,3.7836098765154538e-06,1.1142037648658254e-06,-2.6694061116496286e-06,0.03202576833135618,0.03141215638275243,-0.0006136119486037511,0.37059834913517936
2,attn,1.5258643169879316e-06,-7.354979442541066e-07,-2.2613622612420383e-06,0.03396045816132871,0.032826821769467024,-0.0011336363918616893,0.4317285378976485
2,mlp,2.164168545181481e-05,1.7239215581918997e-05,-4.402469869895812e-06,0.03277699355374928,0.0321281392205524,-0.0006488543331968771,0.36648955840900316
3,attn,-1.652133310614816e-06,-4.825893670857607e-06,-3.173760360242791e-06,0.03479058205097805,0.03356623161941538,-0.0012243504315626666,0.41309135296495825
3,mlp,2.0342437533107383e-05,1.7464307208242353e-05,-2.8781303248650306e-06,0.032861461658190726,0.0323436232247016,-0.0005178384334891262,0.352775375044734
4,attn,-7.511658497463944e-06,-4.411530167446229e-06,3.100128330017715e-06,0.034208670041955144,0.033633010036915295,-0.0005756600050398492,0.3987162429914975
4,mlp,7.92706574403717e-06,-2.3350734250066043e-06,-1.0262139169043774e-05,0.032757316905656184,0.03245426421744353,-0.00030305268821265163,0.353340278216742
5,attn,-5.019296857463294e-07,-2.2850634540215537e-06,-1.7831337682752243e-06,0.033917605201492,0.033255966425883916,-0.0006616387756080838,0.3840535196023297
5,mlp,9.04658837699242e-06,2.3368481270906989e-07,-8.81290356428335e-06,0.03282409625356107,0.0326339435765696,-0.00019015267699146882,0.3687899120190151
6,attn,-7.3849884254963e-08,1.4794179133969534e-06,1.5532677976519164e-06,0.034284086926101964,0.03365421203784077,-0.0006298748882611963,0.4312661436220073
6,mlp,9.950394255855397e-07,-7.870100177756289e-06,-8.865139603341828e-06,0.032796178636062885,0.032780280438886214,-1.5898197176671125e-05,0.3708290276519751
7,attn,4.888669575335547e-06,2.2432103910985574e-06,-2.6454591842369893e-06,0.033545043694794,0.03320694350373803,-0.0003381001910559636,0.44158057727501
7,mlp,1.898160431271428e-05,-6.912236942596159e-07,-1.9672828006973896e-05,0.03243792784479881,0.032662817727682064,0.00022488988288325157,0.3962525402381707
8,attn,1.186355252406104e-06,-4.124631403501847e-06,-5.310986655907951e-06,0.033820788392154105,0.03354223616386475,-0.00027855222828935405,0.44735785466473416
8,mlp,1.0025119952921165e-05,-2.629227076959564e-06,-1.2654347029880729e-05,0.03209579322736635,0.03259297490285086,0.0004971816754845079,0.40644157542242304
9,attn,-3.924030261705209e-06,-1.7505456041478888e-06,2.17348465755732e-06,0.03314662463024089,0.03281131386277595,-0.0003353107674649372,0.4759717943454196
9,mlp,1.357920458615415e-05,9.418194119583096e-06,-4.161010466571054e-06,0.03235215723808687,0.03257760320835216,0.00022544597026528945,0.40735528346901434
10,attn,-7.473641142563764e-07,-1.3804105877693405e-06,-6.33046473512964e-07,0.03296937259819491,0.03286706423410273,-0.00010230836409217542,0.4646739661854036
