layer,group,base_mean,tgt_mean,delta_mean,base_std,tgt_std,delta_std,cosine
0,attn,3.167754462390964e-06,1.5989750398812438e-07,-3.0078569584028395e-06,0.023546671680584944,0.023585212790730628,3.8541110145683816e-05,0.32200775539316195
0,mlp,-2.1241873443410245e-06,1.7040257334786024e-05,1.916444467912705e-05,0.02840882731767666,0.03468866983194767,0.0062798425142710085,0.24724512097259496
1,attn,9.978881531742871e-06,5.914230007978902e-06,-4.064651523763969e-06,0.031306679296087485,0.031951178107092956,0.0006444988110054714,0.39322461512818235
1,mlp,3.7836098765154538e-06,4.127399802726932e-06,3.4378992621147795e-07,0.03202576833135618,0.03803991503900545,0.0060141467076492705,0.3266528142290402
2,attn,1.5258643169879316e-06,5.457887030926628e-06,3.932022713938697e-06,0.03396045816132871,0.039193993542448555,0.0052335353811198415,0.39444952762907476
2,mlp,2.164168545181481e-05,2.029344922206629e-05,-1.3482362297485189e-06,0.03277699355374928,0.038655798181249326,0.005878804627500046,0.3186307815807125
3,attn,-1.652133310614816e-06,-5.453280753640974e-06,-3.8011474430261582e-06,0.03479058205097805,0.04006114515457295,0.005270563103594902,0.37795384241123875
3,mlp,2.0342437533107383e-05,1.2644435387374008e-05,-7.698002145733376e-06,0.032861461658190726,0.03870871767425476,0.005847256016064034,0.30488345911333353
4,attn,-7.511658497463944e-06,-1.2091318077606886e-05,-4.579659580142943e-06,0.034208670041955144,0.03979897951627395,0.005590309474318808,0.3630545498571592
4,mlp,7.92706574403717e-06,-6.362621630062324e-06,-1.4289687374099493e-05,0.032757316905656184,0.038688609486711246,0.005931292581055063,0.3088268240837858
5,attn,-5.019296857463294e-07,-4.083751767066453e-06,-3.5818220813201235e-06,0.033917605201492,0.03945087027396182,0.005533265072469817,0.3494252496104962
5,mlp,9.04658837699242e-06,-7.213157331451745e-07,-9.767904110137595e-06,0.03282409625356107,0.038941018454438814,0.006116922200877742,0.3289707972879931
6,attn,-7.3849884254963e-08,-1.8865370319195193e-06,-1.8126871476645563e-06,0.034284086926101964,0.039997611594686594,0.00571352466858463,0.39720808587355605
6,mlp,9.950394255855397e-07,-7.786956071780723e-06,-8.781995497366262e-06,0.032796178636062885,0.03905667356612569,0.006260494930062803,0.3334165838352607
7,attn,4.888669575335547e-06,3.8921634661441676e-06,-9.965061091913792e-07,0.033545043694794,0.03942934540084477,0.005884301706050775,0.40943753683239353
7,mlp,1.898160431271428e-05,1.5508929814554883e-06,-1.7430711331258793e-05,0.03243792784479881,0.03889283030315327,0.006454902458354457,0.3629492559177381
8,attn,1.186355252406104e-06,-6.104501434784856e-06,-7.29085668719096e-06,0.033820788392154105,0.03969046548627605,0.005869677094121943,0.41778582212352344
8,mlp,1.0025119952921165e-05,-1.8317975414138546e-06,-1.185691749433502e-05,0.03209579322736635,0.03864914577823358,0.006553352550867225,0.3765963584458716
9,attn,-3.924030261705209e-06,-4.967970031945646e-06,-1.0439397702404374e-06,0.03314662463024089,0.0387820698216642,0.005635445191423311,0.449174153873502
