layer,group,base_mean,tgt_mean,delta_mean,base_std,tgt_std,delta_std,cosine
0,attn,-1.1120894495328638e-06,-1.096422151832064e-06,1.5667297700799878e-08,0.01573402411673641,0.015665818727989046,-6.82053887473659e-05,0.9985176294686146
0,mlp,2.1113557012555176e-06,2.2061204984350234e-06,9.476479717950578e-08,0.012156164131466784,0.012130377386630038,-2.5786744836745965e-05,0.9972996348395561
1,attn,-1.938209889913324e-06,-1.8893091419829033e-06,4.8900747930420725e-08,0.016505592864955582,0.016442261698659043,-6.333116629653884e-05,0.9990778147177732
1,mlp,-1.6431376172718364e-07,-8.193483587988939e-08,8.237892584729425e-08,0.012337444274548082,0.012321261809353268,-1.6182465194813228e-05,0.9964616551105984
2,attn,-1.884910066654176e-06,-1.787559908134409e-06,9.73501585197671e-08,0.016030083932831198,0.0159653254818709,-6.475845096029845e-05,0.9990935201157106
2,mlp,-5.57910501443672e-07,-3.6236278593298076e-07,1.9554771551069125e-07,0.012436157590197757,0.012407287314652396,-2.8870275545361118e-05,0.997436392352417
3,attn,-2.493523874484878e-06,-2.358525208535217e-06,1.3499866594966084e-07,0.01640106883477274,0.016336261835443802,-6.480699932893616e-05,0.9990296373100731
3,mlp,-1.1613271191154296e-06,-9.89881128035651e-07,1.7144599107977868e-07,0.012554563789077353,0.01252274599860938,-3.181779046797402e-05,0.9975943986741084
4,attn,-3.4468121160376177e-06,-3.281396598565911e-06,1.6541551747170672e-07,0.016325502421920754,0.016260437398816968,-6.506502310378581e-05,0.9990914922647595
4,mlp,-4.2478686543677525e-06,-4.136368766097755e-06,1.1149988826999782e-07,0.01266192833669447,0.012627403302993646,-3.452503370082391e-05,0.9977556635881781
5,attn,-2.6004757600163203e-06,-2.739910984487365e-06,-1.3943522447104452e-07,0.016042242953201856,0.015978238065322295,-6.400488787956099e-05,0.9989923691853141
5,mlp,2.337799001716193e-06,2.4714567277767794e-06,1.3365772606058642e-07,0.012687339239605702,0.012652692982063764,-3.464625754193845e-05,0.9977767972014144
6,attn,2.460225104901532e-06,2.5967726167103884e-06,1.3654751180885628e-07,0.016341721814209835,0.01627608804880427,-6.563376540556429e-05,0.9989502185068325
6,mlp,5.210469781739897e-06,5.229252135427171e-06,1.878235368727446e-08,0.012701840040398753,0.012667733854150891,-3.4106186247861645e-05,0.9977418888975031
7,attn,-3.009431305209698e-07,-2.5367851403286513e-07,4.726461648810467e-08,0.01608337725374508,0.016019834132651282,-6.354312109379742e-05,0.9989574352379679
7,mlp,5.422387994390342e-06,5.322723466623934e-06,-9.966452776640795e-08,0.012689135065536651,0.01265629141301497,-3.2843652521681935e-05,0.997621473671923
