layer,group,base_mean,tgt_mean,delta_mean,base_std,tgt_std,delta_std,cosine
0,attn,-1.1120894495328638e-06,-1.1372770071648672e-06,-2.5187557632003318e-08,0.01573402411673641,0.015653430627590063,-8.059348914634876e-05,0.9996233043004592
0,mlp,2.1113557012555176e-06,2.066472118344855e-06,-4.488358291066263e-08,0.012156164131466784,0.012108304126969373,-4.786000449741139e-05,0.9991251700623123
1,attn,-1.938209889913324e-06,-1.857840062912731e-06,8.036982700059295e-08,0.016505592864955582,0.016433410387416227,-7.218247753935578e-05,0.9996294196452805
1,mlp,-1.6431376172718364e-07,-1.7929028241333787e-07,-1.4976520686154228e-08,0.012337444274548082,0.012288461024188601,-4.898325035948038e-05,0.9991190881689287
2,attn,-1.884910066654176e-06,-1.8374195836696507e-06,4.749048298452541e-08,0.016030083932831198,0.015958268815103503,-7.181511772769503e-05,0.9995342046238238
2,mlp,-5.57910501443672e-07,-5.33227673571695e-07,2.4682827871977026e-08,0.012436157590197757,0.012386888887882617,-4.926870231513995e-05,0.9990730597824706
3,attn,-2.493523874484878e-06,-2.38163061964166e-06,1.1189325484321794e-07,0.01640106883477274,0.016328023342570924,-7.304549220181478e-05,0.9995389001305102
3,mlp,-1.1613271191154296e-06,-1.1172365761801762e-06,4.409054293525347e-08,0.012554563789077353,0.012504396827861778,-5.016696121557494e-05,0.9990491881815018
4,attn,-3.4468121160376177e-06,-3.2724735250727525e-06,1.7433859096486516e-07,0.016325502421920754,0.01625306675660743,-7.243566531332443e-05,0.999528327695718
4,mlp,-4.2478686543677525e-06,-4.195212320600578e-06,5.265633376717493e-08,0.01266192833669447,0.01261110888493449,-5.081945175998068e-05,0.9990355851844558
5,attn,-2.6004757600163203e-06,-2.605463232977672e-06,-4.987472961351725e-09,0.016042242953201856,0.015970517804584264,-7.17251486175921e-05,0.9994664830534702
5,mlp,2.337799001716193e-06,2.3845252423495066e-06,4.672624063331363e-08,0.012687339239605702,0.012637138584183371,-5.0200655422331236e-05,0.9989941581834207
6,attn,2.460225104901532e-06,2.3946849341795954e-06,-6.554017072193663e-08,0.016341721814209835,0.016267348611247304,-7.43732029625313e-05,0.9994676323293892
6,mlp,5.210469781739897e-06,5.2552962091982316e-06,4.482642745833484e-08,0.012701840040398753,0.012652235395487961,-4.9604644910791404e-05,0.9989536635816446
7,attn,-3.009431305209698e-07,-3.8153960461844576e-07,-8.059647409747596e-08,0.01608337725374508,0.016011827205714854,-7.155004803022572e-05,0.9994654738678599
7,mlp,5.422387994390342e-06,5.437892515592268e-06,1.550452120192576e-08,0.012689135065536651,0.012639926067634989,-4.920899790166258e-05,0.9989047159067522
8,attn,-2.5714246774116365e-06,-2.371403740288188e-06,2.000209371234485e-07,0.01608661118726823,0.016016272288949765,-7.03388983184644e-05,0.9994391503118072
8,mlp,-1.8828434473739068e-06,-1.928882642691274e-06,-4.6039195317367203e-08,0.012685578759491901,0.012636478276747614,-4.910048274428709e-05,0.9988660704812242
9,attn,-1.8175367769453396e-06,-1.7910823368072395e-06,2.6454440138100028e-08,0.016323817941971724,0.016248418630922138,-7.53993110495857e-05,0.9994065130141763
9,mlp,-4.57086247886318e-07,-4.2384668055556753e-07,3.323956733075045e-08,0.012800601280887856,0.01275099367444878,-4.960760643907616e-05,0.9988472804133988
10,attn,2.4826323650268947e-06,2.487468733194942e-06,4.83636816804725e-09,0.01624051544243104,0.016165808914100237,-7.470652833080349e-05,0.999399615250989
10,mlp,-5.081875202558995e-06,-5.0664262209699376e-06,1.5448981589057634e-08,0.012773765840532886,0.012724430479157856,-4.9335361375029904e-05,0.9988017028995453
11,attn,-2.4216283063644438e-06,-2.372160222119206e-06,4.94680842452376e-08,0.015832753619431605,0.01575765125364016,-7.510236579144625e-05,0.9993553676620921
11,mlp,-2.4466358046529924e-06,-2.4034343874086926e-06,4.320141724429978e-08,0.012752078455361261,0.012702784950273513,-4.929350508774827e-05,0.9987534290752149
12,attn,1.9722611187108965e-06,2.033339908207206e-06,6.107878949630939e-08,0.01604172010825381,0.01596891757754208,-7.280253071173179e-05,0.9993829209677085
12,mlp,-1.589153995401247e-06,-1.6435409195276563e-06,-5.4386924126409356e-08,0.012815025596353223,0.012765389511504417,-4.963608484880554e-05,0.9987440147465455
13,attn,4.3186536427641637e-07,3.7523647514574323e-07,-5.662888913067314e-08,0.016140785503143247,0.016064662713294084,-7.612278984916315e-05,0.9993341175133615
13,mlp,-1.1273681075995872e-05,-1.1300046090600739e-05,-2.6365014604866872e-08,0.01283760601864991,0.012788268743902743,-4.933727474716598e-05,0.9987019907826904
14,attn,-3.866948729395851e-06,-3.888358840142998e-06,-2.1410110747147387e-08,0.01592372774215471,0.015846863771664433,-7.686397049027835e-05,0.9993454276137406
14,mlp,-1.5179781981119855e-05,-1.5180560646249222e-05,-7.786651293674072e-10,0.012936868014079889,0.012888544413071173,-4.8323601008716174e-05,0.9986859171993118
15,attn,-4.6387834458864695e-06,-4.519604240281342e-06,1.1917920560512745e-07,0.016750804564266603,0.01667092822004384,-7.987634422276443e-05,0.9993169697486161
15,mlp,-1.7819410900781858e-05,-1.769631011795254e-05,1.2310078282931917e-07,0.013027999793162432,0.012978694124637499,-4.9305668524932816e-05,0.9986719634113403
16,attn,2.039423737965583e-06,2.1265549149147073e-06,8.713117694912413e-08,0.016401552128742575,0.016324423735632372,-7.712839311020334e-05,0.999306592625966
16,mlp,-1.4845106733923446e-05,-1.4768849607034055e-05,7.62571268893915e-08,0.01306053170410099,0.013010941885111203,-4.9589818989786635e-05,0.9986294511794953
17,attn,3.986919297963151e-06,3.6486130871029795e-06,-3.3830621086017136e-07,0.01660757638219129,0.01652753369402472,-8.004268816657126e-05,0.9992554858273076
17,mlp,-1.2921347552117296e-05,-1.285324687576851e-05,6.810067634878673e-08,0.01310125783563889,0.013051012688568718,-5.024514707017112e-05,0.9986229540080866
18,attn,-1.5406625920613768e-06,-1.4311482008054488e-06,1.0951439125592801e-07,0.01646186655700412,0.01638217435630246,-7.969220070165942e-05,0.9992260341919538
18,mlp,-1.7773194552795351e-06,-1.8206206339625799e-06,-4.330117868304473e-08,0.013091165766606582,0.013040911523662758,-5.0254242943824357e-05,0.9985893959927713
19,attn,9.998445729174702e-08,-1.8846419461288067e-07,-2.884486519046277e-07,0.016331463782342466,0.016249864492873863,-8.159928946860351e-05,0.9991793956154167
19,mlp,-9.510258072222127e-06,-9.602457065196305e-06,-9.219899297417798e-08,0.013105760425597307,0.013055722492550641,-5.0037933046665276e-05,0.9985762529398445
20,attn,-2.4968233754983683e-07,-1.3988342305289518e-07,1.0979891449694165e-07,0.016180682288524352,0.01610048128057063,-8.020100795372298e-05,0.9991306207109965
20,mlp,-1.232435338648759e-05,-1.2302340936819241e-05,2.20124496683485e-08,0.013127604222844157,0.013077988407708477,-4.961581513568056e-05,0.9985809047291828
21,attn,-3.3671941399525916e-06,-3.351910529896494e-06,1.5283610056097438e-08,0.0162013291466284,0.016122837127530276,-7.849201909812531e-05,0.9991696340885264
21,mlp,-6.936906183259748e-06,-6.924912339526401e-06,1.1993843733347422e-08,0.013191597777814453,0.013140807252802485,-5.079052501196814e-05,0.9986248052196286
22,attn,-1.701821588105624e-06,-1.6377469056234537e-06,6.407468248217034e-08,0.015992762770701337,0.015917529084628783,-7.523368607255387e-05,0.9991243537949734
22,mlp,-8.475474549504879e-06,-8.498200166010475e-06,-2.2725616505596055e-08,0.013211021587432054,0.013160640472845233,-5.038111458682132e-05,0.9986183164341342
23,attn,4.0755141277572715e-06,4.041069247846633e-06,-3.444487991063824e-08,0.016089810819924836,0.016014200412764103,-7.561040716073247e-05,0.9991370753990488
23,mlp,-8.540108786153198e-06,-8.61444479029284e-06,-7.433600413964188e-08,0.013243451750298021,0.013192241467886142,-5.121028241187979e-05,0.9986045061540317
24,attn,4.0883385717396194e-07,3.548350708804798e-07,-5.399878629348212e-08,0.016010863911480096,0.01593538087564009,-7.548303584000576e-05,0.9991659888933693
24,mlp,-9.034478926257702e-06,-8.938676291292671e-06,9.580263496503059e-08,0.013291172359241939,0.013239844889939933,-5.132746930200556e-05,0.9986025027947267
25,attn,1.1717275099202055e-06,1.451706667049521e-06,2.7997915712931563e-07,0.01591261477448254,0.015838435688312873,-7.417908616966576e-05,0.9991710419683704
25,mlp,-5.695566174893866e-06,-5.766788856369739e-06,-7.122268147587312e-08,0.013379678410344523,0.013327384130567726,-5.229427977679682e-05,0.9986124498869541
26,attn,-9.918991221478197e-07,-9.72246505161374e-07,1.9652616986445737e-08,0.01617566297411352,0.016100756709875593,-7.490626423792626e-05,0.9991832451369876
26,mlp,-7.163859275510331e-06,-7.128019972549232e-06,3.583930296109969e-08,0.013470602464675975,0.013417042734629752,-5.3559730046223025e-05,0.9986306294911431
27,attn,-3.360549987252968e-06,-3.466450698699189e-06,-1.0590071144622103e-07,0.016188972875424843,0.016113368302624997,-7.56045727998457e-05,0.9991659340510626
27,mlp,-5.804981323391006e-06,-5.650069491811702e-06,1.5491183157930386e-07,0.013587734797107382,0.013533314834829044,-5.4419962278338604e-05,0.9986588684723989
28,attn,1.7927910314025596e-06,1.658788820141496e-06,-1.3400221126106358e-07,0.016149078408436223,0.01607330005490195,-7.577835353427334e-05,0.9991560323043503
28,mlp,-6.244438660836183e-06,-6.171654182811488e-06,7.278447802469544e-08,0.01367274703715797,0.013616630088780859,-5.611694837711137e-05,0.9986671763624096
29,attn,-2.065305424373519e-06,-1.920689591437775e-06,1.4461583293574366e-07,0.01648035950444416,0.01640605315636229,-7.430634808186856e-05,0.9992798858417474
29,mlp,-7.0084488076798306e-06,-6.995596582330523e-06,1.2852225349307213e-08,0.013801090621020237,0.013743539990933413,-5.755063008682469e-05,0.9987011305184925
30,attn,1.8453279976809403e-06,1.7922221571249272e-06,-5.3105840556013154e-08,0.016332260034915645,0.016258902054757187,-7.335798015845746e-05,0.9991464309026672
30,mlp,-1.0577361986531703e-05,-1.0545747063203862e-05,3.1614923327840576e-08,0.014098036206473381,0.01403747820469419,-6.0558001779191864e-05,0.9988357805921575
31,attn,1.6991891001407909e-06,1.8759109307738344e-06,1.7672183063304355e-07,0.016931443448140203,0.01685619774827858,-7.52456998616216e-05,0.9992859981482337
31,mlp,-1.8106940871972986e-05,-1.804902069965877e-05,5.7920172314216e-08,0.015627498567599554,0.015556551655214077,-7.094691238547675e-05,0.9992035069754075
