layer,group,base_mean,tgt_mean,delta_mean,base_std,tgt_std,delta_std,cosine
0,attn,-1.1120894495328638e-06,-1.1321666836756666e-06,-2.0077234142802797e-08,0.01573402411673641,0.015661305589118393,-7.271852761801811e-05,0.9993447008259037
0,mlp,2.1113557012555176e-06,2.094300931290224e-06,-1.7054769965293516e-08,0.012156164131466784,0.012114665504216554,-4.149862725023011e-05,0.9986765624747661
1,attn,-1.938209889913324e-06,-2.0103853765804197e-06,-7.217548666709577e-08,0.016505592864955582,0.016440004167185305,-6.558869777027743e-05,0.9993934380404605
1,mlp,-1.6431376172718364e-07,-1.5454741780875997e-07,9.766343918423673e-09,0.012337444274548082,0.012295247902794038,-4.219637175404377e-05,0.9986705595198975
2,attn,-1.884910066654176e-06,-1.8005441324308018e-06,8.436593422337432e-08,0.016030083932831198,0.015966142751851847,-6.394118097935095e-05,0.999242698118659
2,mlp,-5.57910501443672e-07,-4.860803990566338e-07,7.183010238703818e-08,0.012436157590197757,0.012393225602304186,-4.293198789357029e-05,0.9986072819061093
3,attn,-2.493523874484878e-06,-2.438156824288978e-06,5.536705019590013e-08,0.01640106883477274,0.016336377744272785,-6.469109049995342e-05,0.999288090564061
3,mlp,-1.1613271191154296e-06,-1.0628418347606374e-06,9.848528435479221e-08,0.012554563789077353,0.012511093742415661,-4.3470046661692185e-05,0.9985653367204352
4,attn,-3.4468121160376177e-06,-3.2630432354950524e-06,1.8376888054256528e-07,0.016325502421920754,0.016260842547472787,-6.465987444796706e-05,0.9992837192322793
4,mlp,-4.2478686543677525e-06,-4.182852248380235e-06,6.501640598751793e-08,0.01266192833669447,0.012617851860920392,-4.407647577407865e-05,0.998552838750148
5,attn,-2.6004757600163203e-06,-2.685054130953428e-06,-8.45783709371078e-08,0.016042242953201856,0.015978854860302382,-6.338809289947386e-05,0.9991766936671084
5,mlp,2.337799001716193e-06,2.326248010108227e-06,-1.1550991607966172e-08,0.012687339239605702,0.012644470815288812,-4.286842431689038e-05,0.9985062467153654
6,attn,2.460225104901532e-06,2.379176462002832e-06,-8.104864289870005e-08,0.016341721814209835,0.016275991845094907,-6.572996911492768e-05,0.9991863921410716
6,mlp,5.210469781739897e-06,5.221058150200168e-06,1.0588368460271457e-08,0.012701840040398753,0.01265991748003428,-4.1922560364473366e-05,0.998448853263141
7,attn,-3.009431305209698e-07,-3.541900144808652e-07,-5.3246883959895375e-08,0.01608337725374508,0.016020582371192922,-6.279488255215779e-05,0.9991824521892944
7,mlp,5.422387994390342e-06,5.451341225933762e-06,2.895323154342026e-08,0.012689135065536651,0.012647733489395819,-4.1401576140832896e-05,0.9983697135120766
8,attn,-2.5714246774116365e-06,-2.3671271016816257e-06,2.0429757573001078e-07,0.01608661118726823,0.01602510836542967,-6.150282183856048e-05,0.999141529310787
8,mlp,-1.8828434473739068e-06,-1.9519384105124394e-06,-6.90949631385326e-08,0.012685578759491901,0.012644347626278474,-4.123113321342735e-05,0.9983141907588365
