layer,group,base_mean,tgt_mean,delta_mean,base_std,tgt_std,delta_std,cosine
0,attn,-1.1120894495328638e-06,-1.0665866508997999e-06,4.550279863306397e-08,0.01573402411673641,0.015634845895807423,-9.917822092898876e-05,0.9992901307080791
0,mlp,2.1113557012555176e-06,2.099309853144175e-06,-1.2045848111342407e-08,0.012156164131466784,0.012100855258280481,-5.530887318630322e-05,0.9984252884820773
1,attn,-1.938209889913324e-06,-1.8272621273591062e-06,1.1094776255421779e-07,0.016505592864955582,0.01641521744530132,-9.03754196542629e-05,0.9992662937526724
1,mlp,-1.6431376172718364e-07,-1.2436732305611442e-07,3.994643867106922e-08,0.012337444274548082,0.012278743842658061,-5.8700431890020346e-05,0.9983904344408859
2,attn,-1.884910066654176e-06,-1.6459031210750482e-06,2.390069455791279e-07,0.016030083932831198,0.015941872314154094,-8.821161867710384e-05,0.999075917877984
2,mlp,-5.57910501443672e-07,-6.187899163536968e-07,-6.087941491002477e-08,0.012436157590197757,0.01237771017158107,-5.844741861668612e-05,0.9983091287059855
3,attn,-2.493523874484878e-06,-2.3352635159100583e-06,1.5826035857481966e-07,0.01640106883477274,0.016310553409440525,-9.051542533221324e-05,0.9990956425176634
3,mlp,-1.1613271191154296e-06,-1.1027345154661625e-06,5.859260364926718e-08,0.012554563789077353,0.012494418185874481,-6.0145603202872364e-05,0.9982502349444128
4,attn,-3.4468121160376177e-06,-3.3267228932719156e-06,1.200892227657021e-07,0.016325502421920754,0.016236899340208392,-8.860308171236217e-05,0.9991012916800533
4,mlp,-4.2478686543677525e-06,-4.216333383574908e-06,3.1535270792844727e-08,0.01266192833669447,0.012601947079491877,-5.9981257202593175e-05,0.9982129672816178
5,attn,-2.6004757600163203e-06,-2.6923873535332704e-06,-9.191159351695007e-08,0.016042242953201856,0.015956232028823295,-8.601092437856075e-05,0.99896449435572
5,mlp,2.337799001716193e-06,2.356650830736658e-06,1.8851829020465167e-08,0.012687339239605702,0.012628423050163868,-5.891618944183462e-05,0.9981274718962362
6,attn,2.460225104901532e-06,2.289107223196621e-06,-1.7111788170491088e-07,0.016341721814209835,0.016253744976536054,-8.797683767378106e-05,0.9989640220256037
6,mlp,5.210469781739897e-06,5.19084320534527e-06,-1.9626576394626342e-08,0.012701840040398753,0.012644070644122152,-5.776939627660099e-05,0.9980514448847891
7,attn,-3.009431305209698e-07,-3.6299441556900473e-07,-6.205128504803493e-08,0.01608337725374508,0.015999317954966074,-8.405929877900592e-05,0.9989369197213849
7,mlp,5.422387994390342e-06,5.384017748150288e-06,-3.837024624005357e-08,0.012689135065536651,0.012632709139279597,-5.642592625705427e-05,0.997956388645919
8,attn,-2.5714246774116365e-06,-2.431514898769589e-06,1.399097786420474e-07,0.01608661118726823,0.016003864760342337,-8.274642692589207e-05,0.9988974909479068
8,mlp,-1.8828434473739068e-06,-1.9267538483507612e-06,-4.3910400976854454e-08,0.012685578759491901,0.012630180025268188,-5.5398734223712984e-05,0.997878742301123
9,attn,-1.8175367769453396e-06,-1.7126650165156208e-06,1.0487176042971876e-07,0.016323817941971724,0.016234995543947407,-8.882239802431718e-05,0.9988489267864522
9,mlp,-4.57086247886318e-07,-4.806452755722479e-07,-2.3559027685929873e-08,0.012800601280887856,0.012744912138675839,-5.5689142212017595e-05,0.9978438350204648
10,attn,2.4826323650268947e-06,2.430874129336286e-06,-5.175823569060871e-08,0.01624051544243104,0.01615311686057429,-8.739858185674923e-05,0.9988384244004918
10,mlp,-5.081875202558995e-06,-5.0848261627924745e-06,-2.9509602334793362e-09,0.012773765840532886,0.01271863245955608,-5.513338097680627e-05,0.9977835494535827
11,attn,-2.4216283063644438e-06,-2.425124991017359e-06,-3.496684652915323e-09,0.015832753619431605,0.01574486142428955,-8.789219514205443e-05,0.9987776730395483
11,mlp,-2.4466358046529924e-06,-2.451399415486808e-06,-4.763610833815703e-09,0.012752078455361261,0.01269752006411659,-5.455839124467003e-05,0.9977166091132984
12,attn,1.9722611187108965e-06,1.910444991275748e-06,-6.18161274351485e-08,0.01604172010825381,0.015955755861666084,-8.59642465877268e-05,0.9988075985883467
12,mlp,-1.589153995401247e-06,-1.5954312785487551e-06,-6.277283147508159e-09,0.012815025596353223,0.012760546240691215,-5.4479355662008164e-05,0.9977069872030769
13,attn,4.3186536427641637e-07,3.9013968071560914e-07,-4.172568356080723e-08,0.016140785503143247,0.016050964512290468,-8.982099085277917e-05,0.9987205893242451
13,mlp,-1.1273681075995872e-05,-1.1302593243268723e-05,-2.891216727285095e-08,0.01283760601864991,0.012783481569552573,-5.412444909733659e-05,0.9976474858974926
14,attn,-3.866948729395851e-06,-3.674997346336155e-06,1.9195138305969587e-07,0.01592372774215471,0.01583464977818663,-8.907796396808235e-05,0.9987329523935518
