layer,group,base_mean,tgt_mean,delta_mean,base_std,tgt_std,delta_std,cosine
0,attn,-1.1120894495328638e-06,-1.1301925176077722e-06,-1.8103068074908413e-08,0.01573402411673641,0.015653090935307527,-8.093318142888412e-05,0.9995837367524051
0,mlp,2.1113557012555176e-06,2.0580247608727362e-06,-5.333094038278137e-08,0.012156164131466784,0.012109318239475914,-4.6845891990870275e-05,0.9990380232124874
1,attn,-1.938209889913324e-06,-1.8162228443656738e-06,1.2198704554765018e-07,0.016505592864955582,0.016434011642523977,-7.15812224316055e-05,0.9995846185672503
1,mlp,-1.6431376172718364e-07,-1.6557523813969552e-07,-1.2614764125118812e-09,0.012337444274548082,0.012289546640418933,-4.789763412914837e-05,0.9990333172615782
2,attn,-1.884910066654176e-06,-1.8428211230578731e-06,4.208894359630294e-08,0.016030083932831198,0.01595859275338913,-7.149117944206876e-05,0.9994965846670982
2,mlp,-5.57910501443672e-07,-5.349958550967059e-07,2.2914646346966086e-08,0.012436157590197757,0.012387961151980632,-4.8196438217124396e-05,0.9989882993563959
3,attn,-2.493523874484878e-06,-2.4418937982474687e-06,5.163007623740926e-08,0.01640106883477274,0.016328445992819855,-7.262284195288377e-05,0.9994948507823732
3,mlp,-1.1613271191154296e-06,-1.1286105858207695e-06,3.271653329466017e-08,0.012554563789077353,0.012505343051890017,-4.922073718733634e-05,0.9989673519489679
4,attn,-3.4468121160376177e-06,-3.256131861671934e-06,1.9068025436568348e-07,0.016325502421920754,0.016253571827669264,-7.19305942514896e-05,0.9994858443523765
4,mlp,-4.2478686543677525e-06,-4.20539595441418e-06,4.2472699953572095e-08,0.01266192833669447,0.01261208617217967,-4.984216451480068e-05,0.9989572951358834
5,attn,-2.6004757600163203e-06,-2.6668607366569457e-06,-6.638497664062546e-08,0.016042242953201856,0.015971089021339337,-7.115393186251859e-05,0.9994209594658562
5,mlp,2.337799001716193e-06,2.3613675058717677e-06,2.3568504155574718e-08,0.012687339239605702,0.012638034233348699,-4.9305006257003084e-05,0.9989181722996543
6,attn,2.460225104901532e-06,2.343136114640052e-06,-1.1708899026148012e-07,0.016341721814209835,0.016268152291621298,-7.356952258853744e-05,0.9994236094854768
6,mlp,5.210469781739897e-06,5.2353016090263214e-06,2.4831827286424722e-08,0.012701840040398753,0.012653189892799043,-4.865014759970927e-05,0.9988801689432152
7,attn,-3.009431305209698e-07,-3.840735764023672e-07,-8.31304458813974e-08,0.01608337725374508,0.016012792614029225,-7.058463971585521e-05,0.9994193064393017
7,mlp,5.422387994390342e-06,5.437328288606546e-06,1.494029421620379e-08,0.012689135065536651,0.012640844662847534,-4.8290402689117606e-05,0.9988329036300999
8,attn,-2.5714246774116365e-06,-2.3296728847126874e-06,2.4175179269894913e-07,0.01608661118726823,0.016016995583376315,-6.961560389191421e-05,0.9993953341958355
8,mlp,-1.8828434473739068e-06,-1.9327491522118274e-06,-4.9905704837920655e-08,0.012685578759491901,0.012637458575515457,-4.812018397644391e-05,0.9987970187066325
9,attn,-1.8175367769453396e-06,-1.7771009615278602e-06,4.043581541747932e-08,0.016323817941971724,0.016249108613294396,-7.47093286773276e-05,0.9993670009502843
9,mlp,-4.57086247886318e-07,-4.2125518050686593e-07,3.583106737945205e-08,0.012800601280887856,0.012751873802457037,-4.872747843081941e-05,0.9987842951763435
10,attn,2.4826323650268947e-06,2.566474468579253e-06,8.384210355235812e-08,0.01624051544243104,0.016166623935931726,-7.389150649931425e-05,0.9993601354250226
10,mlp,-5.081875202558995e-06,-5.070016968425829e-06,1.1858234133166021e-08,0.012773765840532886,0.012725258728349474,-4.850711218341158e-05,0.9987434641227042
11,attn,-2.4216283063644438e-06,-2.27827834720154e-06,1.4334995916290395e-07,0.015832753619431605,0.01575858240314484,-7.417121628676415e-05,0.9993182392874501
11,mlp,-2.4466358046529924e-06,-2.40347268887351e-06,4.316311577948249e-08,0.012752078455361261,0.0127034575616845,-4.8620893676760285e-05,0.9987053497181084
