layer,group,base_mean,tgt_mean,delta_mean,base_std,tgt_std,delta_std,cosine
0,attn,-1.2865054025387388e-06,-1.2892366098611568e-06,-2.7312073224180187e-09,0.022249749117371386,0.022249183466444843,-5.656509265428156e-07,0.9999903629035616
0,mlp,3.7401288335120156e-06,3.7542728413653696e-06,1.4144007853354006e-08,0.01792884260096261,0.017928371034460072,-4.7156650253774024e-07,0.9999882793403416
1,attn,-1.3861378592376609e-06,-1.3948219495562909e-06,-8.684090318629981e-09,0.017314892555546187,0.017314484325438508,-4.082301076797912e-07,0.9999889444983272
1,mlp,-1.555814927593444e-05,-1.5550309366502165e-05,7.839909432275625e-09,0.013803985224252555,0.013803698660105092,-2.865641474635028e-07,0.9999913217666115
2,attn,1.1576861741607977e-06,1.167933517534612e-06,1.02473433738143e-08,0.020591779204988007,0.020591270316174068,-5.088888139388736e-07,0.9999901333001626
2,mlp,-1.1161351992787782e-05,-1.1151984622177718e-05,9.367370610063912e-09,0.01325918018682117,0.013258925678087145,-2.5450873402527163e-07,0.999991274889441
3,attn,-1.4924999885659873e-06,-1.4878307196227318e-06,4.669268943255513e-09,0.020304139450611915,0.02030366993168862,-4.6951892329616385e-07,0.999989813478206
3,mlp,-1.4878567650559962e-05,-1.4881269356260285e-05,-2.70170570032317e-09,0.016954539657176023,0.016954177195199514,-3.624619765094095e-07,0.9999917220005496
4,attn,4.919087840943631e-06,4.916142770080081e-06,-2.945070863549898e-09,0.020880933017915927,0.020880434631881287,-4.983860346398361e-07,0.9999898690750397
4,mlp,-3.070320432460901e-05,-3.069151482932491e-05,1.1689495284099868e-08,0.018308993808765762,0.018308587421856308,-4.0638690945379863e-07,0.9999917061992961
5,attn,2.9543393670987907e-06,2.9421319161312887e-06,-1.2207450967501986e-08,0.019767083730827816,0.019766663361066788,-4.2036976102832746e-07,0.9999897703671712
5,mlp,-1.2778104626843742e-05,-1.2795555085112175e-05,-1.7450458268432266e-08,0.021448445974491193,0.021447987753970055,-4.5822052113786427e-07,0.9999919788359154
6,attn,-7.378903984558326e-07,-7.363495818324676e-07,1.5408166233650513e-09,0.021048566112270684,0.02104805323184557,-5.128804251124108e-07,0.9999899526221067
6,mlp,-2.098408355713958e-05,-2.0989995290615243e-05,-5.911733475661004e-09,0.022430195376066504,0.022429743775772646,-4.5160029385829525e-07,0.9999924436294548
7,attn,-1.0374029641951424e-06,-1.0461330044355654e-06,-8.730040240423035e-09,0.022704947261355017,0.022704404656366296,-5.426049887215234e-07,0.9999905671432813
7,mlp,-9.048355251257521e-06,-9.044874897617639e-06,3.480353639881973e-09,0.022910422919019225,0.022909937569622025,-4.853493972001299e-07,0.9999921858781657
8,attn,3.642008024179678e-06,3.643680927697605e-06,1.6729035179267494e-09,0.02203946916810288,0.02203893407895175,-5.350891511303468e-07,0.9999905770512582
8,mlp,-5.0271846205739415e-06,-5.033787277925908e-06,-6.602657351966617e-09,0.02340500358540195,0.023404439350869794,-5.642345321556219e-07,0.999990877200396
9,attn,1.183341619856853e-06,1.2049048551203653e-06,2.156323526351224e-08,0.020650474605386836,0.020649928828421527,-5.457769653091638e-07,0.9999899552169144
9,mlp,-2.476241880857864e-06,-2.485996889735882e-06,-9.755008878017994e-09,0.02324690234815655,0.02324630479908764,-5.975490689098806e-07,0.9999903577616608
10,attn,-4.0281280261957004e-06,-4.034405531594131e-06,-6.277505398430193e-09,0.022488715402740847,0.0224881165749858,-5.988277550460219e-07,0.9999906053713864
10,mlp,-8.477067735827718e-06,-8.4787198179692e-06,-1.6520821414815545e-09,0.023317628612471435,0.02331701323503532,-6.153774361160325e-07,0.9999905513405214
11,attn,1.2367558022493194e-06,1.2477651506362587e-06,1.100934838693927e-08,0.022623323918732684,0.022622720204358092,-6.037143745925289e-07,0.9999903885164227
