layer,group,base_mean,tgt_mean,delta_mean,base_std,tgt_std,delta_std,cosine
0,attn,-1.2865054025387388e-06,-1.289186162529833e-06,-2.680759991094162e-09,0.022249749117371386,0.022250842486465784,1.0933690943980279e-06,0.9999491551523986
0,mlp,3.7401288335120156e-06,3.7529345331309326e-06,1.2805699618916951e-08,0.01792884260096261,0.01793600638200054,7.163781037929778e-06,0.999583798937594
1,attn,-1.3861378592376609e-06,-1.368053808425202e-06,1.8084050812458797e-08,0.017314892555546187,0.017316285262168524,1.3927066223363982e-06,0.9999149391170767
1,mlp,-1.555814927593444e-05,-1.6081090023596393e-05,-5.229407476619531e-07,0.013803985224252555,0.013814285604870764,1.0300380618208371e-05,0.9995083707647316
2,attn,1.1576861741607977e-06,1.1356438414618827e-06,-2.2042332698915042e-08,0.020591779204988007,0.020594033992655997,2.2547876679900047e-06,0.9998997043109098
2,mlp,-1.1161351992787782e-05,-1.1281604093348872e-05,-1.202521005610897e-07,0.01325918018682117,0.013264549269662551,5.369082841381184e-06,0.9996938853959363
3,attn,-1.4924999885659873e-06,-1.4843933926482941e-06,8.106595917693145e-09,0.020304139450611915,0.020305806947954547,1.66749734263269e-06,0.999900225309241
3,mlp,-1.4878567650559962e-05,-1.5145211280014009e-05,-2.666436294540468e-07,0.016954539657176023,0.016961912189880534,7.372532704510992e-06,0.999642823795621
4,attn,4.919087840943631e-06,4.879845598489796e-06,-3.924224245383528e-08,0.020880933017915927,0.020882619066809372,1.6860488934455908e-06,0.999917952496934
4,mlp,-3.070320432460901e-05,-3.116545679991176e-05,-4.6225247530274596e-07,0.018308993808765762,0.018316915350660636,7.921541894873735e-06,0.9997016878056819
5,attn,2.9543393670987907e-06,2.9024989410013206e-06,-5.1840426097470175e-08,0.019767083730827816,0.019768309442348107,1.225711520291134e-06,0.9999378941881717
5,mlp,-1.2778104626843742e-05,-1.2777498017510912e-05,6.066093328299345e-10,0.021448445974491193,0.02145407016394288,5.62418945168619e-06,0.999778010373236
6,attn,-7.378903984558326e-07,-7.383850065284834e-07,-4.946080726507169e-10,0.021048566112270684,0.021050333155487672,1.7670432169887562e-06,0.9999039027107458
6,mlp,-2.098408355713958e-05,-2.0967147288098355e-05,1.6936269041226745e-08,0.022430195376066504,0.022436414812566644,6.219436500139869e-06,0.9997507517464909
7,attn,-1.0374029641951424e-06,-1.012674779221006e-06,2.472818497413629e-08,0.022704947261355017,0.02270767505907334,2.727797718322933e-06,0.9998828516959385
7,mlp,-9.048355251257521e-06,-9.0722508844998e-06,-2.3895633242279835e-08,0.022910422919019225,0.02291698383865929,6.560919640064694e-06,0.9997189316873685
8,attn,3.642008024179678e-06,3.6321252717332826e-06,-9.882752446395479e-09,0.02203946916810288,0.022041289895123543,1.8207270206620219e-06,0.999913891989095
8,mlp,-5.0271846205739415e-06,-4.925133836657779e-06,1.0205078391616283e-07,0.02340500358540195,0.023412142589339702,7.139003937752658e-06,0.9997013437727568
9,attn,1.183341619856853e-06,1.185686026757313e-06,2.3444069004598694e-09,0.020650474605386836,0.020651523866571802,1.049261184965511e-06,0.9999430604208978
9,mlp,-2.476241880857864e-06,-2.4622165406879836e-06,1.4025340169880303e-08,0.02324690234815655,0.023253398860088217,6.4965119316688635e-06,0.9997132511658514
10,attn,-4.0281280261957004e-06,-4.028598039364845e-06,-4.700131691446423e-10,0.022488715402740847,0.022489827486037478,1.112083296631039e-06,0.9999450714456539
10,mlp,-8.477067735827718e-06,-8.474226253603538e-06,2.8414822241796774e-09,0.023317628612471435,0.023324033001928555,6.4043894571208515e-06,0.9997177216338048
11,attn,1.2367558022493194e-06,1.3009434463897512e-06,6.418764414043173e-08,0.022623323918732684,0.022624633252634568,1.3093339018832584e-06,0.9999320545096865
11,mlp,-6.093387363360075e-06,-6.084759729946229e-06,8.627633413846727e-09,0.023284305879101616,0.023289138380861475,4.832501759859109e-06,0.9997867042996136
12,attn,2.1573743739242493e-06,2.1829546549730843e-06,2.5580281048835005e-08,0.022024629880819428,0.02202665281348233,2.022932662902599e-06,0.999898075408504
12,mlp,-1.4524396012517797e-06,-1.442748382993945e-06,9.691218257834712e-09,0.023001626293402685,0.02300656803977835,4.9417463756640245e-06,0.9997797506457019
13,attn,4.715863748887041e-06,4.7617968591490766e-06,4.593311026203546e-08,0.02218153884416808,0.022183486654804283,1.947810636202668e-06,0.999905139227483
13,mlp,-1.5315242934670487e-06,-1.4935022751993802e-06,3.802201826766848e-08,0.022828232087151363,0.022833381099630408,5.1490124790450065e-06,0.9997767113542714
14,attn,-1.0006903040216967e-06,-1.000523442632369e-06,1.668613893276591e-10,0.021252145645760893,0.021253944077160667,1.798431399774314e-06,0.9999079228435591
14,mlp,-5.4304866640857755e-06,-5.305459241478424e-06,1.2502742260735165e-07,0.022758683503498352,0.02276391424285722,5.230739358867698e-06,0.999769156294518
15,attn,6.438366299679445e-07,6.559710137495992e-07,1.2134383781654664e-08,0.022350908554012026,0.022352126231785365,1.2176777733387267e-06,0.9999439781828562
15,mlp,-6.392325493809072e-06,-6.337103987367412e-06,5.522150644166055e-08,0.022575276121340592,0.02258025917362387,4.983052283278472e-06,0.9997762384149262
16,attn,-2.4456962903851324e-06,-2.5069154226524546e-06,-6.121913226732221e-08,0.02215567049924984,0.022158226752726717,2.556253476875686e-06,0.9998758174249742
16,mlp,6.817239386021888e-07,7.300168352223357e-07,4.82928966201469e-08,0.022291460484266258,0.02229567080185751,4.210317591252927e-06,0.9998047543066899
17,attn,-7.480267051045683e-07,-7.320811731946409e-07,1.594553190992739e-08,0.021546143640198738,0.021547305270363686,1.1616301649475247e-06,0.9999388589823011
17,mlp,-7.623707134388459e-06,-7.663818798702621e-06,-4.011166431416262e-08,0.022266020406422993,0.02227118845988604,5.168053463046329e-06,0.9997608576984534
18,attn,9.92268229664952e-08,1.0827151942651653e-07,9.044696460021325e-09,0.02193838951527461,0.021939359038327055,9.69523052445076e-07,0.9999511245129753
18,mlp,-2.376134624486116e-06,-2.3577085682917885e-06,1.842605619432733e-08,0.022291938210761864,0.022297039583273996,5.1013725121326625e-06,0.9997690114955621
19,attn,9.324406112137528e-07,9.419648538153444e-07,9.524242601591629e-09,0.022561476286566105,0.022562642373531457,1.1660869653519479e-06,0.9999430284229894
19,mlp,-3.487505574171128e-06,-3.463873933949572e-06,2.3631640221555947e-08,0.02233033178970799,0.022334368629225013,4.036839517024271e-06,0.9998094307779868
20,attn,-4.069692732812033e-06,-4.035219643528052e-06,3.447308928398087e-08,0.021737224213548838,0.02173833668424665,1.1124706978116183e-06,0.9999453062348914
20,mlp,4.2895134269742515e-07,5.033913772013454e-07,7.444003450392027e-08,0.022406980294189766,0.02241102030007139,4.0400058816253415e-06,0.9998163021527218
21,attn,3.7405949643088123e-06,3.7310252917178218e-06,-9.569672590990531e-09,0.022936309340690374,0.02293768441844555,1.3750777551752025e-06,0.9999362131437979
21,mlp,-4.573797341719837e-06,-4.5225516788153784e-06,5.1245662904458683e-08,0.02242767539686386,0.022431069458979984,3.3940621161250573e-06,0.999849481580871
22,attn,1.2862201643538539e-06,1.2557703490200739e-06,-3.044981533378003e-08,0.022726735052141324,0.02272881290256737,2.0778504260451913e-06,0.9999085383801758
22,mlp,-6.154318934883986e-07,-6.407539149241673e-07,-2.5322021435768742e-08,0.022500692317751692,0.022504366546587138,3.6742288354457697e-06,0.9998307174309955
23,attn,-1.498391462293579e-06,-1.5176065368240374e-06,-1.9215074530458414e-08,0.021527645611658024,0.021528779038210717,1.1334265526928566e-06,0.9999457152746679
23,mlp,-1.4532565153410094e-06,-1.4215967682001395e-06,3.165974714086988e-08,0.022564059625183413,0.022567816122498557,3.756497315144519e-06,0.9998304515971383
24,attn,-9.281860118647089e-07,-9.711608021013378e-07,-4.29747902366289e-08,0.023006561085284292,0.02300730333034539,7.42245061097907e-07,0.9999659863830057
24,mlp,-1.0853097518177977e-06,-1.075968374059331e-06,9.341377758466675e-09,0.022663836031791753,0.022666847999671558,3.011967879804761e-06,0.9998649591280855
25,attn,2.575408024912596e-07,2.0917013783423402e-07,-4.8370664657025566e-08,0.022819408688220903,0.022821678779434217,2.270091213313341e-06,0.9998995454711009
