layer,group,base_mean,tgt_mean,delta_mean,base_std,tgt_std,delta_std,cosine
0,attn,-1.2865054025387388e-06,-1.3543118358585976e-06,-6.780643331985886e-08,0.022249749117371386,0.02213695796728983,-0.0001127911500815558,0.9991974759171833
0,mlp,3.7401288335120156e-06,3.855049588895169e-06,1.1492075538315362e-07,0.01792884260096261,0.017841220348315086,-8.762225264752344e-05,0.9991858450349798
1,attn,-1.3861378592376609e-06,-1.5014604040756918e-06,-1.1532254483803091e-07,0.017314892555546187,0.017227528561919787,-8.736399362639993e-05,0.9994184356884043
1,mlp,-1.555814927593444e-05,-1.5432406034800977e-05,1.2574324113346356e-07,0.013803985224252555,0.013737757392879945,-6.622783137260994e-05,0.9994302207856698
2,attn,1.1576861741607977e-06,1.154398169383256e-06,-3.28800477754166e-09,0.020591779204988007,0.020486736716573094,-0.00010504248841491232,0.9995262715433844
2,mlp,-1.1161351992787782e-05,-1.0946982490241078e-05,2.1436950254670357e-07,0.01325918018682117,0.013196330372174572,-6.284981464659868e-05,0.9994240177711671
3,attn,-1.4924999885659873e-06,-1.5219889423173186e-06,-2.9488953751331295e-08,0.020304139450611915,0.02020054806210303,-0.00010359138850888489,0.9995798198350946
3,mlp,-1.4878567650559962e-05,-1.4748124914733832e-05,1.3044273582613004e-07,0.016954539657176023,0.01687191959372497,-8.262006345105197e-05,0.9994518859888222
4,attn,4.919087840943631e-06,4.898378234180836e-06,-2.07096067627955e-08,0.020880933017915927,0.020774447927567486,-0.00010648509034844045,0.9995929785398366
4,mlp,-3.070320432460901e-05,-3.0628931069565175e-05,7.427325504383601e-08,0.018308993808765762,0.01822055849017348,-8.843531859228232e-05,0.9994575872780835
5,attn,2.9543393670987907e-06,2.9856555624819376e-06,3.131619538314689e-08,0.019767083730827816,0.019667237805758818,-9.984592506899828e-05,0.9996115638213203
5,mlp,-1.2778104626843742e-05,-1.2826818673052798e-05,-4.8714046209055755e-08,0.021448445974491193,0.02134255042563646,-0.00010589554885473418,0.9995321436775438
6,attn,-7.378903984558326e-07,-6.09213669350314e-07,1.286767291055186e-07,0.021048566112270684,0.02094147119899479,-0.00010709491327589443,0.9996144432552776
6,mlp,-2.098408355713958e-05,-2.0814114501888014e-05,1.699690552515681e-07,0.022430195376066504,0.02231814374781213,-0.00011205162825437404,0.9995412690941424
7,attn,-1.0374029641951424e-06,-1.0505142876254775e-06,-1.3111323430335113e-08,0.022704947261355017,0.022588546439259737,-0.00011640082209527988,0.9996148717211926
7,mlp,-9.048355251257521e-06,-8.973416220947623e-06,7.493903030989826e-08,0.022910422919019225,0.022793379013047052,-0.00011704390597217298,0.9995578442167851
8,attn,3.642008024179678e-06,3.6574050329308104e-06,1.5397008751132345e-08,0.02203946916810288,0.02192668993987444,-0.00011277922822843997,0.9996202181032618
8,mlp,-5.0271846205739415e-06,-5.024235573045642e-06,2.949047528299684e-09,0.02340500358540195,0.023287782632598425,-0.00011722095280352479,0.999544453595824
9,attn,1.183341619856853e-06,1.2222893439254296e-06,3.894772406857649e-08,0.020650474605386836,0.02054517619637361,-0.00010529840901322626,0.9996368942653803
9,mlp,-2.476241880857864e-06,-2.5146353163549164e-06,-3.8393435497052415e-08,0.02324690234815655,0.02313074894963908,-0.00011615339851746981,0.9995428461497694
10,attn,-4.0281280261957004e-06,-4.102102949944636e-06,-7.397492374893577e-08,0.022488715402740847,0.022374127607092096,-0.00011458779564875107,0.9996420376189962
10,mlp,-8.477067735827718e-06,-8.39868109660781e-06,7.838663921990785e-08,0.023317628612471435,0.023201166748337932,-0.0001164618641335026,0.9995590770250321
11,attn,1.2367558022493194e-06,1.31105849146368e-06,7.430268921436052e-08,0.022623323918732684,0.02250744155661418,-0.00011588236211850303,0.9996463423230462
11,mlp,-6.093387363360075e-06,-5.982630827729978e-06,1.1075653563009706e-07,0.023284305879101616,0.023167877922420838,-0.00011642795668077854,0.999564480375486
12,attn,2.1573743739242493e-06,2.153529018432752e-06,-3.845355491497389e-09,0.022024629880819428,0.021912275109813813,-0.00011235477100561553,0.9996640323956395
12,mlp,-1.4524396012517797e-06,-1.4208907858586646e-06,3.154881539311517e-08,0.023001626293402685,0.02288586295200717,-0.00011576334139551392,0.9995610157099026
13,attn,4.715863748887041e-06,4.677997784620127e-06,-3.7865964266914354e-08,0.02218153884416808,0.022068362670335906,-0.0001131761738321739,0.9996443199503099
