layer,group,base_mean,tgt_mean,delta_mean,base_std,tgt_std,delta_std,cosine
0,attn,-1.4220534796397947e-06,-1.3959331622927427e-06,2.6120317347052014e-08,0.017599176469489483,0.019044340492743977,0.0014451640232544943,0.32640240932079695
0,mlp,-1.1937296101380229e-05,-1.552643547316151e-05,-3.5891393717812793e-06,0.014224611705483614,0.015673555458694647,0.0014489437532110329,0.2510190644290222
1,attn,2.3812401587182695e-06,1.376844099919593e-06,-1.0043960587986764e-06,0.015596361060706802,0.016372200404181966,0.0007758393434751636,0.2365700828670891
1,mlp,5.240559651456696e-06,-7.564721621386113e-06,-1.280528127284281e-05,0.013256233721199865,0.01451652456416198,0.0012602908429621158,0.3008335950640453
2,attn,4.308195251833045e-06,2.035052492858084e-06,-2.2731427589749614e-06,0.016590970806156072,0.018096388053239636,0.001505417247083564,0.2537053561087877
2,mlp,3.5849480951943067e-06,-1.6093908557987244e-05,-1.967885665318155e-05,0.014927776567733917,0.016671071214050554,0.0017432946463166368,0.2917072114613205
3,attn,6.798714478774579e-06,7.757593632438942e-07,-6.0229551155306845e-06,0.017303349372142923,0.019022815208453756,0.001719465836310833,0.31318420545653947
3,mlp,1.363138514574899e-05,-7.846713085326814e-06,-2.1478098231075804e-05,0.01692552247131547,0.01908412808095157,0.0021586056096360995,0.24886445483426783
4,attn,2.0878251295161236e-06,5.602300832164577e-06,3.5144757026484534e-06,0.016827053096084173,0.01845818019715962,0.0016311271010754462,0.27865150193704247
4,mlp,1.7599954735821993e-07,-1.7510016593234707e-05,-1.7686016140592928e-05,0.016867391741366717,0.019139818955363604,0.0022724272139968867,0.2692837282889806
5,attn,-1.7411010170533973e-06,-2.4473115042028043e-06,-7.06210487149407e-07,0.016462435213653235,0.01842568305508647,0.0019632478414332334,0.2807303659839957
5,mlp,-1.0475670623682778e-05,2.2442870687883576e-06,1.2719957692471136e-05,0.016832467449153028,0.019174615442391862,0.002342147993238834,0.23710626068870091
6,attn,-4.962800983219455e-06,2.611243940636211e-06,7.574044923855666e-06,0.016913173868844913,0.018991805988341822,0.0020786321194969093,0.30896979751875314
6,mlp,-1.1226332936883584e-05,-1.0024863768881786e-05,1.2014691680017976e-06,0.016577815088955342,0.018925506577369994,0.0023476914884146514,0.2946117458802858
7,attn,-4.081972006602216e-06,-6.721751012102339e-06,-2.6397790055001226e-06,0.017042463674820697,0.01919958484877976,0.002157121173959064,0.4128089786970722
7,mlp,-1.1149034358071531e-05,-1.614334040268951e-07,1.0987600954044636e-05,0.016494675202895506,0.018738205619917056,0.0022435304170215498,0.3451698111619333
8,attn,-6.2047620598772364e-06,-8.258569695969045e-07,5.378905090280332e-06,0.016754384078856707,0.01907593386029585,0.002321549781439145,0.41513978649457234
8,mlp,-5.7645862254509385e-06,-4.29565259239081e-06,1.4689336330601283e-06,0.01654495594550018,0.018820672617334305,0.0022757166718341236,0.3434879960188108
9,attn,-1.790531313792839e-06,2.620849213723452e-06,4.411380527516291e-06,0.016768909374576233,0.018949877051331554,0.002180967676755321,0.4681667773868079
9,mlp,-2.933804787548859e-05,1.787799313455593e-05,4.721604101004452e-05,0.01629136039514556,0.018882511988728774,0.0025911515935832137,0.3861033582568929
10,attn,-2.733219939474174e-07,-1.8297123250687886e-06,-1.5563903311213712e-06,0.017043514684672217,0.01921749497886493,0.0021739802941927143,0.4267193636482355
10,mlp,-1.8643657536225752e-05,-5.931862511075512e-06,1.271179502515024e-05,0.016489365472834416,0.01888169801448612,0.002392332541651703,0.37470998247564274
11,attn,-3.2294726134423594e-06,3.2759267611456632e-06,6.505399374588023e-06,0.01689006812977837,0.019085420994032487,0.0021953528642541173,0.4987862337933569
11,mlp,-3.9887039083997265e-06,-1.6349707889726148e-06,2.3537331194271117e-06,0.01653296567268912,0.018887117860518967,0.002354152187829847,0.3864683081553734
12,attn,-3.988770512491516e-06,-5.886406409755404e-07,3.4001298715159755e-06,0.01663948642703534,0.018883133433169472,0.002243647006134133,0.5153792639554894
12,mlp,-8.803945747763915e-06,-1.0789658836209565e-05,-1.98571308844565e-06,0.016562782109552778,0.01887958756155387,0.002316805452001091,0.419796961482583
13,attn,-2.694906236684415e-06,-1.078851523748987e-06,1.616054712935428e-06,0.01672096095486847,0.019210617173886824,0.0024896562190183553,0.5857909067296915
13,mlp,-2.7470541990248603e-06,-1.2067853431753702e-06,1.54026885584949e-06,0.016528696657745954,0.018862774719602036,0.0023340780618560826,0.41468043440975966
14,attn,1.57029295933719e-06,7.4783742945890745e-06,5.908081335251885e-06,0.016103893380033703,0.018461102109057645,0.0023572087290239414,0.557103622322462
14,mlp,-4.961545655175864e-06,-9.080646820229814e-06,-4.11910116505395e-06,0.016519664870999574,0.018831896264560097,0.0023122313935605224,0.4389875002412167
15,attn,3.3377461301800437e-06,7.611605688337935e-06,4.273859558157891e-06,0.01659228832959096,0.018915275829532043,0.0023229874999410836,0.5691132645835606
15,mlp,-1.2887748052160292e-06,-3.585366856651722e-06,-2.296592051435693e-06,0.01655600903539545,0.018866568312559902,0.0023105592771644513,0.4563132279781715
16,attn,1.6307910472113503e-06,-1.034231791710688e-06,-2.6650228389220385e-06,0.01639134928583506,0.01872399569276662,0.0023326464069315586,0.5577297786089175
16,mlp,-1.0003106023409387e-05,-4.202100360265572e-06,5.801005663143815e-06,0.016503093292214333,0.01875917452153551,0.0022560812293211767,0.4628582794795798
17,attn,-6.814065559197779e-07,2.906235130151029e-06,3.587641686070807e-06,0.01658242287233162,0.018938368385781845,0.002355945513450225,0.6062787722245718
17,mlp,-7.614323782038635e-06,-5.0612910941093945e-06,2.5530326879292405e-06,0.016489774200629616,0.01873256540782726,0.0022427912071976454,0.46991999843970467
18,attn,-5.869248379604942e-06,1.2753409260556021e-06,7.144589305660544e-06,0.01671377469551247,0.0191870458997753,0.002473271204262828,0.6082630251708752
18,mlp,-1.0191538291166845e-06,-6.2036592347838355e-06,-5.184505405667151e-06,0.016676250275136542,0.0189632067309402,0.0022869564558036584,0.46250510976196496
19,attn,-2.0529167695560102e-06,-4.092708434942093e-06,-2.0397916653860824e-06,0.016444180157186163,0.018903489454432827,0.0024593092972466646,0.6130288885116353
19,mlp,-2.960705517293035e-06,-6.720370722091816e-06,-3.759665204798781e-06,0.016703402374774207,0.019014910218511427,0.00231150784373722,0.4505321101370012
20,attn,5.129726331767099e-06,3.683352311704225e-07,-4.761391100596677e-06,0.016848299782944182,0.019359318393072544,0.0025110186101283613,0.5956682008481282
20,mlp,-2.516756158805624e-06,-3.6811922086998742e-06,-1.1644360498942504e-06,0.016746570571219345,0.019105973411851076,0.002359402840631731,0.4483413524468367
21,attn,9.134211311286849e-07,2.6854622990911603e-06,1.7720411679624756e-06,0.016955433665541326,0.019524160788795486,0.00256872712325416,0.5910596402338288
21,mlp,2.6842558640082038e-06,-1.8467259497854018e-06,-4.530981813793606e-06,0.01682912321357498,0.019244853534747516,0.002415730321172538,0.4273179122318012
22,attn,3.1761440022757013e-06,-5.2927721718536105e-06,-8.468916174129311e-06,0.017055447552334384,0.019469327532734827,0.002413879980400442,0.5334135052874859
22,mlp,-7.72100377814711e-06,-3.7323018064696046e-06,3.988701971677505e-06,0.016909356457519172,0.019350691061478055,0.0024413346039588828,0.43077671838760734
23,attn,1.789439020945398e-06,2.8706656686769814e-07,-1.5023724540777e-06,0.017463169766877278,0.01980995818132081,0.002346788414443534,0.5105254474339022
23,mlp,-7.1012468775979e-06,-5.24370828015489e-06,1.8575385974430098e-06,0.016938461424756652,0.019421606000343355,0.002483144575586703,0.4071791877705689
24,attn,2.4747970777625015e-06,1.7655237259423767e-06,-7.092733518201248e-07,0.01735266815633229,0.01980290245976275,0.0024502343034304604,0.5010554042350815
24,mlp,-6.426810974651828e-06,-9.913922500557995e-06,-3.487111525906167e-06,0.016987854909565253,0.019544340186113722,0.002556485276548469,0.39372153049689457
25,attn,-2.3075500636037964e-06,-1.5753418456489497e-07,2.1500158790389015e-06,0.01777618355881153,0.020185705431092507,0.002409521872280978,0.5012392998360529
25,mlp,-8.464788909942912e-06,-1.0170603628449074e-05,-1.7058147185061615e-06,0.017109176590226545,0.01973890377158024,0.0026297271813536943,0.39888631988175366
26,attn,5.213950415548785e-07,2.947555338752334e-06,2.4261602971974557e-06,0.01822743168743454,0.020788545861845555,0.0025611141744110166,0.5405016048074048
26,mlp,-6.6584624817818805e-06,-2.1051382166499022e-06,4.553324265131978e-06,0.017168315449710425,0.01978325392809948,0.0026149384783890547,0.3747717295175618
27,attn,2.783899490676637e-06,-2.642835118163731e-06,-5.426734608840368e-06,0.01785828056193504,0.020398707886852253,0.0025404273249172125,0.44419944582555215
27,mlp,1.3145004801261932e-06,7.630484770706567e-06,6.315984290580373e-06,0.01693258838218662,0.019919482915836312,0.0029868945336496908,0.3371417440677242
