layer,group,base_mean,tgt_mean,delta_mean,base_std,tgt_std,delta_std,cosine
0,attn,-1.4220534796397947e-06,-3.7570409925295013e-06,-2.3349875128897066e-06,0.017599176469489483,0.02240973340745834,0.004810556937968856,0.5208333563538954
0,mlp,-1.1937296101380229e-05,-2.0800546320266082e-05,-8.863250218885853e-06,0.014224611705483614,0.01879816556402882,0.004573553858545205,0.3502822971487806
1,attn,2.3812401587182695e-06,-1.6182063080609561e-06,-3.999446466779225e-06,0.015596361060706802,0.019679708803383485,0.004083347742676683,0.4626352139338158
1,mlp,5.240559651456696e-06,9.937058294886601e-06,4.696498643429905e-06,0.013256233721199865,0.016720937028392262,0.003464703307192398,0.39873314991310765
2,attn,4.308195251833045e-06,4.363365081273284e-06,5.5169829440238226e-08,0.016590970806156072,0.02193856162555884,0.005347590819402767,0.4535298943740695
2,mlp,3.5849480951943067e-06,6.878767430541103e-06,3.2938193353467965e-06,0.014927776567733917,0.01935602732157851,0.004428250753844594,0.38481530541333175
3,attn,6.798714478774579e-06,4.4643487920058485e-06,-2.33436568676873e-06,0.017303349372142923,0.022810262916744928,0.0055069135446020046,0.49296442350562975
3,mlp,1.363138514574899e-05,4.082070960096152e-06,-9.549314185652839e-06,0.01692552247131547,0.02238277368616067,0.0054572512148452,0.32532477212747785
4,attn,2.0878251295161236e-06,1.8275111738595695e-06,-2.6031395565655406e-07,0.016827053096084173,0.0221266754159674,0.005299622319883228,0.46120218440567384
4,mlp,1.7599954735821993e-07,-2.0804624599725266e-05,-2.0980624147083486e-05,0.016867391741366717,0.02251021544351799,0.005642823702151273,0.3395336916021053
5,attn,-1.7411010170533973e-06,-1.3444579509528019e-06,3.966430661005954e-07,0.016462435213653235,0.022248020368108926,0.005785585154455691,0.4696366848180967
5,mlp,-1.0475670623682778e-05,-1.9050791634534593e-05,-8.575121010851814e-06,0.016832467449153028,0.022429560810476323,0.005597093361323295,0.300283853217119
