timestamp,step_idx,stage,op,component,layer,label,score,threshold,decision
2026-03-27T13:23:12.564744+00:00,-1,0,baseline,baseline,-1,Llama-3.1-Hawkish-8B,54.39,0.0,baseline
2026-03-27T13:24:43.285363+00:00,0,1,merge,mlp,17,Llama-3.1-Hawkish-8B,56.14,2.0,accepted
2026-03-27T13:26:16.944472+00:00,1,1,merge,mlp,29,Llama-3.1-Hawkish-8B,55.26,2.0,accepted
2026-03-27T13:27:50.894282+00:00,2,1,merge,mlp,31,Llama-3.1-Hawkish-8B,54.39,2.0,accepted
2026-03-27T13:29:24.897542+00:00,3,1,merge,mlp,14,Llama-3.1-Hawkish-8B,56.14,2.0,accepted
2026-03-27T13:31:00.717203+00:00,4,1,merge,mlp,12,Llama-3.1-Hawkish-8B,56.14,2.0,accepted
2026-03-27T13:32:35.626753+00:00,5,1,merge,mlp,25,Llama-3.1-Hawkish-8B,55.26,2.0,accepted
2026-03-27T13:34:08.440008+00:00,6,1,merge,mlp,27,Llama-3.1-Hawkish-8B,55.26,2.0,accepted
2026-03-27T13:35:43.825851+00:00,7,1,merge,mlp,23,Llama-3.1-Hawkish-8B,55.26,2.0,accepted
2026-03-27T13:37:18.331601+00:00,8,1,merge,mlp,18,Llama-3.1-Hawkish-8B,56.14,2.0,accepted
2026-03-27T13:38:54.035008+00:00,9,1,merge,mlp,13,Llama-3.1-Hawkish-8B,54.39,2.0,accepted
2026-03-27T13:40:28.724626+00:00,10,1,merge,mlp,21,Llama-3.1-Hawkish-8B,55.26,2.0,accepted
2026-03-27T13:42:00.651155+00:00,11,1,merge,mlp,28,Llama-3.1-Hawkish-8B,55.26,2.0,accepted
2026-03-27T13:43:34.016382+00:00,12,1,merge,mlp,15,Llama-3.1-Hawkish-8B,54.39,2.0,accepted
2026-03-27T13:45:07.093462+00:00,13,1,merge,mlp,26,Llama-3.1-Hawkish-8B,55.26,2.0,accepted
2026-03-27T13:46:43.373153+00:00,14,1,merge,mlp,19,Llama-3.1-Hawkish-8B,55.26,2.0,accepted
2026-03-27T13:48:19.392323+00:00,15,1,merge,mlp,24,Llama-3.1-Hawkish-8B,56.14,2.0,accepted
2026-03-27T13:49:56.315589+00:00,16,1,merge,attn,30,Llama-3.1-Hawkish-8B,52.63,2.0,accepted
2026-03-27T13:51:32.954039+00:00,17,1,merge,attn,28,Llama-3.1-Hawkish-8B,52.63,2.0,accepted
2026-03-27T13:53:07.098698+00:00,18,1,merge,attn,25,Llama-3.1-Hawkish-8B,52.63,2.0,accepted
2026-03-27T13:54:43.964427+00:00,19,1,merge,attn,18,Llama-3.1-Hawkish-8B,54.39,2.0,accepted
2026-03-27T13:56:22.045022+00:00,20,1,merge,attn,22,Llama-3.1-Hawkish-8B,56.14,2.0,accepted
2026-03-27T13:57:56.582361+00:00,21,1,merge,attn,20,Llama-3.1-Hawkish-8B,55.26,2.0,accepted
2026-03-27T13:59:33.742688+00:00,22,1,merge,attn,14,Llama-3.1-Hawkish-8B,54.39,2.0,accepted
2026-03-27T14:01:11.338290+00:00,23,1,merge,attn,16,Llama-3.1-Hawkish-8B,56.14,2.0,accepted
2026-03-27T14:02:47.725445+00:00,24,1,merge,attn,31,Llama-3.1-Hawkish-8B,57.89,2.0,accepted
2026-03-27T14:04:20.524683+00:00,25,1,merge,attn,27,Llama-3.1-Hawkish-8B,56.14,2.0,accepted
2026-03-27T14:05:54.326532+00:00,26,1,merge,attn,26,Llama-3.1-Hawkish-8B,55.26,2.0,accepted
2026-03-27T14:07:28.322224+00:00,27,1,merge,attn,24,Llama-3.1-Hawkish-8B,53.51,2.0,accepted
2026-03-27T14:09:02.333080+00:00,28,1,merge,attn,29,Llama-3.1-Hawkish-8B,56.14,2.0,accepted
2026-03-27T14:10:37.006554+00:00,29,1,merge,attn,23,Llama-3.1-Hawkish-8B,54.39,2.0,accepted
2026-03-27T14:12:10.408839+00:00,30,1,merge,attn,21,Llama-3.1-Hawkish-8B,55.26,2.0,accepted
2026-03-27T14:13:44.678256+00:00,31,1,merge,attn,15,Llama-3.1-Hawkish-8B,55.26,2.0,accepted
2026-03-27T14:15:19.431954+00:00,32,1,merge,attn,19,Llama-3.1-Hawkish-8B,56.14,2.0,accepted
2026-03-27T14:16:53.971844+00:00,33,1,merge,attn,5,Llama-3.1-Hawkish-8B,56.14,2.0,accepted
2026-03-27T14:18:30.379494+00:00,34,2,merge,mlp,17,Llama-3.1-Hawkish-8B,54.39,2.0,accepted
2026-03-27T14:20:04.014118+00:00,35,2,merge,mlp,29,Llama-3.1-Hawkish-8B,56.14,2.0,accepted
2026-03-27T14:21:39.002975+00:00,36,2,merge,mlp,14,Llama-3.1-Hawkish-8B,54.39,2.0,accepted
2026-03-27T14:23:14.310872+00:00,37,2,merge,mlp,20,Llama-3.1-Hawkish-8B,54.39,2.0,accepted
2026-03-27T14:24:48.408639+00:00,38,2,merge,mlp,12,Llama-3.1-Hawkish-8B,39.47,2.0,rejected
2026-03-27T14:26:24.898615+00:00,39,2,merge,mlp,25,Llama-3.1-Hawkish-8B,53.51,2.0,accepted
2026-03-27T14:27:58.526363+00:00,40,2,merge,mlp,27,Llama-3.1-Hawkish-8B,51.75,2.0,accepted
2026-03-27T14:29:35.040984+00:00,41,2,merge,mlp,23,Llama-3.1-Hawkish-8B,52.63,2.0,accepted
2026-03-27T14:31:38.581797+00:00,42,2,merge,mlp,18,Llama-3.1-Hawkish-8B,51.75,2.0,accepted
2026-03-27T14:33:14.589449+00:00,43,2,merge,mlp,21,Llama-3.1-Hawkish-8B,50.88,2.0,accepted
2026-03-27T14:34:51.993277+00:00,44,2,merge,mlp,28,Llama-3.1-Hawkish-8B,51.75,2.0,accepted
2026-03-27T14:36:25.344594+00:00,45,2,merge,mlp,26,Llama-3.1-Hawkish-8B,49.12,2.0,accepted
2026-03-27T14:37:58.650381+00:00,46,2,merge,mlp,24,Llama-3.1-Hawkish-8B,48.25,2.0,accepted
2026-03-27T14:39:34.548370+00:00,47,2,merge,attn,28,Llama-3.1-Hawkish-8B,48.25,2.0,accepted
2026-03-27T14:41:11.026987+00:00,48,2,merge,attn,25,Llama-3.1-Hawkish-8B,49.12,2.0,accepted
2026-03-27T14:43:13.890505+00:00,49,2,merge,attn,18,Llama-3.1-Hawkish-8B,0.0,2.0,rejected
2026-03-27T14:44:48.984155+00:00,50,2,merge,attn,22,Llama-3.1-Hawkish-8B,49.12,2.0,accepted
2026-03-27T14:46:17.852081+00:00,51,2,merge,attn,20,Llama-3.1-Hawkish-8B,49.12,2.0,accepted
2026-03-27T14:47:40.318211+00:00,52,2,merge,attn,16,Llama-3.1-Hawkish-8B,41.23,2.0,rejected
2026-03-27T14:49:25.778261+00:00,53,2,merge,attn,23,Llama-3.1-Hawkish-8B,0.0,2.0,rejected
2026-03-27T14:50:46.897040+00:00,54,2,merge,attn,21,Llama-3.1-Hawkish-8B,51.75,2.0,accepted
2026-03-27T14:52:10.666051+00:00,55,2,merge,attn,15,Llama-3.1-Hawkish-8B,48.25,2.0,accepted
2026-03-27T14:53:32.454055+00:00,56,2,merge,attn,19,Llama-3.1-Hawkish-8B,46.49,2.0,accepted
2026-03-27T14:54:55.549450+00:00,57,2,merge,attn,5,Llama-3.1-Hawkish-8B,42.98,2.0,rejected
