cutoff,steps,savings_pct,savings_mb,worst_drop,mean_drop,accuracy_metric,accuracy_drop,accuracy,frontier,Light-IF-32B__score,MedGo__score,T-pro-it-2.0__score,Light-IF-32B__drop,MedGo__drop,T-pro-it-2.0__drop
0,0,0.8001,1572.864,0.4,0.1333,mean,0.1333,-0.1333,0,76.0,78.12,74.8,0.0,0.0,0.4
1,1,1.6003,3145.728,1.24,0.3467,mean,0.3467,-0.3467,0,76.0,76.88,75.4,0.0,1.24,-0.2
2,2,2.4004,4718.592,1.87,0.6567,mean,0.6567,-0.6567,0,76.0,76.25,75.1,0.0,1.87,0.1
3,3,3.2006,6291.456,1.87,0.49,mean,0.49,-0.49,0,76.0,76.25,75.6,0.0,1.87,-0.4
4,4,4.0007,7864.32,2.5,0.8,mean,0.8,-0.8,0,76.0,75.62,75.3,0.0,2.5,-0.1
5,5,4.8009,9437.184,2.5,0.9,mean,0.9,-0.9,0,76.0,75.62,75.0,0.0,2.5,0.2
6,6,5.601,11010.048,1.24,0.5133,mean,0.5133,-0.5133,0,76.0,76.88,74.9,0.0,1.24,0.3
7,7,6.4011,12582.912,1.24,0.48,mean,0.48,-0.48,0,76.0,76.88,75.0,0.0,1.24,0.2
8,8,7.2013,14155.776,1.24,0.3467,mean,0.3467,-0.3467,0,76.0,76.88,75.4,0.0,1.24,-0.2
9,9,8.0014,15728.64,1.87,0.6233,mean,0.6233,-0.6233,0,76.0,76.25,75.2,0.0,1.87,0.0
10,10,8.8016,17301.504,1.87,0.6233,mean,0.6233,-0.6233,0,76.0,76.25,75.2,0.0,1.87,0.0
11,11,9.6017,18874.368,3.12,1.04,mean,1.04,-1.04,0,76.0,75.0,75.2,0.0,3.12,0.0
12,12,10.4019,20447.232,2.5,0.8333,mean,0.8333,-0.8333,0,76.0,75.62,75.2,0.0,2.5,0.0
13,13,11.202,22020.096,2.5,0.7667,mean,0.7667,-0.7667,0,76.0,75.62,75.4,0.0,2.5,-0.2
14,14,12.0022,23592.96,2.5,0.5333,mean,0.5333,-0.5333,0,76.0,75.62,76.1,0.0,2.5,-0.9
15,15,12.8023,25165.824,3.12,0.84,mean,0.84,-0.84,0,76.0,75.0,75.8,0.0,3.12,-0.6
16,16,13.6024,26738.688,3.74,0.98,mean,0.98,-0.98,0,76.0,74.38,76.0,0.0,3.74,-0.8
17,17,14.4026,28311.552,3.74,0.9467,mean,0.9467,-0.9467,0,76.0,74.38,76.1,0.0,3.74,-0.9
18,18,15.2027,29884.416,2.5,0.4,mean,0.4,-0.4,0,76.0,75.62,76.5,0.0,2.5,-1.3
19,19,16.0029,31457.28,3.12,0.74,mean,0.74,-0.74,0,76.0,75.0,76.1,0.0,3.12,-0.9
