timestamp,model,task,layer,variant,perturbation,score,split
2026-07-12T04:39:22.861326,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,-1,none,baseline,27.83,P
2026-07-12T04:40:26.568255,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,0,attn,avg,29.09,P
2026-07-12T04:41:36.821654,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,0,mlp,avg,32.39,P
2026-07-12T04:42:44.843258,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,1,attn,avg,29.4,P
2026-07-12T04:43:53.251371,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,1,mlp,avg,26.26,P
2026-07-12T04:45:01.212341,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,2,attn,avg,47.17,P
2026-07-12T04:46:10.966083,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,2,mlp,avg,32.08,P
2026-07-12T04:47:19.009145,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,3,attn,avg,35.69,P
2026-07-12T04:48:27.064019,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,3,mlp,avg,33.02,P
2026-07-12T04:49:34.749693,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,4,attn,avg,38.21,P
2026-07-12T04:50:41.892281,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,4,mlp,avg,33.49,P
2026-07-12T04:51:49.356390,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,5,attn,avg,27.83,P
2026-07-12T04:52:57.406293,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,5,mlp,avg,28.93,P
2026-07-12T04:54:05.338812,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,6,attn,avg,26.57,P
2026-07-12T04:55:13.006533,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,6,mlp,avg,32.55,P
2026-07-12T04:56:21.268739,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,7,attn,avg,27.83,P
2026-07-12T04:57:28.788328,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,7,mlp,avg,35.69,P
2026-07-12T04:58:36.066289,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,8,attn,avg,26.42,P
2026-07-12T04:59:43.898999,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,8,mlp,avg,26.89,P
2026-07-12T05:00:51.349754,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,9,attn,avg,29.56,P
2026-07-12T05:01:57.994746,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,9,mlp,avg,26.26,P
2026-07-12T05:03:04.151845,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,10,attn,avg,30.97,P
2026-07-12T05:04:10.050365,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,10,mlp,avg,27.67,P
2026-07-12T05:05:15.602336,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,11,attn,avg,30.19,P
2026-07-12T05:06:20.493296,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,11,mlp,avg,29.72,P
2026-07-12T05:07:26.349974,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,12,attn,avg,29.72,P
2026-07-12T05:08:32.523699,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,12,mlp,avg,29.56,P
2026-07-12T05:09:38.085087,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,13,attn,avg,27.99,P
2026-07-12T05:10:44.583823,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,13,mlp,avg,29.87,P
2026-07-12T05:11:51.147529,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,14,attn,avg,30.03,P
2026-07-12T05:12:57.039260,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,14,mlp,avg,28.14,P
2026-07-12T05:14:03.877696,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,15,attn,avg,28.93,P
2026-07-12T05:15:10.995284,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,15,mlp,avg,27.67,P
2026-07-12T05:16:17.759497,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,16,attn,avg,26.26,P
2026-07-12T05:17:24.646165,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,16,mlp,avg,29.56,P
2026-07-12T05:18:31.227505,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,17,attn,avg,26.26,P
2026-07-12T05:19:37.812764,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,17,mlp,avg,28.14,P
2026-07-12T05:20:44.634937,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,18,attn,avg,28.46,P
2026-07-12T05:21:51.488180,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,18,mlp,avg,27.83,P
2026-07-12T05:22:58.632272,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,19,attn,avg,28.77,P
2026-07-12T05:24:05.618854,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,19,mlp,avg,28.46,P
2026-07-12T05:25:14.576970,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,20,attn,avg,28.3,P
2026-07-12T05:26:21.264855,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,20,mlp,avg,27.52,P
2026-07-12T05:27:27.956918,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,21,attn,avg,28.46,P
2026-07-12T05:28:34.918536,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,21,mlp,avg,27.99,P
2026-07-12T05:29:42.086345,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,22,attn,avg,27.67,P
2026-07-12T05:30:49.184189,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,22,mlp,avg,28.77,P
2026-07-12T05:31:55.985859,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,23,attn,avg,27.83,P
2026-07-12T05:33:02.322393,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,23,mlp,avg,27.99,P
2026-07-12T05:34:08.973454,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,24,attn,avg,27.83,P
2026-07-12T05:35:15.407727,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,24,mlp,avg,27.83,P
2026-07-12T05:36:22.035792,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,25,attn,avg,28.14,P
2026-07-12T05:37:29.754740,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,25,mlp,avg,27.67,P
2026-07-12T05:38:36.652207,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,26,attn,avg,27.83,P
2026-07-12T05:39:43.140726,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,26,mlp,avg,27.67,P
2026-07-12T05:40:49.419862,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,27,attn,avg,27.67,P
2026-07-12T05:41:56.699658,/scratch/shared_dir/unified_models/Llama-3.1-8B-UltraMedical,medqa_4options,27,mlp,avg,27.99,P
