timestamp,model,task,layer,variant,perturbation,score,split
2026-07-11T21:07:08.708135,/scratch/shared_dir/unified_models/Llama-3.1-Hawkish-8B,mmlu_econometrics,-1,none,baseline,61.4,P
2026-07-11T21:08:28.096254,/scratch/shared_dir/unified_models/Llama-3.1-Hawkish-8B,mmlu_econometrics,0,attn,avg,47.37,P
2026-07-11T21:09:05.440190,/scratch/shared_dir/unified_models/Llama-3.1-Hawkish-8B,mmlu_econometrics,0,mlp,avg,31.58,P
2026-07-11T21:09:43.359349,/scratch/shared_dir/unified_models/Llama-3.1-Hawkish-8B,mmlu_econometrics,1,attn,avg,38.6,P
2026-07-11T21:10:21.522808,/scratch/shared_dir/unified_models/Llama-3.1-Hawkish-8B,mmlu_econometrics,1,mlp,avg,26.32,P
2026-07-11T21:10:58.500886,/scratch/shared_dir/unified_models/Llama-3.1-Hawkish-8B,mmlu_econometrics,2,attn,avg,43.86,P
2026-07-11T21:11:35.826259,/scratch/shared_dir/unified_models/Llama-3.1-Hawkish-8B,mmlu_econometrics,2,mlp,avg,43.86,P
2026-07-11T21:12:13.658226,/scratch/shared_dir/unified_models/Llama-3.1-Hawkish-8B,mmlu_econometrics,3,attn,avg,43.86,P
2026-07-11T21:12:51.233432,/scratch/shared_dir/unified_models/Llama-3.1-Hawkish-8B,mmlu_econometrics,3,mlp,avg,47.37,P
2026-07-11T21:13:28.979469,/scratch/shared_dir/unified_models/Llama-3.1-Hawkish-8B,mmlu_econometrics,4,attn,avg,49.12,P
2026-07-11T21:14:06.926679,/scratch/shared_dir/unified_models/Llama-3.1-Hawkish-8B,mmlu_econometrics,4,mlp,avg,47.37,P
2026-07-11T21:14:45.405751,/scratch/shared_dir/unified_models/Llama-3.1-Hawkish-8B,mmlu_econometrics,5,attn,avg,45.61,P
2026-07-11T21:15:23.780080,/scratch/shared_dir/unified_models/Llama-3.1-Hawkish-8B,mmlu_econometrics,5,mlp,avg,45.61,P
2026-07-11T21:16:02.254940,/scratch/shared_dir/unified_models/Llama-3.1-Hawkish-8B,mmlu_econometrics,6,attn,avg,38.6,P
2026-07-11T21:16:40.350991,/scratch/shared_dir/unified_models/Llama-3.1-Hawkish-8B,mmlu_econometrics,6,mlp,avg,42.11,P
2026-07-11T21:17:18.319947,/scratch/shared_dir/unified_models/Llama-3.1-Hawkish-8B,mmlu_econometrics,7,attn,avg,36.84,P
2026-07-11T21:17:57.187565,/scratch/shared_dir/unified_models/Llama-3.1-Hawkish-8B,mmlu_econometrics,7,mlp,avg,42.11,P
2026-07-11T21:18:34.982589,/scratch/shared_dir/unified_models/Llama-3.1-Hawkish-8B,mmlu_econometrics,8,attn,avg,42.11,P
2026-07-11T21:19:12.194852,/scratch/shared_dir/unified_models/Llama-3.1-Hawkish-8B,mmlu_econometrics,8,mlp,avg,47.37,P
2026-07-11T21:19:49.703563,/scratch/shared_dir/unified_models/Llama-3.1-Hawkish-8B,mmlu_econometrics,9,attn,avg,42.11,P
2026-07-11T21:20:27.059550,/scratch/shared_dir/unified_models/Llama-3.1-Hawkish-8B,mmlu_econometrics,9,mlp,avg,43.86,P
2026-07-11T21:21:04.392903,/scratch/shared_dir/unified_models/Llama-3.1-Hawkish-8B,mmlu_econometrics,10,attn,avg,50.88,P
2026-07-11T21:21:42.103720,/scratch/shared_dir/unified_models/Llama-3.1-Hawkish-8B,mmlu_econometrics,10,mlp,avg,40.35,P
2026-07-11T21:22:19.628217,/scratch/shared_dir/unified_models/Llama-3.1-Hawkish-8B,mmlu_econometrics,11,attn,avg,47.37,P
2026-07-11T21:22:56.782044,/scratch/shared_dir/unified_models/Llama-3.1-Hawkish-8B,mmlu_econometrics,11,mlp,avg,36.84,P
2026-07-11T21:23:34.044365,/scratch/shared_dir/unified_models/Llama-3.1-Hawkish-8B,mmlu_econometrics,12,attn,avg,43.86,P
2026-07-11T21:24:11.288213,/scratch/shared_dir/unified_models/Llama-3.1-Hawkish-8B,mmlu_econometrics,12,mlp,avg,52.63,P
2026-07-11T21:24:48.625055,/scratch/shared_dir/unified_models/Llama-3.1-Hawkish-8B,mmlu_econometrics,13,attn,avg,49.12,P
