timestamp,model,task,layer,variant,perturbation,score,split
2026-07-11T21:10:49.202064,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,-1,none,baseline,89.22,P
2026-07-11T21:12:08.788859,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,0,attn,avg,52.06,P
2026-07-11T21:12:48.026313,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,0,mlp,avg,52.75,P
2026-07-11T21:13:26.556999,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,1,attn,avg,61.24,P
2026-07-11T21:14:04.503874,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,1,mlp,avg,50.23,P
2026-07-11T21:14:42.829886,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,2,attn,avg,77.29,P
2026-07-11T21:15:20.767775,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,2,mlp,avg,77.98,P
2026-07-11T21:15:59.714409,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,3,attn,avg,63.53,P
2026-07-11T21:16:38.536775,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,3,mlp,avg,80.28,P
2026-07-11T21:17:16.875293,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,4,attn,avg,81.88,P
2026-07-11T21:17:54.964357,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,4,mlp,avg,85.55,P
2026-07-11T21:18:32.958366,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,5,attn,avg,85.32,P
2026-07-11T21:19:10.586183,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,5,mlp,avg,80.28,P
2026-07-11T21:19:48.137871,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,6,attn,avg,85.55,P
2026-07-11T21:20:25.955010,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,6,mlp,avg,85.32,P
2026-07-11T21:21:03.758496,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,7,attn,avg,78.67,P
2026-07-11T21:21:41.905829,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,7,mlp,avg,86.93,P
2026-07-11T21:22:20.426983,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,8,attn,avg,87.84,P
2026-07-11T21:22:57.874425,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,8,mlp,avg,88.07,P
2026-07-11T21:23:35.085963,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,9,attn,avg,86.7,P
2026-07-11T21:24:12.682336,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,9,mlp,avg,90.83,P
2026-07-11T21:24:50.545822,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,10,attn,avg,86.93,P
2026-07-11T21:25:28.849460,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,10,mlp,avg,88.3,P
2026-07-11T21:26:07.566178,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,11,attn,avg,87.61,P
2026-07-11T21:26:45.334943,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,11,mlp,avg,86.93,P
2026-07-11T21:27:22.792821,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,12,attn,avg,82.57,P
2026-07-11T21:27:59.691587,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,12,mlp,avg,87.61,P
2026-07-11T21:28:36.995331,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,13,attn,avg,85.55,P
2026-07-11T21:29:14.481852,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,13,mlp,avg,77.75,P
2026-07-11T21:29:51.673730,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,14,attn,avg,79.13,P
2026-07-11T21:30:29.062686,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,14,mlp,avg,89.45,P
2026-07-11T21:31:06.545151,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,15,attn,avg,88.76,P
2026-07-11T21:31:44.223156,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,15,mlp,avg,89.45,P
2026-07-11T21:32:22.046092,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,16,attn,avg,89.68,P
2026-07-11T21:32:59.598009,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,16,mlp,avg,89.45,P
2026-07-11T21:33:37.321378,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,17,attn,avg,87.61,P
2026-07-11T21:34:14.960382,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,17,mlp,avg,89.68,P
2026-07-11T21:34:52.121393,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,18,attn,avg,88.07,P
2026-07-11T21:35:29.906087,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,18,mlp,avg,87.16,P
2026-07-11T21:36:07.588581,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,19,attn,avg,88.07,P
2026-07-11T21:36:45.992938,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,19,mlp,avg,89.22,P
2026-07-11T21:37:24.207291,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,20,attn,avg,88.53,P
2026-07-11T21:38:11.989088,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,20,mlp,avg,87.16,P
2026-07-11T21:38:49.050640,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,21,attn,avg,88.99,P
2026-07-11T21:39:26.790407,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,21,mlp,avg,89.68,P
2026-07-11T21:40:04.393046,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,22,attn,avg,89.68,P
2026-07-11T21:40:41.264279,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,22,mlp,avg,88.3,P
2026-07-11T21:41:18.545751,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,23,attn,avg,89.22,P
2026-07-11T21:41:55.505296,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,23,mlp,avg,87.39,P
2026-07-11T21:42:32.952947,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,24,attn,avg,90.14,P
2026-07-11T21:43:09.989839,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,24,mlp,avg,89.45,P
2026-07-11T21:43:47.189280,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,25,attn,avg,88.53,P
2026-07-11T21:44:24.403138,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,25,mlp,avg,88.53,P
2026-07-11T21:45:01.657572,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,26,attn,avg,88.3,P
2026-07-11T21:45:39.233657,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,26,mlp,avg,89.45,P
2026-07-11T21:46:16.528601,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,27,attn,avg,87.61,P
2026-07-11T21:46:53.720873,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,27,mlp,avg,88.99,P
2026-07-11T21:47:31.622990,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,28,attn,avg,89.45,P
2026-07-11T21:48:09.116209,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,28,mlp,avg,88.3,P
2026-07-11T21:48:46.897858,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,29,attn,avg,88.76,P
2026-07-11T21:49:24.507656,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,29,mlp,avg,85.78,P
2026-07-11T21:50:02.332400,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,30,attn,avg,87.84,P
2026-07-11T21:50:39.937347,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,30,mlp,avg,83.03,P
2026-07-11T21:51:17.751729,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,31,attn,avg,84.86,P
2026-07-11T21:51:57.929462,/scratch/shared_dir/unified_models/Llama-SafetyGuard-Content-Binary,sst2,31,mlp,avg,86.7,P
