timestamp,step_idx,stage,op,component,layer,label,score,threshold,decision,scaled
2026-07-12T12:59:51.075008+00:00,-1,0,baseline,baseline,-1,Llama-3.1-8B-UltraMedical,43.12,0.0,baseline,False
2026-07-12T13:00:53.037622+00:00,0,1,merge,mlp,17,Llama-3.1-8B-UltraMedical,43.12,2.0,accepted,False
2026-07-12T13:01:21.392070+00:00,1,1,merge,mlp,19,Llama-3.1-8B-UltraMedical,43.12,2.0,accepted,False
2026-07-12T13:01:49.560686+00:00,2,1,merge,mlp,21,Llama-3.1-8B-UltraMedical,43.75,2.0,accepted,False
2026-07-12T13:02:16.939844+00:00,3,1,merge,mlp,23,Llama-3.1-8B-UltraMedical,43.75,2.0,accepted,False
2026-07-12T13:02:44.616530+00:00,4,1,merge,mlp,25,Llama-3.1-8B-UltraMedical,43.75,2.0,accepted,False
2026-07-12T13:03:12.619652+00:00,5,1,merge,mlp,27,Llama-3.1-8B-UltraMedical,43.75,2.0,accepted,False
2026-07-12T13:03:40.510066+00:00,6,1,merge,mlp,29,Llama-3.1-8B-UltraMedical,44.38,2.0,accepted,False
2026-07-12T13:04:08.782133+00:00,7,1,merge,mlp,15,Llama-3.1-8B-UltraMedical,47.5,2.0,accepted,False
2026-07-12T13:04:36.502403+00:00,8,1,merge,mlp,12,Llama-3.1-8B-UltraMedical,50.62,2.0,accepted,False
2026-07-12T13:05:04.050566+00:00,9,1,merge,mlp,10,Llama-3.1-8B-UltraMedical,54.37,2.0,accepted,False
2026-07-12T13:05:32.274502+00:00,10,1,merge,mlp,8,Llama-3.1-8B-UltraMedical,54.37,2.0,accepted,False
2026-07-12T13:06:00.879287+00:00,11,1,merge,mlp,31,Llama-3.1-8B-UltraMedical,55.62,2.0,accepted,False
2026-07-12T13:06:28.868539+00:00,12,1,merge,mlp,6,Llama-3.1-8B-UltraMedical,56.25,2.0,accepted,False
2026-07-12T13:06:56.645573+00:00,13,1,merge,mlp,4,Llama-3.1-8B-UltraMedical,58.13,2.0,accepted,False
2026-07-12T13:07:23.588712+00:00,14,1,merge,mlp,2,Llama-3.1-8B-UltraMedical,60.0,2.0,accepted,False
2026-07-12T13:07:51.929525+00:00,15,1,merge,mlp,18,Llama-3.1-8B-UltraMedical,59.38,2.0,accepted,False
2026-07-12T13:08:26.236323+00:00,16,1,merge,mlp,20,Llama-3.1-8B-UltraMedical,59.38,2.0,accepted,False
2026-07-12T13:08:55.467565+00:00,17,1,merge,mlp,22,Llama-3.1-8B-UltraMedical,58.75,2.0,accepted,False
2026-07-12T13:09:23.526899+00:00,18,1,merge,mlp,24,Llama-3.1-8B-UltraMedical,59.38,2.0,accepted,False
2026-07-12T13:09:51.391977+00:00,19,1,merge,mlp,26,Llama-3.1-8B-UltraMedical,58.75,2.0,accepted,False
2026-07-12T13:10:19.605424+00:00,20,1,merge,mlp,28,Llama-3.1-8B-UltraMedical,59.38,2.0,accepted,False
2026-07-12T13:10:47.248025+00:00,21,1,merge,mlp,16,Llama-3.1-8B-UltraMedical,59.38,2.0,accepted,False
2026-07-12T13:11:14.676785+00:00,22,1,merge,mlp,11,Llama-3.1-8B-UltraMedical,60.0,2.0,accepted,False
2026-07-12T13:11:43.044249+00:00,23,1,merge,mlp,9,Llama-3.1-8B-UltraMedical,61.25,2.0,accepted,False
2026-07-12T13:12:10.459383+00:00,24,1,merge,mlp,14,Llama-3.1-8B-UltraMedical,61.25,2.0,accepted,False
2026-07-12T13:12:38.057140+00:00,25,1,merge,mlp,13,Llama-3.1-8B-UltraMedical,60.62,2.0,accepted,False
2026-07-12T13:13:05.317541+00:00,26,1,merge,mlp,7,Llama-3.1-8B-UltraMedical,61.25,2.0,accepted,False
2026-07-12T13:13:32.292818+00:00,27,1,merge,mlp,5,Llama-3.1-8B-UltraMedical,61.88,2.0,accepted,False
2026-07-12T13:13:59.333775+00:00,28,1,merge,mlp,3,Llama-3.1-8B-UltraMedical,62.5,2.0,accepted,False
2026-07-12T13:14:26.219630+00:00,29,1,merge,mlp,30,Llama-3.1-8B-UltraMedical,62.5,2.0,accepted,False
2026-07-12T13:14:54.109763+00:00,30,1,merge,attn,15,Llama-3.1-8B-UltraMedical,63.75,2.0,accepted,False
2026-07-12T13:15:21.489751+00:00,31,1,merge,attn,18,Llama-3.1-8B-UltraMedical,62.5,2.0,accepted,False
2026-07-12T13:15:49.937543+00:00,32,1,merge,attn,20,Llama-3.1-8B-UltraMedical,63.12,2.0,accepted,False
2026-07-12T13:16:17.595434+00:00,33,1,merge,attn,23,Llama-3.1-8B-UltraMedical,62.5,2.0,accepted,False
2026-07-12T13:16:45.037433+00:00,34,1,merge,attn,25,Llama-3.1-8B-UltraMedical,62.5,2.0,accepted,False
2026-07-12T13:17:12.600840+00:00,35,1,merge,attn,28,Llama-3.1-8B-UltraMedical,62.5,2.0,accepted,False
2026-07-12T13:17:39.700931+00:00,36,1,merge,attn,30,Llama-3.1-8B-UltraMedical,63.12,2.0,accepted,False
2026-07-12T13:18:07.548995+00:00,37,1,merge,attn,13,Llama-3.1-8B-UltraMedical,63.12,2.0,accepted,False
2026-07-12T13:18:35.050199+00:00,38,1,merge,attn,6,Llama-3.1-8B-UltraMedical,61.88,2.0,accepted,False
2026-07-12T13:19:02.404521+00:00,39,1,merge,attn,11,Llama-3.1-8B-UltraMedical,61.25,2.0,accepted,False
2026-07-12T13:19:29.578819+00:00,40,1,merge,attn,9,Llama-3.1-8B-UltraMedical,62.5,2.0,accepted,False
2026-07-12T13:19:56.491845+00:00,41,1,merge,attn,4,Llama-3.1-8B-UltraMedical,61.88,2.0,accepted,False
2026-07-12T13:20:23.059998+00:00,42,1,merge,attn,2,Llama-3.1-8B-UltraMedical,63.75,2.0,accepted,False
2026-07-12T13:20:50.963414+00:00,43,1,merge,attn,0,Llama-3.1-8B-UltraMedical,62.5,2.0,accepted,False
2026-07-12T13:21:17.941461+00:00,44,1,merge,attn,21,Llama-3.1-8B-UltraMedical,63.12,2.0,accepted,False
2026-07-12T13:21:44.830796+00:00,45,1,merge,attn,24,Llama-3.1-8B-UltraMedical,63.12,2.0,accepted,False
2026-07-12T13:22:11.784287+00:00,46,1,merge,attn,26,Llama-3.1-8B-UltraMedical,63.12,2.0,accepted,False
2026-07-12T13:22:39.623627+00:00,47,1,merge,attn,19,Llama-3.1-8B-UltraMedical,63.12,2.0,accepted,False
2026-07-12T13:23:06.685794+00:00,48,1,merge,attn,27,Llama-3.1-8B-UltraMedical,63.12,2.0,accepted,False
2026-07-12T13:23:34.161603+00:00,49,1,merge,attn,22,Llama-3.1-8B-UltraMedical,63.12,2.0,accepted,False
2026-07-12T13:24:01.829398+00:00,50,1,merge,attn,29,Llama-3.1-8B-UltraMedical,63.12,2.0,accepted,False
2026-07-12T13:24:29.335311+00:00,51,1,merge,attn,31,Llama-3.1-8B-UltraMedical,63.12,2.0,accepted,False
2026-07-12T13:24:56.587140+00:00,52,1,merge,attn,14,Llama-3.1-8B-UltraMedical,62.5,2.0,accepted,False
2026-07-12T13:25:23.813207+00:00,53,1,merge,attn,17,Llama-3.1-8B-UltraMedical,63.12,2.0,accepted,False
2026-07-12T13:25:50.915003+00:00,54,1,merge,attn,16,Llama-3.1-8B-UltraMedical,63.75,2.0,accepted,False
2026-07-12T13:26:18.496215+00:00,55,1,merge,attn,12,Llama-3.1-8B-UltraMedical,63.12,2.0,accepted,False
2026-07-12T13:26:45.928931+00:00,56,1,merge,attn,10,Llama-3.1-8B-UltraMedical,63.75,2.0,accepted,False
2026-07-12T13:27:12.396093+00:00,57,1,merge,attn,5,Llama-3.1-8B-UltraMedical,65.62,2.0,accepted,False
2026-07-12T13:27:39.796308+00:00,58,1,merge,attn,8,Llama-3.1-8B-UltraMedical,64.38,2.0,accepted,False
2026-07-12T13:28:06.568127+00:00,59,1,merge,attn,7,Llama-3.1-8B-UltraMedical,63.75,2.0,accepted,False
2026-07-12T13:28:33.182462+00:00,60,1,merge,attn,3,Llama-3.1-8B-UltraMedical,63.75,2.0,accepted,False
2026-07-12T13:29:01.031838+00:00,61,2,merge,attn,4,Llama-3.1-8B-UltraMedical,63.12,2.0,accepted,False
