timestamp,step_idx,stage,op,component,layer,label,score,threshold,decision,scaled
2026-07-12T13:21:53.290532+00:00,-1,0,baseline,baseline,-1,Llama-3.1-Hawkish-8B,43.86,0.0,baseline,False
2026-07-12T13:22:50.972519+00:00,0,1,merge,mlp,17,Llama-3.1-Hawkish-8B,42.11,2.0,accepted,False
2026-07-12T13:23:15.096627+00:00,1,1,merge,mlp,19,Llama-3.1-Hawkish-8B,42.11,2.0,accepted,False
2026-07-12T13:23:38.219756+00:00,2,1,merge,mlp,21,Llama-3.1-Hawkish-8B,43.86,2.0,accepted,False
2026-07-12T13:24:01.839344+00:00,3,1,merge,mlp,23,Llama-3.1-Hawkish-8B,43.86,2.0,accepted,False
2026-07-12T13:24:25.307684+00:00,4,1,merge,mlp,25,Llama-3.1-Hawkish-8B,43.86,2.0,accepted,False
2026-07-12T13:24:48.538770+00:00,5,1,merge,mlp,27,Llama-3.1-Hawkish-8B,45.61,2.0,accepted,False
2026-07-12T13:25:11.827454+00:00,6,1,merge,mlp,29,Llama-3.1-Hawkish-8B,43.86,2.0,accepted,False
2026-07-12T13:25:35.430454+00:00,7,1,merge,mlp,18,Llama-3.1-Hawkish-8B,43.86,2.0,accepted,False
2026-07-12T13:26:05.957190+00:00,8,1,merge,mlp,20,Llama-3.1-Hawkish-8B,43.86,2.0,accepted,False
2026-07-12T13:26:30.138306+00:00,9,1,merge,mlp,22,Llama-3.1-Hawkish-8B,42.11,2.0,accepted,False
2026-07-12T13:26:53.609841+00:00,10,1,merge,mlp,24,Llama-3.1-Hawkish-8B,42.11,2.0,accepted,False
2026-07-12T13:27:16.787519+00:00,11,1,merge,mlp,26,Llama-3.1-Hawkish-8B,43.86,2.0,accepted,False
2026-07-12T13:27:40.301763+00:00,12,1,merge,mlp,28,Llama-3.1-Hawkish-8B,43.86,2.0,accepted,False
2026-07-12T13:28:03.436837+00:00,13,1,merge,attn,15,Llama-3.1-Hawkish-8B,43.86,2.0,accepted,False
2026-07-12T13:28:26.822732+00:00,14,1,merge,attn,18,Llama-3.1-Hawkish-8B,42.11,2.0,accepted,False
2026-07-12T13:28:50.072415+00:00,15,1,merge,attn,20,Llama-3.1-Hawkish-8B,42.11,2.0,accepted,False
2026-07-12T13:29:12.813702+00:00,16,1,merge,attn,23,Llama-3.1-Hawkish-8B,43.86,2.0,accepted,False
2026-07-12T13:29:35.552576+00:00,17,1,merge,attn,25,Llama-3.1-Hawkish-8B,42.11,2.0,accepted,False
2026-07-12T13:29:58.334043+00:00,18,1,merge,attn,28,Llama-3.1-Hawkish-8B,42.11,2.0,accepted,False
2026-07-12T13:30:21.132000+00:00,19,1,merge,attn,30,Llama-3.1-Hawkish-8B,43.86,2.0,accepted,False
2026-07-12T13:30:44.105443+00:00,20,1,merge,attn,21,Llama-3.1-Hawkish-8B,42.11,2.0,accepted,False
2026-07-12T13:31:06.951215+00:00,21,1,merge,attn,24,Llama-3.1-Hawkish-8B,42.11,2.0,accepted,False
2026-07-12T13:31:30.062896+00:00,22,1,merge,attn,26,Llama-3.1-Hawkish-8B,43.86,2.0,accepted,False
2026-07-12T13:31:53.601729+00:00,23,1,merge,attn,19,Llama-3.1-Hawkish-8B,42.11,2.0,accepted,False
2026-07-12T13:32:16.565672+00:00,24,1,merge,attn,27,Llama-3.1-Hawkish-8B,43.86,2.0,accepted,False
2026-07-12T13:32:39.905407+00:00,25,1,merge,attn,14,Llama-3.1-Hawkish-8B,42.11,2.0,accepted,False
2026-07-12T13:33:03.164010+00:00,26,2,merge,attn,27,Llama-3.1-Hawkish-8B,45.61,2.0,accepted,False
2026-07-12T13:33:25.976253+00:00,27,2,merge,attn,14,Llama-3.1-Hawkish-8B,42.11,2.0,accepted,False
