timestamp,step_idx,stage,op,component,layer,label,score,threshold,decision,scaled
2026-07-12T12:59:47.635686+00:00,-1,0,baseline,baseline,-1,Llama-SafetyGuard-Content-Binary,91.06,0.0,baseline,False
2026-07-12T13:00:46.833421+00:00,0,1,merge,mlp,17,Llama-SafetyGuard-Content-Binary,91.06,2.0,accepted,False
2026-07-12T13:01:11.543417+00:00,1,1,merge,mlp,19,Llama-SafetyGuard-Content-Binary,91.06,2.0,accepted,False
2026-07-12T13:01:36.171342+00:00,2,1,merge,mlp,21,Llama-SafetyGuard-Content-Binary,91.06,2.0,accepted,False
2026-07-12T13:01:59.820614+00:00,3,1,merge,mlp,23,Llama-SafetyGuard-Content-Binary,91.06,2.0,accepted,False
2026-07-12T13:02:23.795852+00:00,4,1,merge,mlp,25,Llama-SafetyGuard-Content-Binary,91.06,2.0,accepted,False
2026-07-12T13:02:47.868817+00:00,5,1,merge,mlp,27,Llama-SafetyGuard-Content-Binary,91.06,2.0,accepted,False
2026-07-12T13:03:12.038758+00:00,6,1,merge,mlp,29,Llama-SafetyGuard-Content-Binary,91.06,2.0,accepted,False
2026-07-12T13:03:36.976327+00:00,7,1,merge,mlp,15,Llama-SafetyGuard-Content-Binary,91.06,2.0,accepted,False
2026-07-12T13:04:01.803478+00:00,8,1,merge,mlp,12,Llama-SafetyGuard-Content-Binary,90.83,2.0,accepted,False
2026-07-12T13:04:26.037793+00:00,9,1,merge,mlp,10,Llama-SafetyGuard-Content-Binary,90.83,2.0,accepted,False
2026-07-12T13:04:50.128831+00:00,10,1,merge,mlp,8,Llama-SafetyGuard-Content-Binary,90.37,2.0,accepted,False
2026-07-12T13:05:15.104089+00:00,11,1,merge,mlp,31,Llama-SafetyGuard-Content-Binary,90.6,2.0,accepted,False
2026-07-12T13:05:39.836907+00:00,12,1,merge,mlp,6,Llama-SafetyGuard-Content-Binary,90.83,2.0,accepted,False
2026-07-12T13:06:03.503883+00:00,13,1,merge,mlp,4,Llama-SafetyGuard-Content-Binary,90.83,2.0,accepted,False
2026-07-12T13:06:28.222080+00:00,14,1,merge,mlp,18,Llama-SafetyGuard-Content-Binary,91.06,2.0,accepted,False
2026-07-12T13:06:59.745080+00:00,15,1,merge,mlp,20,Llama-SafetyGuard-Content-Binary,91.06,2.0,accepted,False
2026-07-12T13:07:24.844287+00:00,16,1,merge,mlp,22,Llama-SafetyGuard-Content-Binary,90.83,2.0,accepted,False
2026-07-12T13:07:48.923145+00:00,17,1,merge,mlp,24,Llama-SafetyGuard-Content-Binary,91.06,2.0,accepted,False
2026-07-12T13:08:13.177864+00:00,18,1,merge,mlp,26,Llama-SafetyGuard-Content-Binary,90.83,2.0,accepted,False
2026-07-12T13:08:37.627917+00:00,19,1,merge,mlp,28,Llama-SafetyGuard-Content-Binary,90.83,2.0,accepted,False
2026-07-12T13:09:01.842940+00:00,20,1,merge,mlp,16,Llama-SafetyGuard-Content-Binary,90.83,2.0,accepted,False
2026-07-12T13:09:26.575581+00:00,21,1,merge,mlp,11,Llama-SafetyGuard-Content-Binary,90.83,2.0,accepted,False
2026-07-12T13:09:50.880562+00:00,22,1,merge,mlp,9,Llama-SafetyGuard-Content-Binary,91.06,2.0,accepted,False
2026-07-12T13:10:15.411911+00:00,23,1,merge,mlp,14,Llama-SafetyGuard-Content-Binary,90.6,2.0,accepted,False
2026-07-12T13:10:39.594768+00:00,24,1,merge,mlp,7,Llama-SafetyGuard-Content-Binary,90.6,2.0,accepted,False
