timestamp,step_idx,stage,op,component,layer,label,score,threshold,decision,scaled
2026-07-12T13:00:01.937778+00:00,-1,0,baseline,baseline,-1,calme-2.3-legalkit-8b,45.89,0.0,baseline,False
2026-07-12T13:01:16.051110+00:00,0,1,merge,mlp,17,calme-2.3-legalkit-8b,46.15,2.0,accepted,False
2026-07-12T13:01:55.876694+00:00,1,1,merge,mlp,19,calme-2.3-legalkit-8b,45.89,2.0,accepted,False
2026-07-12T13:02:34.678332+00:00,2,1,merge,mlp,21,calme-2.3-legalkit-8b,46.28,2.0,accepted,False
2026-07-12T13:03:13.109636+00:00,3,1,merge,mlp,23,calme-2.3-legalkit-8b,46.41,2.0,accepted,False
2026-07-12T13:03:52.031763+00:00,4,1,merge,mlp,25,calme-2.3-legalkit-8b,46.28,2.0,accepted,False
2026-07-12T13:04:31.126458+00:00,5,1,merge,mlp,27,calme-2.3-legalkit-8b,46.81,2.0,accepted,False
2026-07-12T13:05:09.950227+00:00,6,1,merge,mlp,29,calme-2.3-legalkit-8b,46.68,2.0,accepted,False
2026-07-12T13:05:49.408208+00:00,7,1,merge,mlp,15,calme-2.3-legalkit-8b,46.41,2.0,accepted,False
2026-07-12T13:06:28.961752+00:00,8,1,merge,mlp,12,calme-2.3-legalkit-8b,45.89,2.0,accepted,False
2026-07-12T13:07:08.756229+00:00,9,1,merge,mlp,10,calme-2.3-legalkit-8b,46.81,2.0,accepted,False
2026-07-12T13:07:47.118728+00:00,10,1,merge,mlp,8,calme-2.3-legalkit-8b,46.54,2.0,accepted,False
2026-07-12T13:08:27.562878+00:00,11,1,merge,mlp,31,calme-2.3-legalkit-8b,46.41,2.0,accepted,False
2026-07-12T13:09:07.465634+00:00,12,1,merge,mlp,18,calme-2.3-legalkit-8b,46.68,2.0,accepted,False
2026-07-12T13:09:53.052301+00:00,13,1,merge,mlp,20,calme-2.3-legalkit-8b,46.94,2.0,accepted,False
2026-07-12T13:10:33.444734+00:00,14,1,merge,mlp,22,calme-2.3-legalkit-8b,46.54,2.0,accepted,False
2026-07-12T13:11:12.261785+00:00,15,1,merge,mlp,24,calme-2.3-legalkit-8b,46.81,2.0,accepted,False
2026-07-12T13:11:51.669006+00:00,16,1,merge,mlp,26,calme-2.3-legalkit-8b,47.2,2.0,accepted,False
2026-07-12T13:12:31.060938+00:00,17,1,merge,mlp,28,calme-2.3-legalkit-8b,46.94,2.0,accepted,False
2026-07-12T13:13:10.400421+00:00,18,1,merge,mlp,16,calme-2.3-legalkit-8b,46.81,2.0,accepted,False
2026-07-12T13:13:49.003879+00:00,19,1,merge,mlp,11,calme-2.3-legalkit-8b,47.07,2.0,accepted,False
2026-07-12T13:14:28.352329+00:00,20,1,merge,mlp,9,calme-2.3-legalkit-8b,46.41,2.0,accepted,False
2026-07-12T13:15:07.165814+00:00,21,1,merge,mlp,14,calme-2.3-legalkit-8b,46.81,2.0,accepted,False
2026-07-12T13:15:45.961893+00:00,22,1,merge,mlp,13,calme-2.3-legalkit-8b,46.28,2.0,accepted,False
2026-07-12T13:16:24.917388+00:00,23,1,merge,attn,15,calme-2.3-legalkit-8b,46.54,2.0,accepted,False
2026-07-12T13:17:03.544861+00:00,24,1,merge,attn,18,calme-2.3-legalkit-8b,46.81,2.0,accepted,False
2026-07-12T13:17:42.299068+00:00,25,1,merge,attn,20,calme-2.3-legalkit-8b,46.68,2.0,accepted,False
2026-07-12T13:18:20.408124+00:00,26,1,merge,attn,23,calme-2.3-legalkit-8b,46.81,2.0,accepted,False
2026-07-12T13:18:58.558992+00:00,27,1,merge,attn,25,calme-2.3-legalkit-8b,46.81,2.0,accepted,False
2026-07-12T13:19:37.161461+00:00,28,1,merge,attn,28,calme-2.3-legalkit-8b,46.81,2.0,accepted,False
2026-07-12T13:20:15.559777+00:00,29,1,merge,attn,30,calme-2.3-legalkit-8b,46.41,2.0,accepted,False
2026-07-12T13:20:54.321242+00:00,30,1,merge,attn,13,calme-2.3-legalkit-8b,46.68,2.0,accepted,False
2026-07-12T13:21:32.669921+00:00,31,1,merge,attn,6,calme-2.3-legalkit-8b,46.68,2.0,accepted,False
2026-07-12T13:22:10.889126+00:00,32,1,merge,attn,21,calme-2.3-legalkit-8b,46.81,2.0,accepted,False
2026-07-12T13:22:49.467164+00:00,33,1,merge,attn,24,calme-2.3-legalkit-8b,47.33,2.0,accepted,False
2026-07-12T13:23:28.007429+00:00,34,1,merge,attn,26,calme-2.3-legalkit-8b,47.07,2.0,accepted,False
2026-07-12T13:24:07.152899+00:00,35,1,merge,attn,19,calme-2.3-legalkit-8b,46.94,2.0,accepted,False
2026-07-12T13:24:45.763528+00:00,36,1,merge,attn,27,calme-2.3-legalkit-8b,46.81,2.0,accepted,False
2026-07-12T13:25:24.227076+00:00,37,1,merge,attn,22,calme-2.3-legalkit-8b,46.81,2.0,accepted,False
2026-07-12T13:26:02.311484+00:00,38,1,merge,attn,29,calme-2.3-legalkit-8b,46.94,2.0,accepted,False
2026-07-12T13:26:40.615583+00:00,39,1,merge,attn,31,calme-2.3-legalkit-8b,47.07,2.0,accepted,False
2026-07-12T13:27:19.594222+00:00,40,1,merge,attn,14,calme-2.3-legalkit-8b,46.81,2.0,accepted,False
2026-07-12T13:27:58.271518+00:00,41,1,merge,attn,17,calme-2.3-legalkit-8b,46.54,2.0,accepted,False
2026-07-12T13:28:37.082321+00:00,42,1,merge,attn,12,calme-2.3-legalkit-8b,47.2,2.0,accepted,False
2026-07-12T13:29:16.429337+00:00,43,2,merge,attn,12,calme-2.3-legalkit-8b,46.68,2.0,accepted,False
