timestamp,step_idx,stage,op,component,layer,label,score,threshold,decision,scaled
2026-07-13T04:53:55.206357+00:00,-1,0,baseline,baseline,-1,Llama-3.1-Hawkish-8B,49.12,0.0,baseline,False
2026-07-13T04:54:30.409849+00:00,0,1,merge,mlp,17,Llama-3.1-Hawkish-8B,50.88,2.0,accepted,False
2026-07-13T04:55:29.790379+00:00,1,1,merge,mlp,19,Llama-3.1-Hawkish-8B,45.61,2.0,rejected,False
2026-07-13T04:55:46.503626+00:00,2,1,merge,mlp,21,Llama-3.1-Hawkish-8B,50.88,2.0,accepted,False
2026-07-13T04:56:03.946424+00:00,3,1,merge,mlp,23,Llama-3.1-Hawkish-8B,50.88,2.0,accepted,False
2026-07-13T04:56:21.465639+00:00,4,1,merge,mlp,25,Llama-3.1-Hawkish-8B,47.37,2.0,accepted,False
2026-07-13T04:56:38.748981+00:00,5,1,merge,mlp,27,Llama-3.1-Hawkish-8B,50.88,2.0,accepted,False
2026-07-13T04:56:56.575437+00:00,6,1,merge,mlp,29,Llama-3.1-Hawkish-8B,50.88,2.0,accepted,False
2026-07-13T04:57:14.380322+00:00,7,1,merge,mlp,18,Llama-3.1-Hawkish-8B,49.12,2.0,accepted,False
2026-07-13T04:57:38.036357+00:00,8,1,merge,mlp,20,Llama-3.1-Hawkish-8B,50.88,2.0,accepted,False
2026-07-13T04:57:56.360364+00:00,9,1,merge,mlp,22,Llama-3.1-Hawkish-8B,50.88,2.0,accepted,False
2026-07-13T04:58:13.845406+00:00,10,1,merge,mlp,24,Llama-3.1-Hawkish-8B,50.88,2.0,accepted,False
2026-07-13T04:58:31.224974+00:00,11,1,merge,mlp,26,Llama-3.1-Hawkish-8B,50.88,2.0,accepted,False
2026-07-13T04:58:48.839920+00:00,12,1,merge,mlp,28,Llama-3.1-Hawkish-8B,50.88,2.0,accepted,False
2026-07-13T04:59:06.227167+00:00,13,1,merge,attn,15,Llama-3.1-Hawkish-8B,49.12,2.0,accepted,False
2026-07-13T04:59:23.266717+00:00,14,1,merge,attn,18,Llama-3.1-Hawkish-8B,50.88,2.0,accepted,False
2026-07-13T04:59:40.467024+00:00,15,1,merge,attn,20,Llama-3.1-Hawkish-8B,50.88,2.0,accepted,False
2026-07-13T04:59:57.246317+00:00,16,1,merge,attn,23,Llama-3.1-Hawkish-8B,50.88,2.0,accepted,False
2026-07-13T05:00:14.101104+00:00,17,1,merge,attn,25,Llama-3.1-Hawkish-8B,50.88,2.0,accepted,False
2026-07-13T05:00:30.970893+00:00,18,1,merge,attn,28,Llama-3.1-Hawkish-8B,50.88,2.0,accepted,False
2026-07-13T05:00:48.123688+00:00,19,1,merge,attn,30,Llama-3.1-Hawkish-8B,49.12,2.0,accepted,False
2026-07-13T05:01:05.422417+00:00,20,1,merge,attn,19,Llama-3.1-Hawkish-8B,47.37,2.0,accepted,False
2026-07-13T05:01:22.662847+00:00,21,1,merge,attn,21,Llama-3.1-Hawkish-8B,49.12,2.0,accepted,False
2026-07-13T05:01:39.033267+00:00,22,1,merge,attn,24,Llama-3.1-Hawkish-8B,49.12,2.0,accepted,False
2026-07-13T05:01:56.201687+00:00,23,1,merge,attn,26,Llama-3.1-Hawkish-8B,49.12,2.0,accepted,False
2026-07-13T05:02:12.466863+00:00,24,1,merge,attn,27,Llama-3.1-Hawkish-8B,49.12,2.0,accepted,False
2026-07-13T05:02:29.745045+00:00,25,1,merge,attn,14,Llama-3.1-Hawkish-8B,47.37,2.0,accepted,False
