cutoff,steps,savings_pct,savings_mb,worst_drop,mean_drop,accuracy_metric,accuracy_drop,accuracy,frontier,Llama-3.1-8B-Instruct-multi-truth-judge__score,Llama-3.1-8B-UltraMedical__score,Llama-3.1-Hawkish-8B__score,Llama-SafetyGuard-Content-Binary__score,calme-2.3-legalkit-8b__score,Llama-3.1-8B-Instruct-multi-truth-judge__drop,Llama-3.1-8B-UltraMedical__drop,Llama-3.1-Hawkish-8B__drop,Llama-SafetyGuard-Content-Binary__drop,calme-2.3-legalkit-8b__drop
0,0,1.755,1409.286,1.03,-0.218,mean,-0.218,0.218,0,70.0,65.0,50.88,88.99,47.98,1.03,0.0,-1.76,-0.23,-0.13
1,1,3.0712,2466.251,1.14,-0.144,mean,-0.144,0.144,0,69.89,65.0,50.88,88.99,47.72,1.14,0.0,-1.76,-0.23,0.13
2,2,4.8262,3875.537,1.16,-0.114,mean,-0.114,0.114,0,69.87,65.0,50.88,88.99,47.59,1.16,0.0,-1.76,-0.23,0.26
3,3,6.5811,5284.823,1.0,0.024,mean,0.024,-0.024,0,70.03,64.38,50.88,88.76,47.59,1.0,0.62,-1.76,0.0,0.26
4,4,8.3361,6694.109,1.75,0.644,mean,0.644,-0.644,0,70.08,65.0,47.37,88.76,47.33,0.95,0.0,1.75,0.0,0.52
5,5,10.0911,8103.395,0.62,-0.212,mean,-0.212,0.212,0,70.59,64.38,50.88,88.99,47.98,0.44,0.62,-1.76,-0.23,-0.13
6,6,11.846,9512.681,0.62,-0.38,mean,-0.38,0.38,0,70.97,64.38,50.88,89.45,47.98,0.06,0.62,-1.76,-0.69,-0.13
7,7,13.1623,10569.646,0.62,0.126,mean,0.126,-0.126,0,70.72,64.38,49.12,89.45,47.46,0.31,0.62,0.0,-0.69,0.39
8,8,14.4785,11626.611,1.25,-0.084,mean,-0.084,0.084,0,71.01,63.75,50.88,88.3,48.24,0.02,1.25,-1.76,0.46,-0.39
9,9,15.7947,12683.575,0.34,-0.618,mean,-0.618,0.618,0,70.69,65.0,50.88,89.91,48.37,0.34,0.0,-1.76,-1.15,-0.52
10,10,17.111,13740.54,0.62,-0.374,mean,-0.374,0.374,0,71.66,64.38,50.88,88.99,47.72,-0.63,0.62,-1.76,-0.23,0.13
11,11,18.4272,14797.505,1.25,-0.516,mean,-0.516,0.516,0,72.28,63.75,50.88,89.45,47.98,-1.25,1.25,-1.76,-0.69,-0.13
12,12,19.7434,15854.469,1.25,-0.526,mean,-0.526,0.526,0,72.76,63.75,50.88,88.76,48.24,-1.73,1.25,-1.76,0.0,-0.39
13,13,21.0596,16911.434,1.25,-0.036,mean,-0.036,0.036,0,72.49,63.75,49.12,88.99,47.59,-1.46,1.25,0.0,-0.23,0.26
14,14,22.8146,18320.72,0.23,-0.758,mean,-0.758,0.758,0,73.29,65.0,50.88,88.53,47.85,-2.26,0.0,-1.76,0.23,0.0
15,15,24.5696,19730.006,1.25,-0.784,mean,-0.784,0.784,0,73.56,63.75,50.88,88.99,48.5,-2.53,1.25,-1.76,-0.23,-0.65
16,16,25.8858,20786.971,1.25,-0.848,mean,-0.848,0.848,0,73.88,63.75,50.88,88.99,48.5,-2.85,1.25,-1.76,-0.23,-0.65
17,17,27.202,21843.935,0.62,-0.926,mean,-0.926,0.926,0,74.19,64.38,50.88,89.22,47.72,-3.16,0.62,-1.76,-0.46,0.13
18,18,28.5183,22900.9,1.88,-0.748,mean,-0.748,0.748,0,74.76,63.12,50.88,88.76,47.98,-3.73,1.88,-1.76,0.0,-0.13
19,19,29.8345,23957.864,1.25,-0.648,mean,-0.648,0.648,0,75.03,63.75,49.12,88.99,48.11,-4.0,1.25,0.0,-0.23,-0.26
20,20,31.1507,25014.829,1.75,-0.342,mean,-0.342,0.342,0,75.12,63.75,47.37,88.99,48.24,-4.09,1.25,1.75,-0.23,-0.39
