cutoff,steps,savings_pct,savings_mb,worst_drop,mean_drop,accuracy_metric,accuracy_drop,accuracy,frontier,Llama-3.1-8B-Instruct-multi-truth-judge__score,Llama-3.1-8B-UltraMedical__score,Llama-3.1-Hawkish-8B__score,Llama-SafetyGuard-Content-Binary__score,Qwen2.5-Coder-7B-Instruct__score,Qwen2.5-Math-7B-Instruct__score,calme-2.3-legalkit-8b__score,deepseek-coder-7b-instruct-v1.5__score,deepseek-math-7b-instruct__score,Llama-3.1-8B-Instruct-multi-truth-judge__drop,Llama-3.1-8B-UltraMedical__drop,Llama-3.1-Hawkish-8B__drop,Llama-SafetyGuard-Content-Binary__drop,Qwen2.5-Coder-7B-Instruct__drop,Qwen2.5-Math-7B-Instruct__drop,calme-2.3-legalkit-8b__drop,deepseek-coder-7b-instruct-v1.5__drop,deepseek-math-7b-instruct__drop
0,0,1.2462,1724.834,1.22,-0.1767,mean,-0.1767,0.1767,0,70.0,65.0,50.88,88.99,89.02,91.0,47.98,73.17,80.6,1.03,0.0,-1.76,-0.23,-1.22,-0.3,-0.13,1.22,-0.2
1,1,2.1726,3007.029,1.21,-0.2411,mean,-0.2411,0.2411,0,69.89,65.0,50.88,88.99,86.59,90.4,47.72,78.05,79.7,1.14,0.0,-1.76,-0.23,1.21,0.3,0.13,-3.66,0.7
2,2,3.3538,4641.817,2.43,0.0111,mean,0.0111,-0.0111,0,69.87,65.0,50.88,88.99,85.37,89.1,47.59,78.05,80.1,1.16,0.0,-1.76,-0.23,2.43,1.6,0.26,-3.66,0.3
3,3,4.4606,6173.811,1.5,-0.3044,mean,-0.3044,0.3044,0,70.03,64.38,50.88,88.76,87.8,91.4,47.59,78.05,78.9,1.0,0.62,-1.76,0.0,0.0,-0.7,0.26,-3.66,1.5
4,4,5.5649,7702.151,1.75,0.3767,mean,0.3767,-0.3767,0,70.08,65.0,47.37,88.76,86.59,90.9,47.33,76.83,78.8,0.95,0.0,1.75,0.0,1.21,-0.2,0.52,-2.44,1.6
5,5,6.6691,9230.492,1.8,0.0789,mean,0.0789,-0.0789,0,70.59,64.38,50.88,88.99,86.59,89.5,47.98,76.83,78.6,0.44,0.62,-1.76,-0.23,1.21,1.2,-0.13,-2.44,1.8
6,6,7.7522,10729.603,1.8,-0.1722,mean,-0.1722,0.1722,0,70.97,64.38,50.88,89.45,86.59,89.7,47.98,78.05,78.6,0.06,0.62,-1.76,-0.69,1.21,1.0,-0.13,-3.66,1.8
7,7,8.5993,11901.968,2.43,0.2911,mean,0.2911,-0.2911,0,70.72,64.38,49.12,89.45,85.37,91.0,47.46,76.83,78.1,0.31,0.62,0.0,-0.69,2.43,-0.3,0.39,-2.44,2.3
8,8,9.4354,13059.203,2.43,0.23,mean,0.23,-0.23,0,71.01,63.75,50.88,88.3,85.37,90.6,48.24,76.83,78.0,0.02,1.25,-1.76,0.46,2.43,0.1,-0.39,-2.44,2.4
9,9,10.2715,14216.438,2.43,0.0822,mean,0.0822,-0.0822,0,70.69,65.0,50.88,89.91,85.37,91.2,48.37,74.39,78.5,0.34,0.0,-1.76,-1.15,2.43,-0.5,-0.52,0.0,1.9
10,10,11.062,15310.479,0.62,-0.4567,mean,-0.4567,0.4567,1,71.66,64.38,50.88,88.99,87.8,90.9,47.72,76.83,80.0,-0.63,0.62,-1.76,-0.23,0.0,-0.2,0.13,-2.44,0.4
11,11,11.8683,16426.443,1.9,0.1033,mean,0.1033,-0.1033,0,72.28,63.75,50.88,89.45,86.59,90.3,47.98,74.39,78.5,-1.25,1.25,-1.76,-0.69,1.21,0.4,-0.13,0.0,1.9
12,12,12.6587,17520.484,2.43,-0.1911,mean,-0.1911,0.1911,0,72.76,63.75,50.88,88.76,85.37,91.7,48.24,75.61,79.7,-1.73,1.25,-1.76,0.0,2.43,-1.0,-0.39,-1.22,0.7
13,13,13.4492,18614.526,2.43,0.1367,mean,0.1367,-0.1367,0,72.49,63.75,49.12,88.99,85.37,92.0,47.59,75.61,78.9,-1.46,1.25,0.0,-0.23,2.43,-1.3,0.26,-1.22,1.5
14,14,14.4915,20057.235,2.43,-0.2311,mean,-0.2311,0.2311,0,73.29,65.0,50.88,88.53,85.37,92.0,47.85,75.61,78.6,-2.26,0.0,-1.76,0.23,2.43,-1.3,0.0,-1.22,1.8
15,15,15.5339,21499.945,2.43,-0.1433,mean,-0.1433,0.1433,0,73.56,63.75,50.88,88.99,85.37,92.0,48.5,74.39,78.9,-2.53,1.25,-1.76,-0.23,2.43,-1.3,-0.65,0.0,1.5
16,16,16.2976,22556.91,2.43,-0.1789,mean,-0.1789,0.1789,0,73.88,63.75,50.88,88.99,85.37,92.0,48.5,74.39,78.9,-2.85,1.25,-1.76,-0.23,2.43,-1.3,-0.65,0.0,1.5
17,17,17.0612,23613.874,2.43,-0.2222,mean,-0.2222,0.2222,0,74.19,64.38,50.88,89.22,85.37,92.0,47.72,74.39,78.9,-3.16,0.62,-1.76,-0.46,2.43,-1.3,0.13,0.0,1.5
18,18,17.8249,24670.839,2.43,-0.1233,mean,-0.1233,0.1233,0,74.76,63.12,50.88,88.76,85.37,92.0,47.98,74.39,78.9,-3.73,1.88,-1.76,0.0,2.43,-1.3,-0.13,0.0,1.5
19,19,18.5886,25727.803,2.43,-0.0678,mean,-0.0678,0.0678,0,75.03,63.75,49.12,88.99,85.37,92.0,48.11,74.39,78.9,-4.0,1.25,0.0,-0.23,2.43,-1.3,-0.26,0.0,1.5
20,20,19.3523,26784.768,2.43,0.1022,mean,0.1022,-0.1022,0,75.12,63.75,47.37,88.99,85.37,92.0,48.24,74.39,78.9,-4.09,1.25,1.75,-0.23,2.43,-1.3,-0.39,0.0,1.5
21,21,20.1765,27925.619,2.43,-0.2156,mean,-0.2156,0.2156,0,75.74,63.75,49.12,89.22,85.37,92.0,48.5,74.39,78.9,-4.71,1.25,0.0,-0.46,2.43,-1.3,-0.65,0.0,1.5
22,22,20.7462,28714.148,2.43,-0.25,mean,-0.25,0.25,0,75.95,63.75,49.12,89.45,85.37,92.0,48.37,74.39,78.9,-4.92,1.25,0.0,-0.69,2.43,-1.3,-0.52,0.0,1.5
23,23,21.3766,29586.563,2.43,-0.2533,mean,-0.2533,0.2533,0,76.2,64.38,49.12,88.99,85.37,92.0,47.98,74.39,78.9,-5.17,0.62,0.0,-0.23,2.43,-1.3,-0.13,0.0,1.5
24,24,21.7523,30106.657,2.43,-0.2611,mean,-0.2611,0.2611,1,76.25,63.75,49.12,88.99,85.37,92.0,48.63,74.39,78.9,-5.22,1.25,0.0,-0.23,2.43,-1.3,-0.78,0.0,1.5
25,25,22.1887,30710.637,2.43,0.0311,mean,0.0311,-0.0311,0,75.89,63.75,47.37,88.99,85.37,92.0,48.11,74.39,78.9,-4.86,1.25,1.75,-0.23,2.43,-1.3,-0.26,0.0,1.5
26,26,22.6251,31314.616,2.43,0.02,mean,0.02,-0.02,0,76.03,63.75,47.37,88.3,85.37,92.0,48.76,74.39,78.9,-5.0,1.25,1.75,0.46,2.43,-1.3,-0.91,0.0,1.5
27,27,22.8675,31650.161,2.43,0.07,mean,0.07,-0.07,0,75.64,63.75,47.37,88.76,85.37,92.0,48.24,74.39,78.9,-4.61,1.25,1.75,0.0,2.43,-1.3,-0.39,0.0,1.5
28,28,23.0494,31901.819,2.43,0.0533,mean,0.0533,-0.0533,0,75.72,64.38,47.37,88.07,85.37,92.0,48.37,74.39,78.9,-4.69,0.62,1.75,0.69,2.43,-1.3,-0.52,0.0,1.5
29,29,23.2918,32237.363,2.43,0.0067,mean,0.0067,-0.0067,0,75.68,64.38,47.37,88.53,85.37,92.0,48.37,74.39,78.9,-4.65,0.62,1.75,0.23,2.43,-1.3,-0.52,0.0,1.5
30,30,23.5342,32572.908,2.43,-0.0267,mean,-0.0267,0.0267,1,75.85,65.0,47.37,88.3,85.37,92.0,48.11,74.39,78.9,-4.82,0.0,1.75,0.46,2.43,-1.3,-0.26,0.0,1.5
31,31,23.7161,32824.566,2.43,0.1444,mean,0.1444,-0.1444,0,75.82,63.75,47.37,88.3,85.37,92.0,47.85,74.39,78.9,-4.79,1.25,1.75,0.46,2.43,-1.3,0.0,0.0,1.5
32,32,23.9585,33160.11,2.43,0.0844,mean,0.0844,-0.0844,0,75.9,63.75,47.37,88.76,85.37,92.0,47.85,74.39,78.9,-4.87,1.25,1.75,0.0,2.43,-1.3,0.0,0.0,1.5
33,33,24.1767,33462.1,2.43,0.0444,mean,0.0444,-0.0444,1,75.9,63.75,47.37,88.99,85.37,92.0,47.98,74.39,78.9,-4.87,1.25,1.75,-0.23,2.43,-1.3,-0.13,0.0,1.5
34,34,24.3585,33713.758,2.43,0.1733,mean,0.1733,-0.1733,0,75.0,63.75,47.37,88.99,85.37,92.0,47.72,74.39,78.9,-3.97,1.25,1.75,-0.23,2.43,-1.3,0.13,0.0,1.5
35,35,24.4797,33881.53,2.43,0.1044,mean,0.1044,-0.1044,0,74.8,63.75,47.37,89.68,85.37,92.0,47.85,74.39,78.9,-3.77,1.25,1.75,-0.92,2.43,-1.3,0.0,0.0,1.5
36,36,24.6616,34133.189,2.43,0.1289,mean,0.1289,-0.1289,0,74.25,64.38,47.37,88.99,85.37,92.0,48.24,74.39,78.9,-3.22,0.62,1.75,-0.23,2.43,-1.3,-0.39,0.0,1.5
37,37,24.8434,34384.847,2.43,0.17,mean,0.17,-0.17,0,73.97,64.38,47.37,89.68,85.37,92.0,47.46,74.39,78.9,-2.94,0.62,1.75,-0.92,2.43,-1.3,0.39,0.0,1.5
38,38,25.0252,34636.505,2.43,0.1211,mean,0.1211,-0.1211,0,74.02,64.38,47.37,89.68,85.37,92.0,47.85,74.39,78.9,-2.99,0.62,1.75,-0.92,2.43,-1.3,0.0,0.0,1.5
39,39,25.207,34888.163,2.43,0.1644,mean,0.1644,-0.1644,0,73.82,64.38,47.37,90.14,85.37,92.0,47.2,74.39,78.9,-2.79,0.62,1.75,-1.38,2.43,-1.3,0.65,0.0,1.5
40,40,25.3889,35139.822,2.43,0.2133,mean,0.2133,-0.2133,0,73.81,64.38,47.37,89.45,85.37,92.0,47.46,74.39,78.9,-2.78,0.62,1.75,-0.69,2.43,-1.3,0.39,0.0,1.5
41,41,25.5101,35307.594,2.43,0.2389,mean,0.2389,-0.2389,0,73.81,64.38,47.37,89.22,85.37,92.0,47.46,74.39,78.9,-2.78,0.62,1.75,-0.46,2.43,-1.3,0.39,0.0,1.5
42,42,25.6313,35475.366,2.43,0.1767,mean,0.1767,-0.1767,0,73.94,64.38,47.37,89.91,85.37,92.0,47.2,74.39,78.9,-2.91,0.62,1.75,-1.15,2.43,-1.3,0.65,0.0,1.5
43,43,25.7525,35643.138,2.43,0.2144,mean,0.2144,-0.2144,0,73.37,64.38,47.37,90.14,85.37,92.0,47.2,74.39,78.9,-2.34,0.62,1.75,-1.38,2.43,-1.3,0.65,0.0,1.5
44,44,25.8737,35810.91,2.43,0.1833,mean,0.1833,-0.1833,0,73.42,64.38,47.37,90.37,85.37,92.0,47.2,74.39,78.9,-2.39,0.62,1.75,-1.61,2.43,-1.3,0.65,0.0,1.5
45,45,25.9949,35978.682,2.43,0.1056,mean,0.1056,-0.1056,0,73.66,64.38,47.37,90.83,85.37,92.0,47.2,74.39,78.9,-2.63,0.62,1.75,-2.07,2.43,-1.3,0.65,0.0,1.5
46,46,26.0556,36062.568,2.43,0.09,mean,0.09,-0.09,0,73.8,64.38,47.37,90.83,85.37,92.0,47.2,74.39,78.9,-2.77,0.62,1.75,-2.07,2.43,-1.3,0.65,0.0,1.5
47,47,26.1162,36146.455,2.43,0.1589,mean,0.1589,-0.1589,0,73.64,64.38,47.37,90.37,85.37,92.0,47.2,74.39,78.9,-2.61,0.62,1.75,-1.61,2.43,-1.3,0.65,0.0,1.5
48,48,26.1768,36230.341,2.43,0.0867,mean,0.0867,-0.0867,1,73.6,64.38,47.37,91.06,85.37,92.0,47.2,74.39,78.9,-2.57,0.62,1.75,-2.3,2.43,-1.3,0.65,0.0,1.5
