cutoff,steps,savings_pct,savings_mb,worst_drop,mean_drop,accuracy_metric,accuracy_drop,accuracy,frontier,Llama-3.1-8B-Instruct-multi-truth-judge__score,Llama-3.1-8B-UltraMedical__score,Llama-3.1-Hawkish-8B__score,Llama-SafetyGuard-Content-Binary__score,Qwen2.5-Coder-7B-Instruct__score,Qwen2.5-Math-7B-Instruct__score,calme-2.3-legalkit-8b__score,Llama-3.1-8B-Instruct-multi-truth-judge__drop,Llama-3.1-8B-UltraMedical__drop,Llama-3.1-Hawkish-8B__drop,Llama-SafetyGuard-Content-Binary__drop,Qwen2.5-Coder-7B-Instruct__drop,Qwen2.5-Math-7B-Instruct__drop,calme-2.3-legalkit-8b__drop
0,0,1.3948,1544.962,1.03,-0.3729,mean,-0.3729,0.3729,0,70.0,65.0,50.88,88.99,89.02,91.0,47.98,1.03,0.0,-1.76,-0.23,-1.22,-0.3,-0.13
1,1,2.4711,2737.111,1.21,0.1129,mean,0.1129,-0.1129,0,69.89,65.0,50.88,88.99,86.59,90.4,47.72,1.14,0.0,-1.76,-0.23,1.21,0.3,0.13
2,2,3.8659,4282.073,2.43,0.4943,mean,0.4943,-0.4943,0,69.87,65.0,50.88,88.99,85.37,89.1,47.59,1.16,0.0,-1.76,-0.23,2.43,1.6,0.26
3,3,5.1679,5724.242,1.0,-0.0829,mean,-0.0829,0.0829,0,70.03,64.38,50.88,88.76,87.8,91.4,47.59,1.0,0.62,-1.76,0.0,0.0,-0.7,0.26
4,4,6.4666,7162.757,1.75,0.6043,mean,0.6043,-0.6043,0,70.08,65.0,47.37,88.76,86.59,90.9,47.33,0.95,0.0,1.75,0.0,1.21,-0.2,0.52
5,5,7.7653,8601.272,1.21,0.1929,mean,0.1929,-0.1929,0,70.59,64.38,50.88,88.99,86.59,89.5,47.98,0.44,0.62,-1.76,-0.23,1.21,1.2,-0.13
6,6,9.0377,10010.558,1.21,0.0443,mean,0.0443,-0.0443,0,70.97,64.38,50.88,89.45,86.59,89.7,47.98,0.06,0.62,-1.76,-0.69,1.21,1.0,-0.13
7,7,10.015,11093.098,2.43,0.3943,mean,0.3943,-0.3943,0,70.72,64.38,49.12,89.45,85.37,91.0,47.46,0.31,0.62,0.0,-0.69,2.43,-0.3,0.39
8,8,10.9692,12150.063,2.43,0.3014,mean,0.3014,-0.3014,0,71.01,63.75,50.88,88.3,85.37,90.6,48.24,0.02,1.25,-1.76,0.46,2.43,0.1,-0.39
9,9,11.9235,13207.028,2.43,-0.1657,mean,-0.1657,0.1657,0,70.69,65.0,50.88,89.91,85.37,91.2,48.37,0.34,0.0,-1.76,-1.15,2.43,-0.5,-0.52
10,10,12.881,14267.646,0.62,-0.2957,mean,-0.2957,0.2957,0,71.66,64.38,50.88,88.99,87.8,90.9,47.72,-0.63,0.62,-1.76,-0.23,0.0,-0.2,0.13
11,11,13.8583,15350.186,1.25,-0.1386,mean,-0.1386,0.1386,0,72.28,63.75,50.88,89.45,86.59,90.3,47.98,-1.25,1.25,-1.76,-0.69,1.21,0.4,-0.13
12,12,14.8159,16410.804,2.43,-0.1714,mean,-0.1714,0.1714,0,72.76,63.75,50.88,88.76,85.37,91.7,48.24,-1.73,1.25,-1.76,0.0,2.43,-1.0,-0.39
13,13,15.7734,17471.422,2.43,0.1357,mean,0.1357,-0.1357,0,72.49,63.75,49.12,88.99,85.37,92.0,47.59,-1.46,1.25,0.0,-0.23,2.43,-1.3,0.26
14,14,17.0457,18880.709,2.43,-0.38,mean,-0.38,0.38,0,73.29,65.0,50.88,88.53,85.37,92.0,47.85,-2.26,0.0,-1.76,0.23,2.43,-1.3,0.0
15,15,18.3181,20289.995,2.43,-0.3986,mean,-0.3986,0.3986,0,73.56,63.75,50.88,88.99,85.37,92.0,48.5,-2.53,1.25,-1.76,-0.23,2.43,-1.3,-0.65
16,16,19.2723,21346.959,2.43,-0.4443,mean,-0.4443,0.4443,0,73.88,63.75,50.88,88.99,85.37,92.0,48.5,-2.85,1.25,-1.76,-0.23,2.43,-1.3,-0.65
17,17,20.2265,22403.924,2.43,-0.5,mean,-0.5,0.5,0,74.19,64.38,50.88,89.22,85.37,92.0,47.72,-3.16,0.62,-1.76,-0.46,2.43,-1.3,0.13
18,18,21.1808,23460.889,2.43,-0.3729,mean,-0.3729,0.3729,0,74.76,63.12,50.88,88.76,85.37,92.0,47.98,-3.73,1.88,-1.76,0.0,2.43,-1.3,-0.13
19,19,22.135,24517.853,2.43,-0.3014,mean,-0.3014,0.3014,0,75.03,63.75,49.12,88.99,85.37,92.0,48.11,-4.0,1.25,0.0,-0.23,2.43,-1.3,-0.26
20,20,23.0893,25574.818,2.43,-0.0829,mean,-0.0829,0.0829,0,75.12,63.75,47.37,88.99,85.37,92.0,48.24,-4.09,1.25,1.75,-0.23,2.43,-1.3,-0.39
21,21,24.1192,26715.668,2.43,-0.4914,mean,-0.4914,0.4914,0,75.74,63.75,49.12,89.22,85.37,92.0,48.5,-4.71,1.25,0.0,-0.46,2.43,-1.3,-0.65
22,22,24.8311,27504.198,2.43,-0.5357,mean,-0.5357,0.5357,0,75.95,63.75,49.12,89.45,85.37,92.0,48.37,-4.92,1.25,0.0,-0.69,2.43,-1.3,-0.52
23,23,25.6188,28376.613,2.43,-0.54,mean,-0.54,0.54,0,76.2,64.38,49.12,88.99,85.37,92.0,47.98,-5.17,0.62,0.0,-0.23,2.43,-1.3,-0.13
24,24,26.0883,28896.707,2.43,-0.55,mean,-0.55,0.55,1,76.25,63.75,49.12,88.99,85.37,92.0,48.63,-5.22,1.25,0.0,-0.23,2.43,-1.3,-0.78
25,25,26.6336,29500.686,2.43,-0.1743,mean,-0.1743,0.1743,0,75.89,63.75,47.37,88.99,85.37,92.0,48.11,-4.86,1.25,1.75,-0.23,2.43,-1.3,-0.26
26,26,27.1789,30104.666,2.43,-0.1886,mean,-0.1886,0.1886,0,76.03,63.75,47.37,88.3,85.37,92.0,48.76,-5.0,1.25,1.75,0.46,2.43,-1.3,-0.91
27,27,27.4818,30440.21,2.43,-0.1243,mean,-0.1243,0.1243,0,75.64,63.75,47.37,88.76,85.37,92.0,48.24,-4.61,1.25,1.75,0.0,2.43,-1.3,-0.39
28,28,27.709,30691.869,2.43,-0.1457,mean,-0.1457,0.1457,0,75.72,64.38,47.37,88.07,85.37,92.0,48.37,-4.69,0.62,1.75,0.69,2.43,-1.3,-0.52
