timestamp,step_idx,stage,op,component,layer,label,score,threshold,decision,scaled
2026-07-13T04:54:01.592288+00:00,-1,0,baseline,baseline,-1,Llama-3.1-8B-UltraMedical,65.0,0.0,baseline,False
2026-07-13T04:54:44.230686+00:00,0,1,merge,mlp,17,Llama-3.1-8B-UltraMedical,65.0,2.0,accepted,False
2026-07-13T04:55:49.298613+00:00,1,1,merge,mlp,19,Llama-3.1-8B-UltraMedical,65.0,2.0,accepted,False
2026-07-13T04:56:15.832860+00:00,2,1,merge,mlp,21,Llama-3.1-8B-UltraMedical,65.0,2.0,accepted,False
2026-07-13T04:56:41.912756+00:00,3,1,merge,mlp,23,Llama-3.1-8B-UltraMedical,64.38,2.0,accepted,False
2026-07-13T04:57:08.089505+00:00,4,1,merge,mlp,25,Llama-3.1-8B-UltraMedical,65.0,2.0,accepted,False
2026-07-13T04:57:34.230218+00:00,5,1,merge,mlp,27,Llama-3.1-8B-UltraMedical,64.38,2.0,accepted,False
2026-07-13T04:58:00.361061+00:00,6,1,merge,mlp,29,Llama-3.1-8B-UltraMedical,64.38,2.0,accepted,False
2026-07-13T04:58:27.289724+00:00,7,1,merge,mlp,15,Llama-3.1-8B-UltraMedical,64.38,2.0,accepted,False
2026-07-13T04:58:53.644510+00:00,8,1,merge,mlp,12,Llama-3.1-8B-UltraMedical,63.75,2.0,accepted,False
2026-07-13T04:59:20.885163+00:00,9,1,merge,mlp,31,Llama-3.1-8B-UltraMedical,65.0,2.0,accepted,False
2026-07-13T04:59:47.786687+00:00,10,1,merge,mlp,18,Llama-3.1-8B-UltraMedical,64.38,2.0,accepted,False
2026-07-13T05:00:21.360422+00:00,11,1,merge,mlp,20,Llama-3.1-8B-UltraMedical,63.75,2.0,accepted,False
2026-07-13T05:00:48.753243+00:00,12,1,merge,mlp,22,Llama-3.1-8B-UltraMedical,63.75,2.0,accepted,False
2026-07-13T05:01:14.724314+00:00,13,1,merge,mlp,24,Llama-3.1-8B-UltraMedical,63.75,2.0,accepted,False
2026-07-13T05:01:40.648664+00:00,14,1,merge,mlp,26,Llama-3.1-8B-UltraMedical,65.0,2.0,accepted,False
2026-07-13T05:02:06.655051+00:00,15,1,merge,mlp,28,Llama-3.1-8B-UltraMedical,63.75,2.0,accepted,False
2026-07-13T05:02:34.108958+00:00,16,1,merge,mlp,16,Llama-3.1-8B-UltraMedical,63.75,2.0,accepted,False
2026-07-13T05:03:00.085862+00:00,17,1,merge,mlp,14,Llama-3.1-8B-UltraMedical,64.38,2.0,accepted,False
2026-07-13T05:03:26.808004+00:00,18,1,merge,mlp,11,Llama-3.1-8B-UltraMedical,63.12,2.0,accepted,False
2026-07-13T05:03:53.066163+00:00,19,1,merge,mlp,13,Llama-3.1-8B-UltraMedical,63.75,2.0,accepted,False
2026-07-13T05:04:18.497764+00:00,20,1,merge,mlp,30,Llama-3.1-8B-UltraMedical,63.75,2.0,accepted,False
2026-07-13T05:04:44.306208+00:00,21,1,merge,attn,15,Llama-3.1-8B-UltraMedical,63.75,2.0,accepted,False
2026-07-13T05:05:10.035860+00:00,22,1,merge,attn,18,Llama-3.1-8B-UltraMedical,63.75,2.0,accepted,False
2026-07-13T05:05:35.826450+00:00,23,1,merge,attn,20,Llama-3.1-8B-UltraMedical,64.38,2.0,accepted,False
2026-07-13T05:06:01.200751+00:00,24,1,merge,attn,23,Llama-3.1-8B-UltraMedical,63.75,2.0,accepted,False
2026-07-13T05:06:26.703550+00:00,25,1,merge,attn,25,Llama-3.1-8B-UltraMedical,63.75,2.0,accepted,False
2026-07-13T05:06:52.609436+00:00,26,1,merge,attn,28,Llama-3.1-8B-UltraMedical,63.75,2.0,accepted,False
2026-07-13T05:07:17.699218+00:00,27,1,merge,attn,30,Llama-3.1-8B-UltraMedical,63.75,2.0,accepted,False
2026-07-13T05:07:43.595820+00:00,28,1,merge,attn,13,Llama-3.1-8B-UltraMedical,64.38,2.0,accepted,False
2026-07-13T05:08:09.949271+00:00,29,1,merge,attn,19,Llama-3.1-8B-UltraMedical,64.38,2.0,accepted,False
2026-07-13T05:08:35.257831+00:00,30,1,merge,attn,21,Llama-3.1-8B-UltraMedical,65.0,2.0,accepted,False
2026-07-13T05:09:00.688457+00:00,31,1,merge,attn,24,Llama-3.1-8B-UltraMedical,63.75,2.0,accepted,False
2026-07-13T05:09:26.040671+00:00,32,1,merge,attn,26,Llama-3.1-8B-UltraMedical,63.75,2.0,accepted,False
2026-07-13T05:09:51.340084+00:00,33,1,merge,attn,27,Llama-3.1-8B-UltraMedical,63.75,2.0,accepted,False
2026-07-13T05:10:16.867637+00:00,34,1,merge,attn,14,Llama-3.1-8B-UltraMedical,63.75,2.0,accepted,False
2026-07-13T05:10:42.253483+00:00,35,1,merge,attn,22,Llama-3.1-8B-UltraMedical,63.75,2.0,accepted,False
2026-07-13T05:11:07.614911+00:00,36,1,merge,attn,29,Llama-3.1-8B-UltraMedical,64.38,2.0,accepted,False
2026-07-13T05:11:33.166323+00:00,37,1,merge,attn,31,Llama-3.1-8B-UltraMedical,64.38,2.0,accepted,False
2026-07-13T05:11:58.900558+00:00,38,1,merge,attn,16,Llama-3.1-8B-UltraMedical,64.38,2.0,accepted,False
