timestamp,step_idx,stage,op,component,layer,label,score,threshold,decision,scaled
2026-07-13T04:53:56.500122+00:00,-1,0,baseline,baseline,-1,Llama-SafetyGuard-Content-Binary,88.76,0.0,baseline,False
2026-07-13T04:54:32.530630+00:00,0,1,merge,mlp,17,Llama-SafetyGuard-Content-Binary,88.99,2.0,accepted,False
2026-07-13T04:55:30.957761+00:00,1,1,merge,mlp,19,Llama-SafetyGuard-Content-Binary,88.99,2.0,accepted,False
2026-07-13T04:55:49.745154+00:00,2,1,merge,mlp,21,Llama-SafetyGuard-Content-Binary,88.99,2.0,accepted,False
2026-07-13T04:56:07.891955+00:00,3,1,merge,mlp,23,Llama-SafetyGuard-Content-Binary,88.76,2.0,accepted,False
2026-07-13T04:56:26.895364+00:00,4,1,merge,mlp,25,Llama-SafetyGuard-Content-Binary,88.76,2.0,accepted,False
2026-07-13T04:56:45.846134+00:00,5,1,merge,mlp,27,Llama-SafetyGuard-Content-Binary,88.99,2.0,accepted,False
2026-07-13T04:57:04.580019+00:00,6,1,merge,mlp,29,Llama-SafetyGuard-Content-Binary,89.45,2.0,accepted,False
2026-07-13T04:57:22.819748+00:00,7,1,merge,mlp,15,Llama-SafetyGuard-Content-Binary,89.45,2.0,accepted,False
2026-07-13T04:57:40.643248+00:00,8,1,merge,mlp,12,Llama-SafetyGuard-Content-Binary,88.3,2.0,accepted,False
2026-07-13T04:57:59.918615+00:00,9,1,merge,mlp,31,Llama-SafetyGuard-Content-Binary,89.91,2.0,accepted,False
2026-07-13T04:58:18.162521+00:00,10,1,merge,mlp,10,Llama-SafetyGuard-Content-Binary,88.99,2.0,accepted,False
2026-07-13T04:58:35.068694+00:00,11,1,merge,mlp,8,Llama-SafetyGuard-Content-Binary,89.45,2.0,accepted,False
2026-07-13T04:58:51.616778+00:00,12,1,merge,mlp,6,Llama-SafetyGuard-Content-Binary,88.76,2.0,accepted,False
2026-07-13T04:59:08.574635+00:00,13,1,merge,mlp,4,Llama-SafetyGuard-Content-Binary,88.99,2.0,accepted,False
2026-07-13T04:59:26.397985+00:00,14,1,merge,mlp,18,Llama-SafetyGuard-Content-Binary,88.53,2.0,accepted,False
2026-07-13T04:59:50.913665+00:00,15,1,merge,mlp,20,Llama-SafetyGuard-Content-Binary,88.99,2.0,accepted,False
2026-07-13T05:00:10.460123+00:00,16,1,merge,mlp,22,Llama-SafetyGuard-Content-Binary,88.99,2.0,accepted,False
2026-07-13T05:00:27.399985+00:00,17,1,merge,mlp,24,Llama-SafetyGuard-Content-Binary,89.22,2.0,accepted,False
2026-07-13T05:00:44.886708+00:00,18,1,merge,mlp,26,Llama-SafetyGuard-Content-Binary,88.76,2.0,accepted,False
2026-07-13T05:01:02.761257+00:00,19,1,merge,mlp,28,Llama-SafetyGuard-Content-Binary,88.99,2.0,accepted,False
2026-07-13T05:01:20.406385+00:00,20,1,merge,mlp,16,Llama-SafetyGuard-Content-Binary,88.99,2.0,accepted,False
2026-07-13T05:01:38.137998+00:00,21,1,merge,mlp,14,Llama-SafetyGuard-Content-Binary,89.22,2.0,accepted,False
2026-07-13T05:01:56.377693+00:00,22,1,merge,mlp,11,Llama-SafetyGuard-Content-Binary,89.45,2.0,accepted,False
2026-07-13T05:02:14.779746+00:00,23,1,merge,mlp,9,Llama-SafetyGuard-Content-Binary,88.99,2.0,accepted,False
2026-07-13T05:02:31.943517+00:00,24,1,merge,mlp,7,Llama-SafetyGuard-Content-Binary,88.99,2.0,accepted,False
2026-07-13T05:02:49.420539+00:00,25,1,merge,attn,15,Llama-SafetyGuard-Content-Binary,88.99,2.0,accepted,False
2026-07-13T05:03:06.979082+00:00,26,1,merge,attn,18,Llama-SafetyGuard-Content-Binary,88.3,2.0,accepted,False
2026-07-13T05:03:24.505103+00:00,27,1,merge,attn,20,Llama-SafetyGuard-Content-Binary,88.76,2.0,accepted,False
2026-07-13T05:03:41.808062+00:00,28,1,merge,attn,23,Llama-SafetyGuard-Content-Binary,88.07,2.0,accepted,False
2026-07-13T05:03:58.886755+00:00,29,1,merge,attn,25,Llama-SafetyGuard-Content-Binary,88.53,2.0,accepted,False
2026-07-13T05:04:16.078881+00:00,30,1,merge,attn,28,Llama-SafetyGuard-Content-Binary,88.3,2.0,accepted,False
