cutoff,steps,savings_pct,savings_mb,worst_drop,mean_drop,accuracy_metric,accuracy_drop,accuracy,frontier,Llama-3.1-8B-Instruct-multi-truth-judge__score,Llama-3.1-8B-UltraMedical__score,Llama-3.1-Hawkish-8B__score,Llama-SafetyGuard-Content-Binary__score,calme-2.3-legalkit-8b__score,deepseek-coder-7b-instruct-v1.5__score,deepseek-math-7b-instruct__score,Llama-3.1-8B-Instruct-multi-truth-judge__drop,Llama-3.1-8B-UltraMedical__drop,Llama-3.1-Hawkish-8B__drop,Llama-SafetyGuard-Content-Binary__drop,calme-2.3-legalkit-8b__drop,deepseek-coder-7b-instruct-v1.5__drop,deepseek-math-7b-instruct__drop
0,0,1.3031,1406.665,0.13,-0.0657,mean,-0.0657,0.0657,0,71.12,65.0,49.12,88.76,47.72,75.61,80.6,-0.09,0.0,0.0,0.0,0.13,0.0,-0.5
1,1,2.6895,2903.155,0.62,-0.0614,mean,-0.0614,0.0614,0,70.92,64.38,50.88,88.76,47.85,75.61,79.5,0.11,0.62,-1.76,0.0,0.0,0.0,0.6
2,2,4.0761,4399.866,1.01,0.3386,mean,0.3386,-0.3386,0,70.02,65.0,49.12,88.53,47.72,75.61,79.1,1.01,0.0,0.0,0.23,0.13,0.0,1.0
3,3,5.4624,5896.356,1.2,-0.2671,mean,-0.2671,0.2671,0,70.16,65.0,50.88,88.76,47.59,78.05,78.9,0.87,0.0,-1.76,0.0,0.26,-2.44,1.2
4,4,6.8488,7392.846,1.25,-0.0829,mean,-0.0829,0.0829,0,70.31,63.75,49.12,88.76,47.46,78.05,80.6,0.72,1.25,0.0,0.0,0.39,-2.44,-0.5
5,5,8.2351,8889.336,0.65,-0.1614,mean,-0.1614,0.1614,0,70.75,65.0,50.88,88.76,47.2,75.61,80.4,0.28,0.0,-1.76,0.0,0.65,0.0,-0.3
6,6,9.2956,10034.029,2.0,0.4557,mean,0.4557,-0.4557,0,70.96,63.75,50.88,87.39,47.59,75.61,78.1,0.07,1.25,-1.76,1.37,0.26,0.0,2.0
7,7,10.356,11178.721,1.88,0.6543,mean,0.6543,-0.6543,0,71.24,63.12,49.12,86.93,48.37,75.61,78.5,-0.21,1.88,0.0,1.83,-0.52,0.0,1.6
8,8,11.3642,12267.012,2.1,0.4043,mean,0.4043,-0.4043,0,70.83,64.38,50.88,87.61,47.33,75.61,78.0,0.2,0.62,-1.76,1.15,0.52,0.0,2.1
9,9,12.4339,13421.625,1.6,0.25,mean,0.25,-0.25,0,71.61,64.38,50.88,88.76,47.2,74.39,78.5,-0.58,0.62,-1.76,0.0,0.65,1.22,1.6
10,10,13.4416,14509.392,2.44,0.56,mean,0.56,-0.56,0,71.09,64.38,50.88,88.53,47.2,73.17,78.3,-0.06,0.62,-1.76,0.23,0.65,2.44,1.8
11,11,14.4493,15597.158,2.1,0.34,mean,0.34,-0.34,0,71.88,63.75,50.88,88.99,47.2,74.39,78.0,-0.85,1.25,-1.76,-0.23,0.65,1.22,2.1
12,12,15.8453,17104.093,1.75,0.2871,mean,0.2871,-0.2871,0,72.38,65.0,47.37,88.99,47.33,74.39,80.0,-1.35,0.0,1.75,-0.23,0.52,1.22,0.1
13,13,17.2414,18611.028,1.75,0.4029,mean,0.4029,-0.4029,0,73.19,63.75,47.37,88.76,47.07,75.61,78.9,-2.16,1.25,1.75,0.0,0.78,0.0,1.2
14,14,18.5755,20051.116,2.1,-0.2871,mean,-0.2871,0.2871,1,73.72,65.0,49.12,89.22,47.59,76.83,78.0,-2.69,0.0,0.0,-0.46,0.26,-1.22,2.1
15,15,19.9096,21491.204,3.66,0.5371,mean,0.5371,-0.5371,0,74.0,64.38,49.12,89.22,46.94,71.95,78.1,-2.97,0.62,0.0,-0.46,0.91,3.66,2.0
16,16,20.8873,22546.596,3.66,0.0629,mean,0.0629,-0.0629,0,74.22,65.0,50.88,89.22,47.46,71.95,78.3,-3.19,0.0,-1.76,-0.46,0.39,3.66,1.8
