timestamp,model,task,layer,variant,perturbation,score,split
2026-07-12T15:54:46.261064,/scratch/shared_dir/hf_cache/hub/models--qihoo360--Light-IF-32B/snapshots/6320ef594d78bfe24a75d8804d8f8d395d143c7a,tinyMMLU,-1,none,baseline,88.0,P
2026-07-12T15:56:34.841529,/scratch/shared_dir/hf_cache/hub/models--qihoo360--Light-IF-32B/snapshots/6320ef594d78bfe24a75d8804d8f8d395d143c7a,tinyMMLU,0,attn,avg,90.0,P
2026-07-12T15:58:23.453368,/scratch/shared_dir/hf_cache/hub/models--qihoo360--Light-IF-32B/snapshots/6320ef594d78bfe24a75d8804d8f8d395d143c7a,tinyMMLU,0,mlp,avg,92.0,P
2026-07-12T16:00:11.701358,/scratch/shared_dir/hf_cache/hub/models--qihoo360--Light-IF-32B/snapshots/6320ef594d78bfe24a75d8804d8f8d395d143c7a,tinyMMLU,1,attn,avg,90.0,P
2026-07-12T16:02:00.111861,/scratch/shared_dir/hf_cache/hub/models--qihoo360--Light-IF-32B/snapshots/6320ef594d78bfe24a75d8804d8f8d395d143c7a,tinyMMLU,1,mlp,avg,72.0,P
2026-07-12T16:03:48.238216,/scratch/shared_dir/hf_cache/hub/models--qihoo360--Light-IF-32B/snapshots/6320ef594d78bfe24a75d8804d8f8d395d143c7a,tinyMMLU,2,attn,avg,86.0,P
2026-07-12T16:05:36.367261,/scratch/shared_dir/hf_cache/hub/models--qihoo360--Light-IF-32B/snapshots/6320ef594d78bfe24a75d8804d8f8d395d143c7a,tinyMMLU,2,mlp,avg,84.0,P
2026-07-12T16:07:24.702425,/scratch/shared_dir/hf_cache/hub/models--qihoo360--Light-IF-32B/snapshots/6320ef594d78bfe24a75d8804d8f8d395d143c7a,tinyMMLU,3,attn,avg,92.0,P
2026-07-12T16:09:13.146725,/scratch/shared_dir/hf_cache/hub/models--qihoo360--Light-IF-32B/snapshots/6320ef594d78bfe24a75d8804d8f8d395d143c7a,tinyMMLU,3,mlp,avg,86.0,P
2026-07-12T16:11:01.348143,/scratch/shared_dir/hf_cache/hub/models--qihoo360--Light-IF-32B/snapshots/6320ef594d78bfe24a75d8804d8f8d395d143c7a,tinyMMLU,4,attn,avg,92.0,P
