timestamp,model,task,layer,variant,perturbation,score,split
2026-07-13T04:23:43.896074,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-UltraMedical,medqa_4options,-1,none,baseline,63.84,P
2026-07-13T04:24:09.690219,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-UltraMedical,medqa_4options,0,attn,avg,25.63,P
2026-07-13T04:24:35.009821,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-UltraMedical,medqa_4options,0,mlp,avg,25.79,P
2026-07-13T04:25:01.069861,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-UltraMedical,medqa_4options,1,attn,avg,25.94,P
2026-07-13T04:25:26.857522,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-UltraMedical,medqa_4options,1,mlp,avg,26.1,P
2026-07-13T04:25:52.026055,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-UltraMedical,medqa_4options,2,attn,avg,45.28,P
2026-07-13T04:26:17.432708,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-UltraMedical,medqa_4options,2,mlp,avg,49.84,P
2026-07-13T04:26:42.600418,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-UltraMedical,medqa_4options,3,attn,avg,39.31,P
2026-07-13T04:27:08.322195,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-UltraMedical,medqa_4options,3,mlp,avg,52.67,P
2026-07-13T04:27:33.231290,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-UltraMedical,medqa_4options,4,attn,avg,50.79,P
2026-07-13T04:27:58.197039,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-UltraMedical,medqa_4options,4,mlp,avg,51.42,P
2026-07-13T04:28:23.124220,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-UltraMedical,medqa_4options,5,attn,avg,55.03,P
2026-07-13T04:28:48.062260,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-UltraMedical,medqa_4options,5,mlp,avg,51.26,P
2026-07-13T04:29:12.949118,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-UltraMedical,medqa_4options,6,attn,avg,56.45,P
2026-07-13T04:29:37.905774,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-UltraMedical,medqa_4options,6,mlp,avg,53.46,P
2026-07-13T04:30:02.918030,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-UltraMedical,medqa_4options,7,attn,avg,51.26,P
2026-07-13T04:30:27.987973,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-UltraMedical,medqa_4options,7,mlp,avg,56.13,P
2026-07-13T04:30:53.131069,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-UltraMedical,medqa_4options,8,attn,avg,57.86,P
2026-07-13T04:31:18.213484,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-UltraMedical,medqa_4options,8,mlp,avg,56.92,P
2026-07-13T04:31:43.228064,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-UltraMedical,medqa_4options,9,attn,avg,55.5,P
2026-07-13T04:32:08.396650,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-UltraMedical,medqa_4options,9,mlp,avg,58.81,P
2026-07-13T04:32:33.491525,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-UltraMedical,medqa_4options,10,attn,avg,56.76,P
2026-07-13T04:32:58.537179,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-UltraMedical,medqa_4options,10,mlp,avg,55.35,P
2026-07-13T04:33:23.516231,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-UltraMedical,medqa_4options,11,attn,avg,57.86,P
2026-07-13T04:33:48.567611,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-UltraMedical,medqa_4options,11,mlp,avg,62.26,P
2026-07-13T04:34:13.604531,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-UltraMedical,medqa_4options,12,attn,avg,58.33,P
2026-07-13T04:34:38.713087,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-UltraMedical,medqa_4options,12,mlp,avg,59.91,P
2026-07-13T04:35:04.111105,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-UltraMedical,medqa_4options,13,attn,avg,61.16,P
2026-07-13T04:35:29.155558,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-UltraMedical,medqa_4options,13,mlp,avg,61.01,P
2026-07-13T04:35:54.188413,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-UltraMedical,medqa_4options,14,attn,avg,61.16,P
2026-07-13T04:36:19.314468,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-UltraMedical,medqa_4options,14,mlp,avg,63.21,P
2026-07-13T04:36:44.363056,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-UltraMedical,medqa_4options,15,attn,avg,62.11,P
2026-07-13T04:37:09.419222,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-UltraMedical,medqa_4options,15,mlp,avg,61.79,P
2026-07-13T04:37:34.705622,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-UltraMedical,medqa_4options,16,attn,avg,59.75,P
2026-07-13T04:37:59.788774,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-UltraMedical,medqa_4options,16,mlp,avg,64.15,P
2026-07-13T04:38:24.852622,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-UltraMedical,medqa_4options,17,attn,avg,58.49,P
2026-07-13T04:38:50.089414,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-UltraMedical,medqa_4options,17,mlp,avg,64.15,P
2026-07-13T04:39:15.160091,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-UltraMedical,medqa_4options,18,attn,avg,62.58,P
2026-07-13T04:39:40.370478,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-UltraMedical,medqa_4options,18,mlp,avg,62.89,P
2026-07-13T04:40:05.434259,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-UltraMedical,medqa_4options,19,attn,avg,63.36,P
