timestamp,model,task,layer,variant,perturbation,score,split
2026-07-13T04:23:24.072257,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,-1,none,baseline,89.22,P
2026-07-13T04:23:29.985015,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,0,attn,avg,52.06,P
2026-07-13T04:23:36.151630,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,0,mlp,avg,52.75,P
2026-07-13T04:23:43.220625,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,1,attn,avg,61.24,P
2026-07-13T04:23:49.175984,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,1,mlp,avg,50.23,P
2026-07-13T04:23:55.019439,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,2,attn,avg,77.29,P
2026-07-13T04:24:00.984377,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,2,mlp,avg,77.98,P
2026-07-13T04:24:06.672154,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,3,attn,avg,63.53,P
2026-07-13T04:24:12.584161,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,3,mlp,avg,80.28,P
2026-07-13T04:24:18.975233,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,4,attn,avg,81.88,P
2026-07-13T04:24:25.105550,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,4,mlp,avg,85.55,P
2026-07-13T04:24:31.306297,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,5,attn,avg,85.32,P
2026-07-13T04:24:37.586228,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,5,mlp,avg,80.28,P
2026-07-13T04:24:48.491797,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,6,attn,avg,85.55,P
2026-07-13T04:24:54.478371,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,6,mlp,avg,85.32,P
2026-07-13T04:25:00.491895,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,7,attn,avg,78.67,P
2026-07-13T04:25:06.368335,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,7,mlp,avg,86.93,P
2026-07-13T04:25:17.713885,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,8,attn,avg,87.84,P
2026-07-13T04:25:23.467173,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,8,mlp,avg,88.07,P
2026-07-13T04:25:29.155577,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,9,attn,avg,86.7,P
2026-07-13T04:25:35.174142,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,9,mlp,avg,90.83,P
2026-07-13T04:25:41.005360,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,10,attn,avg,86.93,P
2026-07-13T04:25:46.681597,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,10,mlp,avg,88.3,P
2026-07-13T04:25:52.471747,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,11,attn,avg,87.61,P
2026-07-13T04:25:58.961450,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,11,mlp,avg,86.93,P
2026-07-13T04:26:04.961543,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,12,attn,avg,82.57,P
2026-07-13T04:26:10.594268,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,12,mlp,avg,87.61,P
2026-07-13T04:26:16.580166,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,13,attn,avg,85.55,P
2026-07-13T04:26:22.689727,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,13,mlp,avg,77.75,P
2026-07-13T04:26:28.349142,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,14,attn,avg,79.13,P
2026-07-13T04:26:34.790829,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,14,mlp,avg,89.45,P
2026-07-13T04:26:40.525508,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,15,attn,avg,88.76,P
2026-07-13T04:26:47.550347,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,15,mlp,avg,89.45,P
2026-07-13T04:26:53.145357,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,16,attn,avg,89.68,P
2026-07-13T04:26:58.586999,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,16,mlp,avg,89.45,P
2026-07-13T04:27:03.952048,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,17,attn,avg,87.61,P
2026-07-13T04:27:09.349302,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,17,mlp,avg,89.68,P
2026-07-13T04:27:14.732326,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,18,attn,avg,88.07,P
2026-07-13T04:27:20.090704,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,18,mlp,avg,87.16,P
2026-07-13T04:27:25.510570,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,19,attn,avg,88.07,P
2026-07-13T04:27:30.953166,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,19,mlp,avg,89.22,P
2026-07-13T04:27:36.352005,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,20,attn,avg,88.53,P
2026-07-13T04:27:41.766130,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,20,mlp,avg,87.16,P
2026-07-13T04:27:47.165487,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,21,attn,avg,88.99,P
2026-07-13T04:27:52.567859,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,21,mlp,avg,89.68,P
2026-07-13T04:27:58.017536,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,22,attn,avg,89.68,P
2026-07-13T04:28:03.466250,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,22,mlp,avg,88.3,P
2026-07-13T04:28:08.917735,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,23,attn,avg,89.22,P
2026-07-13T04:28:14.519383,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,23,mlp,avg,87.39,P
2026-07-13T04:28:19.876694,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,24,attn,avg,90.14,P
2026-07-13T04:28:25.259248,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,24,mlp,avg,89.45,P
2026-07-13T04:28:30.647516,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,25,attn,avg,88.53,P
2026-07-13T04:28:36.047044,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,25,mlp,avg,88.53,P
2026-07-13T04:28:41.414234,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,26,attn,avg,88.3,P
2026-07-13T04:28:46.863070,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,26,mlp,avg,89.45,P
2026-07-13T04:28:52.230135,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,27,attn,avg,87.61,P
2026-07-13T04:28:57.594636,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,27,mlp,avg,88.99,P
2026-07-13T04:29:03.103208,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,28,attn,avg,89.45,P
2026-07-13T04:29:08.474595,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,28,mlp,avg,88.3,P
2026-07-13T04:29:13.865723,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,29,attn,avg,88.76,P
2026-07-13T04:29:19.313877,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,29,mlp,avg,85.78,P
2026-07-13T04:29:24.761690,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,30,attn,avg,87.84,P
2026-07-13T04:29:30.248143,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,30,mlp,avg,83.03,P
2026-07-13T04:29:35.770543,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,31,attn,avg,84.86,P
2026-07-13T04:29:41.246775,/workspace/merge_tools/hf_cache/models/Llama-SafetyGuard-Content-Binary,sst2,31,mlp,avg,86.7,P
