timestamp,model,task,layer,variant,perturbation,score,split
2026-07-12T15:38:34.688103,/scratch/shared_dir/hf_cache/hub/models--OpenMedZoo--MedGo/snapshots/4befd1de86a47f7bcdbbe1e13057e8b4bc30e578,medqa_4options,-1,none,baseline,77.67,P
2026-07-12T15:41:39.486184,/scratch/shared_dir/hf_cache/hub/models--OpenMedZoo--MedGo/snapshots/4befd1de86a47f7bcdbbe1e13057e8b4bc30e578,medqa_4options,0,attn,avg,77.04,P
2026-07-12T15:44:44.259827,/scratch/shared_dir/hf_cache/hub/models--OpenMedZoo--MedGo/snapshots/4befd1de86a47f7bcdbbe1e13057e8b4bc30e578,medqa_4options,0,mlp,avg,76.1,P
2026-07-12T15:47:48.939094,/scratch/shared_dir/hf_cache/hub/models--OpenMedZoo--MedGo/snapshots/4befd1de86a47f7bcdbbe1e13057e8b4bc30e578,medqa_4options,1,attn,avg,78.62,P
2026-07-12T15:50:53.643829,/scratch/shared_dir/hf_cache/hub/models--OpenMedZoo--MedGo/snapshots/4befd1de86a47f7bcdbbe1e13057e8b4bc30e578,medqa_4options,1,mlp,avg,64.47,P
2026-07-12T15:53:57.795839,/scratch/shared_dir/hf_cache/hub/models--OpenMedZoo--MedGo/snapshots/4befd1de86a47f7bcdbbe1e13057e8b4bc30e578,medqa_4options,2,attn,avg,76.57,P
2026-07-12T15:57:03.018674,/scratch/shared_dir/hf_cache/hub/models--OpenMedZoo--MedGo/snapshots/4befd1de86a47f7bcdbbe1e13057e8b4bc30e578,medqa_4options,2,mlp,avg,75.79,P
2026-07-12T16:00:08.055291,/scratch/shared_dir/hf_cache/hub/models--OpenMedZoo--MedGo/snapshots/4befd1de86a47f7bcdbbe1e13057e8b4bc30e578,medqa_4options,3,attn,avg,78.77,P
2026-07-12T16:03:12.884243,/scratch/shared_dir/hf_cache/hub/models--OpenMedZoo--MedGo/snapshots/4befd1de86a47f7bcdbbe1e13057e8b4bc30e578,medqa_4options,3,mlp,avg,75.47,P
2026-07-12T16:06:17.329345,/scratch/shared_dir/hf_cache/hub/models--OpenMedZoo--MedGo/snapshots/4befd1de86a47f7bcdbbe1e13057e8b4bc30e578,medqa_4options,4,attn,avg,77.67,P
2026-07-12T16:09:21.673217,/scratch/shared_dir/hf_cache/hub/models--OpenMedZoo--MedGo/snapshots/4befd1de86a47f7bcdbbe1e13057e8b4bc30e578,medqa_4options,4,mlp,avg,72.96,P
2026-07-12T16:12:26.140127,/scratch/shared_dir/hf_cache/hub/models--OpenMedZoo--MedGo/snapshots/4befd1de86a47f7bcdbbe1e13057e8b4bc30e578,medqa_4options,5,attn,avg,76.73,P
2026-07-12T16:15:30.704749,/scratch/shared_dir/hf_cache/hub/models--OpenMedZoo--MedGo/snapshots/4befd1de86a47f7bcdbbe1e13057e8b4bc30e578,medqa_4options,5,mlp,avg,72.64,P
2026-07-12T16:18:35.087343,/scratch/shared_dir/hf_cache/hub/models--OpenMedZoo--MedGo/snapshots/4befd1de86a47f7bcdbbe1e13057e8b4bc30e578,medqa_4options,6,attn,avg,75.79,P
