timestamp,model,task,layer,variant,perturbation,score,split
2026-07-13T23:03:30.994100,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,-1,none,baseline,75.61,P
2026-07-13T23:04:32.288488,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,0,attn,avg,52.44,P
2026-07-13T23:05:31.302275,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,0,mlp,avg,58.54,P
2026-07-13T23:06:29.731132,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,1,attn,avg,65.85,P
2026-07-13T23:07:29.620637,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,1,mlp,avg,62.2,P
2026-07-13T23:08:27.009801,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,2,attn,avg,74.39,P
2026-07-13T23:09:26.457012,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,2,mlp,avg,79.27,P
2026-07-13T23:10:32.442335,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,3,attn,avg,75.61,P
2026-07-13T23:11:36.335416,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,3,mlp,avg,67.07,P
2026-07-13T23:12:44.620387,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,4,attn,avg,74.39,P
2026-07-13T23:13:49.208367,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,4,mlp,avg,69.51,P
2026-07-13T23:14:54.767063,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,5,attn,avg,73.17,P
2026-07-13T23:15:51.934917,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,5,mlp,avg,75.61,P
2026-07-13T23:16:47.337482,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,6,attn,avg,69.51,P
2026-07-13T23:17:44.980261,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,6,mlp,avg,71.95,P
2026-07-13T23:18:47.511278,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,7,attn,avg,74.39,P
2026-07-13T23:19:46.849131,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,7,mlp,avg,74.39,P
2026-07-13T23:20:44.935990,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,8,attn,avg,73.17,P
2026-07-13T23:21:45.423429,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,8,mlp,avg,71.95,P
2026-07-13T23:23:00.803365,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,9,attn,avg,71.95,P
2026-07-13T23:24:07.437279,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,9,mlp,avg,67.07,P
2026-07-13T23:25:13.359928,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,10,attn,avg,79.27,P
2026-07-13T23:26:21.332854,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,10,mlp,avg,71.95,P
2026-07-13T23:27:17.540692,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,11,attn,avg,74.39,P
2026-07-13T23:28:14.396868,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,11,mlp,avg,62.2,P
2026-07-13T23:29:16.315634,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,12,attn,avg,75.61,P
2026-07-13T23:30:18.978789,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,12,mlp,avg,64.63,P
