timestamp,model,task,layer,variant,perturbation,score,split
2026-07-13T23:03:27.793551,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,-1,none,baseline,89.8,P
2026-07-13T23:04:34.331175,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,0,attn,avg,36.5,P
2026-07-13T23:05:27.556168,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,0,mlp,avg,88.3,P
2026-07-13T23:06:21.473802,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,1,attn,avg,86.1,P
2026-07-13T23:07:21.415308,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,1,mlp,avg,78.2,P
2026-07-13T23:08:16.909536,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,2,attn,avg,89.5,P
2026-07-13T23:09:15.692344,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,2,mlp,avg,81.1,P
2026-07-13T23:10:09.722081,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,3,attn,avg,90.0,P
2026-07-13T23:11:07.414340,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,3,mlp,avg,86.5,P
2026-07-13T23:12:01.586740,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,4,attn,avg,88.8,P
2026-07-13T23:12:56.575930,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,4,mlp,avg,91.5,P
2026-07-13T23:13:50.663775,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,5,attn,avg,90.2,P
2026-07-13T23:14:45.616166,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,5,mlp,avg,87.3,P
2026-07-13T23:15:40.741654,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,6,attn,avg,89.2,P
2026-07-13T23:16:35.525149,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,6,mlp,avg,88.9,P
2026-07-13T23:17:29.234297,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,7,attn,avg,90.9,P
