timestamp,model,task,layer,variant,perturbation,score,split
2026-07-12T05:45:31.979893,/scratch/shared_dir/hf_cache/hub/models--t-tech--T-pro-it-2.0/snapshots/a826dfc669cfe29deda8e62dfa1c2e1deaf3577f,m_mmlu_ru,-1,none,baseline,76.9,P
2026-07-12T05:46:37.487598,/scratch/shared_dir/hf_cache/hub/models--t-tech--T-pro-it-2.0/snapshots/a826dfc669cfe29deda8e62dfa1c2e1deaf3577f,m_mmlu_ru,0,attn,avg,74.6,P
2026-07-12T05:47:42.972857,/scratch/shared_dir/hf_cache/hub/models--t-tech--T-pro-it-2.0/snapshots/a826dfc669cfe29deda8e62dfa1c2e1deaf3577f,m_mmlu_ru,0,mlp,avg,63.7,P
2026-07-12T05:48:48.420446,/scratch/shared_dir/hf_cache/hub/models--t-tech--T-pro-it-2.0/snapshots/a826dfc669cfe29deda8e62dfa1c2e1deaf3577f,m_mmlu_ru,1,attn,avg,76.6,P
2026-07-12T05:49:54.126607,/scratch/shared_dir/hf_cache/hub/models--t-tech--T-pro-it-2.0/snapshots/a826dfc669cfe29deda8e62dfa1c2e1deaf3577f,m_mmlu_ru,1,mlp,avg,63.2,P
2026-07-12T05:50:59.911272,/scratch/shared_dir/hf_cache/hub/models--t-tech--T-pro-it-2.0/snapshots/a826dfc669cfe29deda8e62dfa1c2e1deaf3577f,m_mmlu_ru,2,attn,avg,76.1,P
2026-07-12T05:52:05.672186,/scratch/shared_dir/hf_cache/hub/models--t-tech--T-pro-it-2.0/snapshots/a826dfc669cfe29deda8e62dfa1c2e1deaf3577f,m_mmlu_ru,2,mlp,avg,73.2,P
2026-07-12T05:53:11.298009,/scratch/shared_dir/hf_cache/hub/models--t-tech--T-pro-it-2.0/snapshots/a826dfc669cfe29deda8e62dfa1c2e1deaf3577f,m_mmlu_ru,3,attn,avg,76.9,P
2026-07-12T05:54:16.688598,/scratch/shared_dir/hf_cache/hub/models--t-tech--T-pro-it-2.0/snapshots/a826dfc669cfe29deda8e62dfa1c2e1deaf3577f,m_mmlu_ru,3,mlp,avg,71.9,P
2026-07-12T05:55:22.134930,/scratch/shared_dir/hf_cache/hub/models--t-tech--T-pro-it-2.0/snapshots/a826dfc669cfe29deda8e62dfa1c2e1deaf3577f,m_mmlu_ru,4,attn,avg,76.9,P
2026-07-12T05:56:27.995181,/scratch/shared_dir/hf_cache/hub/models--t-tech--T-pro-it-2.0/snapshots/a826dfc669cfe29deda8e62dfa1c2e1deaf3577f,m_mmlu_ru,4,mlp,avg,71.0,P
2026-07-12T05:57:33.633238,/scratch/shared_dir/hf_cache/hub/models--t-tech--T-pro-it-2.0/snapshots/a826dfc669cfe29deda8e62dfa1c2e1deaf3577f,m_mmlu_ru,5,attn,avg,76.7,P
2026-07-12T05:58:39.081589,/scratch/shared_dir/hf_cache/hub/models--t-tech--T-pro-it-2.0/snapshots/a826dfc669cfe29deda8e62dfa1c2e1deaf3577f,m_mmlu_ru,5,mlp,avg,72.3,P
2026-07-12T05:59:44.778832,/scratch/shared_dir/hf_cache/hub/models--t-tech--T-pro-it-2.0/snapshots/a826dfc669cfe29deda8e62dfa1c2e1deaf3577f,m_mmlu_ru,6,attn,avg,74.2,P
2026-07-12T06:00:50.221769,/scratch/shared_dir/hf_cache/hub/models--t-tech--T-pro-it-2.0/snapshots/a826dfc669cfe29deda8e62dfa1c2e1deaf3577f,m_mmlu_ru,6,mlp,avg,33.6,P
2026-07-12T06:01:55.574406,/scratch/shared_dir/hf_cache/hub/models--t-tech--T-pro-it-2.0/snapshots/a826dfc669cfe29deda8e62dfa1c2e1deaf3577f,m_mmlu_ru,7,attn,avg,76.1,P
2026-07-12T06:03:01.052766,/scratch/shared_dir/hf_cache/hub/models--t-tech--T-pro-it-2.0/snapshots/a826dfc669cfe29deda8e62dfa1c2e1deaf3577f,m_mmlu_ru,7,mlp,avg,75.1,P
2026-07-12T06:04:06.566586,/scratch/shared_dir/hf_cache/hub/models--t-tech--T-pro-it-2.0/snapshots/a826dfc669cfe29deda8e62dfa1c2e1deaf3577f,m_mmlu_ru,8,attn,avg,76.5,P
2026-07-12T06:05:12.065834,/scratch/shared_dir/hf_cache/hub/models--t-tech--T-pro-it-2.0/snapshots/a826dfc669cfe29deda8e62dfa1c2e1deaf3577f,m_mmlu_ru,8,mlp,avg,75.4,P
2026-07-12T06:06:17.690299,/scratch/shared_dir/hf_cache/hub/models--t-tech--T-pro-it-2.0/snapshots/a826dfc669cfe29deda8e62dfa1c2e1deaf3577f,m_mmlu_ru,9,attn,avg,77.1,P
