timestamp,model,task,layer,variant,perturbation,score,split
2026-07-13T04:23:37.804825,/workspace/merge_tools/hf_cache/models/calme-2.3-legalkit-8b,mmlu_professional_law,-1,none,baseline,51.11,P
2026-07-13T04:23:59.152032,/workspace/merge_tools/hf_cache/models/calme-2.3-legalkit-8b,mmlu_professional_law,0,attn,avg,37.42,P
2026-07-13T04:24:20.122523,/workspace/merge_tools/hf_cache/models/calme-2.3-legalkit-8b,mmlu_professional_law,0,mlp,avg,37.94,P
2026-07-13T04:24:46.286858,/workspace/merge_tools/hf_cache/models/calme-2.3-legalkit-8b,mmlu_professional_law,1,attn,avg,35.85,P
2026-07-13T04:25:07.506248,/workspace/merge_tools/hf_cache/models/calme-2.3-legalkit-8b,mmlu_professional_law,1,mlp,avg,23.73,P
2026-07-13T04:25:28.546971,/workspace/merge_tools/hf_cache/models/calme-2.3-legalkit-8b,mmlu_professional_law,2,attn,avg,38.46,P
2026-07-13T04:25:49.295509,/workspace/merge_tools/hf_cache/models/calme-2.3-legalkit-8b,mmlu_professional_law,2,mlp,avg,45.89,P
2026-07-13T04:26:10.102067,/workspace/merge_tools/hf_cache/models/calme-2.3-legalkit-8b,mmlu_professional_law,3,attn,avg,35.59,P
2026-07-13T04:26:32.451416,/workspace/merge_tools/hf_cache/models/calme-2.3-legalkit-8b,mmlu_professional_law,3,mlp,avg,45.76,P
2026-07-13T04:26:52.739633,/workspace/merge_tools/hf_cache/models/calme-2.3-legalkit-8b,mmlu_professional_law,4,attn,avg,46.02,P
2026-07-13T04:27:13.156805,/workspace/merge_tools/hf_cache/models/calme-2.3-legalkit-8b,mmlu_professional_law,4,mlp,avg,43.94,P
2026-07-13T04:27:33.602178,/workspace/merge_tools/hf_cache/models/calme-2.3-legalkit-8b,mmlu_professional_law,5,attn,avg,41.2,P
2026-07-13T04:27:53.930500,/workspace/merge_tools/hf_cache/models/calme-2.3-legalkit-8b,mmlu_professional_law,5,mlp,avg,45.11,P
2026-07-13T04:28:14.570765,/workspace/merge_tools/hf_cache/models/calme-2.3-legalkit-8b,mmlu_professional_law,6,attn,avg,46.15,P
2026-07-13T04:28:34.901485,/workspace/merge_tools/hf_cache/models/calme-2.3-legalkit-8b,mmlu_professional_law,6,mlp,avg,43.94,P
