timestamp,model,task,layer,variant,perturbation,score,split
2026-07-13T02:30:34.125537,/workspace/merge_tools/hf_cache/models/deepseek-coder-7b-instruct-v1.5,humaneval,-1,none,baseline,60.98,P
2026-07-13T02:31:39.586233,/workspace/merge_tools/hf_cache/models/deepseek-coder-7b-instruct-v1.5,humaneval,0,attn,avg,0.0,P
2026-07-13T02:32:37.310474,/workspace/merge_tools/hf_cache/models/deepseek-coder-7b-instruct-v1.5,humaneval,0,mlp,avg,62.2,P
2026-07-13T02:33:35.956994,/workspace/merge_tools/hf_cache/models/deepseek-coder-7b-instruct-v1.5,humaneval,1,attn,avg,52.44,P
2026-07-13T02:34:43.195307,/workspace/merge_tools/hf_cache/models/deepseek-coder-7b-instruct-v1.5,humaneval,1,mlp,avg,0.0,P
2026-07-13T02:35:44.702485,/workspace/merge_tools/hf_cache/models/deepseek-coder-7b-instruct-v1.5,humaneval,2,attn,avg,56.1,P
2026-07-13T02:36:40.535770,/workspace/merge_tools/hf_cache/models/deepseek-coder-7b-instruct-v1.5,humaneval,2,mlp,avg,64.63,P
2026-07-13T02:37:46.503125,/workspace/merge_tools/hf_cache/models/deepseek-coder-7b-instruct-v1.5,humaneval,3,attn,avg,51.22,P
2026-07-13T02:38:45.250069,/workspace/merge_tools/hf_cache/models/deepseek-coder-7b-instruct-v1.5,humaneval,3,mlp,avg,59.76,P
2026-07-13T02:39:45.634365,/workspace/merge_tools/hf_cache/models/deepseek-coder-7b-instruct-v1.5,humaneval,4,attn,avg,63.41,P
2026-07-13T02:40:48.637887,/workspace/merge_tools/hf_cache/models/deepseek-coder-7b-instruct-v1.5,humaneval,4,mlp,avg,63.41,P
2026-07-13T02:41:48.820769,/workspace/merge_tools/hf_cache/models/deepseek-coder-7b-instruct-v1.5,humaneval,5,attn,avg,60.98,P
2026-07-13T02:42:49.288848,/workspace/merge_tools/hf_cache/models/deepseek-coder-7b-instruct-v1.5,humaneval,5,mlp,avg,64.63,P
2026-07-13T02:43:55.961565,/workspace/merge_tools/hf_cache/models/deepseek-coder-7b-instruct-v1.5,humaneval,6,attn,avg,50.0,P
2026-07-13T02:44:54.485418,/workspace/merge_tools/hf_cache/models/deepseek-coder-7b-instruct-v1.5,humaneval,6,mlp,avg,63.41,P
2026-07-13T02:45:58.172756,/workspace/merge_tools/hf_cache/models/deepseek-coder-7b-instruct-v1.5,humaneval,7,attn,avg,45.12,P
2026-07-13T02:46:56.300172,/workspace/merge_tools/hf_cache/models/deepseek-coder-7b-instruct-v1.5,humaneval,7,mlp,avg,59.76,P
2026-07-13T02:48:01.461946,/workspace/merge_tools/hf_cache/models/deepseek-coder-7b-instruct-v1.5,humaneval,8,attn,avg,60.98,P
2026-07-13T02:49:00.136192,/workspace/merge_tools/hf_cache/models/deepseek-coder-7b-instruct-v1.5,humaneval,8,mlp,avg,60.98,P
2026-07-13T02:50:03.109588,/workspace/merge_tools/hf_cache/models/deepseek-coder-7b-instruct-v1.5,humaneval,9,attn,avg,56.1,P
2026-07-13T02:50:59.458135,/workspace/merge_tools/hf_cache/models/deepseek-coder-7b-instruct-v1.5,humaneval,9,mlp,avg,68.29,P
2026-07-13T02:51:55.517888,/workspace/merge_tools/hf_cache/models/deepseek-coder-7b-instruct-v1.5,humaneval,10,attn,avg,51.22,P
2026-07-13T02:52:51.758208,/workspace/merge_tools/hf_cache/models/deepseek-coder-7b-instruct-v1.5,humaneval,10,mlp,avg,50.0,P
2026-07-13T02:53:50.768294,/workspace/merge_tools/hf_cache/models/deepseek-coder-7b-instruct-v1.5,humaneval,11,attn,avg,56.1,P
2026-07-13T02:54:51.390989,/workspace/merge_tools/hf_cache/models/deepseek-coder-7b-instruct-v1.5,humaneval,11,mlp,avg,54.88,P
2026-07-13T02:55:51.042293,/workspace/merge_tools/hf_cache/models/deepseek-coder-7b-instruct-v1.5,humaneval,12,attn,avg,57.32,P
2026-07-13T02:56:50.559796,/workspace/merge_tools/hf_cache/models/deepseek-coder-7b-instruct-v1.5,humaneval,12,mlp,avg,64.63,P
2026-07-13T02:57:47.543653,/workspace/merge_tools/hf_cache/models/deepseek-coder-7b-instruct-v1.5,humaneval,13,attn,avg,57.32,P
