timestamp,model,task,layer,variant,perturbation,score,split
2026-07-13T02:30:37.810383,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,-1,none,baseline,82.0,P
2026-07-13T02:31:35.075449,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,0,attn,avg,15.6,P
2026-07-13T02:32:33.699043,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,0,mlp,avg,78.0,P
2026-07-13T02:33:32.888672,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,1,attn,avg,64.4,P
2026-07-13T02:36:09.063930,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,1,mlp,avg,0.0,P
2026-07-13T02:37:06.636168,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,2,attn,avg,70.5,P
2026-07-13T02:37:59.658918,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,2,mlp,avg,81.7,P
2026-07-13T02:38:57.433487,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,3,attn,avg,70.2,P
2026-07-13T02:39:53.043265,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,3,mlp,avg,79.2,P
2026-07-13T02:40:51.902108,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,4,attn,avg,64.5,P
2026-07-13T02:41:51.404362,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,4,mlp,avg,79.1,P
2026-07-13T02:42:50.482513,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,5,attn,avg,65.6,P
2026-07-13T02:43:49.451785,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,5,mlp,avg,78.5,P
2026-07-13T02:44:55.523257,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,6,attn,avg,56.7,P
2026-07-13T02:45:52.852864,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,6,mlp,avg,75.9,P
2026-07-13T02:46:46.381124,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,7,attn,avg,56.7,P
2026-07-13T02:47:42.438990,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,7,mlp,avg,76.2,P
2026-07-13T02:48:41.506994,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,8,attn,avg,62.1,P
2026-07-13T02:49:37.994711,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,8,mlp,avg,77.7,P
2026-07-13T02:50:36.089137,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,9,attn,avg,67.0,P
2026-07-13T02:51:29.621914,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,9,mlp,avg,78.0,P
2026-07-13T02:52:23.750731,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,10,attn,avg,66.1,P
2026-07-13T02:53:22.608024,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,10,mlp,avg,75.5,P
2026-07-13T02:54:20.357469,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,11,attn,avg,67.0,P
2026-07-13T02:55:19.412635,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,11,mlp,avg,73.3,P
2026-07-13T02:56:15.264196,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,12,attn,avg,69.5,P
2026-07-13T02:57:06.469170,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,12,mlp,avg,74.4,P
2026-07-13T02:57:59.334701,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,13,attn,avg,62.3,P
2026-07-13T02:58:52.656697,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,13,mlp,avg,77.6,P
2026-07-13T02:59:46.360160,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,14,attn,avg,67.3,P
2026-07-13T03:00:39.625392,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,14,mlp,avg,78.0,P
2026-07-13T03:01:33.553084,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,15,attn,avg,66.2,P
2026-07-13T03:02:27.151465,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,15,mlp,avg,77.6,P
2026-07-13T03:03:21.363747,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,16,attn,avg,61.4,P
2026-07-13T03:04:15.574533,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,16,mlp,avg,78.9,P
2026-07-13T03:05:09.048640,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,17,attn,avg,72.1,P
2026-07-13T03:06:02.132473,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,17,mlp,avg,73.3,P
2026-07-13T03:06:56.364865,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,18,attn,avg,71.7,P
2026-07-13T03:07:47.174369,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,18,mlp,avg,75.3,P
2026-07-13T03:08:40.534829,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,19,attn,avg,75.5,P
2026-07-13T03:09:30.672568,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,19,mlp,avg,72.6,P
2026-07-13T03:10:23.902719,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,20,attn,avg,81.1,P
2026-07-13T03:11:16.153227,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,20,mlp,avg,71.7,P
2026-07-13T03:12:07.583101,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,21,attn,avg,79.2,P
2026-07-13T03:12:57.601027,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,21,mlp,avg,78.9,P
2026-07-13T03:13:50.229349,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,22,attn,avg,81.4,P
2026-07-13T03:14:41.532905,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,22,mlp,avg,79.5,P
2026-07-13T03:15:35.170789,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,23,attn,avg,81.8,P
2026-07-13T03:16:26.829898,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,23,mlp,avg,79.1,P
2026-07-13T03:17:19.530078,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,24,attn,avg,82.0,P
2026-07-13T03:18:17.838804,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,24,mlp,avg,79.5,P
2026-07-13T03:19:12.853655,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,25,attn,avg,80.9,P
2026-07-13T03:20:07.294057,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,25,mlp,avg,80.8,P
2026-07-13T03:20:59.428039,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,26,attn,avg,81.2,P
2026-07-13T03:21:54.276623,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,26,mlp,avg,80.8,P
2026-07-13T03:22:48.826097,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,27,attn,avg,80.8,P
2026-07-13T03:23:39.885664,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,27,mlp,avg,80.3,P
2026-07-13T03:24:33.903315,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,28,attn,avg,81.5,P
2026-07-13T03:25:27.086331,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,28,mlp,avg,81.1,P
2026-07-13T03:26:21.821963,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,29,attn,avg,77.4,P
2026-07-13T03:27:18.339070,/workspace/merge_tools/hf_cache/models/deepseek-math-7b-instruct,gsm8k-cot,29,mlp,avg,78.3,P
