timestamp,model,task,layer,variant,perturbation,score,split
2026-07-13T04:23:23.580189,/workspace/merge_tools/hf_cache/models/Llama-3.1-Hawkish-8B,mmlu_econometrics,-1,none,baseline,61.4,P
2026-07-13T04:23:28.953008,/workspace/merge_tools/hf_cache/models/Llama-3.1-Hawkish-8B,mmlu_econometrics,0,attn,avg,47.37,P
2026-07-13T04:23:34.255119,/workspace/merge_tools/hf_cache/models/Llama-3.1-Hawkish-8B,mmlu_econometrics,0,mlp,avg,31.58,P
2026-07-13T04:23:39.584275,/workspace/merge_tools/hf_cache/models/Llama-3.1-Hawkish-8B,mmlu_econometrics,1,attn,avg,38.6,P
2026-07-13T04:23:45.710615,/workspace/merge_tools/hf_cache/models/Llama-3.1-Hawkish-8B,mmlu_econometrics,1,mlp,avg,26.32,P
2026-07-13T04:23:53.071187,/workspace/merge_tools/hf_cache/models/Llama-3.1-Hawkish-8B,mmlu_econometrics,2,attn,avg,43.86,P
2026-07-13T04:23:59.200877,/workspace/merge_tools/hf_cache/models/Llama-3.1-Hawkish-8B,mmlu_econometrics,2,mlp,avg,43.86,P
2026-07-13T04:24:04.594519,/workspace/merge_tools/hf_cache/models/Llama-3.1-Hawkish-8B,mmlu_econometrics,3,attn,avg,43.86,P
2026-07-13T04:24:10.275829,/workspace/merge_tools/hf_cache/models/Llama-3.1-Hawkish-8B,mmlu_econometrics,3,mlp,avg,47.37,P
2026-07-13T04:24:15.969766,/workspace/merge_tools/hf_cache/models/Llama-3.1-Hawkish-8B,mmlu_econometrics,4,attn,avg,49.12,P
2026-07-13T04:24:21.809271,/workspace/merge_tools/hf_cache/models/Llama-3.1-Hawkish-8B,mmlu_econometrics,4,mlp,avg,47.37,P
2026-07-13T04:24:42.314506,/workspace/merge_tools/hf_cache/models/Llama-3.1-Hawkish-8B,mmlu_econometrics,5,attn,avg,45.61,P
2026-07-13T04:24:47.546035,/workspace/merge_tools/hf_cache/models/Llama-3.1-Hawkish-8B,mmlu_econometrics,5,mlp,avg,45.61,P
2026-07-13T04:24:53.010071,/workspace/merge_tools/hf_cache/models/Llama-3.1-Hawkish-8B,mmlu_econometrics,6,attn,avg,38.6,P
2026-07-13T04:24:58.211588,/workspace/merge_tools/hf_cache/models/Llama-3.1-Hawkish-8B,mmlu_econometrics,6,mlp,avg,42.11,P
2026-07-13T04:25:03.562225,/workspace/merge_tools/hf_cache/models/Llama-3.1-Hawkish-8B,mmlu_econometrics,7,attn,avg,36.84,P
2026-07-13T04:25:08.915126,/workspace/merge_tools/hf_cache/models/Llama-3.1-Hawkish-8B,mmlu_econometrics,7,mlp,avg,42.11,P
2026-07-13T04:25:14.269614,/workspace/merge_tools/hf_cache/models/Llama-3.1-Hawkish-8B,mmlu_econometrics,8,attn,avg,42.11,P
2026-07-13T04:25:19.435142,/workspace/merge_tools/hf_cache/models/Llama-3.1-Hawkish-8B,mmlu_econometrics,8,mlp,avg,47.37,P
2026-07-13T04:25:24.558654,/workspace/merge_tools/hf_cache/models/Llama-3.1-Hawkish-8B,mmlu_econometrics,9,attn,avg,42.11,P
2026-07-13T04:25:29.678692,/workspace/merge_tools/hf_cache/models/Llama-3.1-Hawkish-8B,mmlu_econometrics,9,mlp,avg,43.86,P
2026-07-13T04:25:35.312547,/workspace/merge_tools/hf_cache/models/Llama-3.1-Hawkish-8B,mmlu_econometrics,10,attn,avg,50.88,P
2026-07-13T04:25:40.480688,/workspace/merge_tools/hf_cache/models/Llama-3.1-Hawkish-8B,mmlu_econometrics,10,mlp,avg,40.35,P
2026-07-13T04:25:45.634291,/workspace/merge_tools/hf_cache/models/Llama-3.1-Hawkish-8B,mmlu_econometrics,11,attn,avg,47.37,P
2026-07-13T04:25:50.711776,/workspace/merge_tools/hf_cache/models/Llama-3.1-Hawkish-8B,mmlu_econometrics,11,mlp,avg,36.84,P
2026-07-13T04:25:55.925330,/workspace/merge_tools/hf_cache/models/Llama-3.1-Hawkish-8B,mmlu_econometrics,12,attn,avg,43.86,P
2026-07-13T04:26:01.114060,/workspace/merge_tools/hf_cache/models/Llama-3.1-Hawkish-8B,mmlu_econometrics,12,mlp,avg,52.63,P
2026-07-13T04:26:06.325772,/workspace/merge_tools/hf_cache/models/Llama-3.1-Hawkish-8B,mmlu_econometrics,13,attn,avg,49.12,P
2026-07-13T04:26:11.472748,/workspace/merge_tools/hf_cache/models/Llama-3.1-Hawkish-8B,mmlu_econometrics,13,mlp,avg,56.14,P
2026-07-13T04:26:17.126835,/workspace/merge_tools/hf_cache/models/Llama-3.1-Hawkish-8B,mmlu_econometrics,14,attn,avg,59.65,P
2026-07-13T04:26:22.395135,/workspace/merge_tools/hf_cache/models/Llama-3.1-Hawkish-8B,mmlu_econometrics,14,mlp,avg,54.39,P
2026-07-13T04:26:27.808175,/workspace/merge_tools/hf_cache/models/Llama-3.1-Hawkish-8B,mmlu_econometrics,15,attn,avg,63.16,P
2026-07-13T04:26:33.486594,/workspace/merge_tools/hf_cache/models/Llama-3.1-Hawkish-8B,mmlu_econometrics,15,mlp,avg,56.14,P
2026-07-13T04:26:38.648063,/workspace/merge_tools/hf_cache/models/Llama-3.1-Hawkish-8B,mmlu_econometrics,16,attn,avg,54.39,P
2026-07-13T04:26:44.019584,/workspace/merge_tools/hf_cache/models/Llama-3.1-Hawkish-8B,mmlu_econometrics,16,mlp,avg,56.14,P
2026-07-13T04:26:49.473211,/workspace/merge_tools/hf_cache/models/Llama-3.1-Hawkish-8B,mmlu_econometrics,17,attn,avg,50.88,P
2026-07-13T04:26:54.389266,/workspace/merge_tools/hf_cache/models/Llama-3.1-Hawkish-8B,mmlu_econometrics,17,mlp,avg,57.89,P
2026-07-13T04:26:59.338051,/workspace/merge_tools/hf_cache/models/Llama-3.1-Hawkish-8B,mmlu_econometrics,18,attn,avg,59.65,P
2026-07-13T04:27:04.275686,/workspace/merge_tools/hf_cache/models/Llama-3.1-Hawkish-8B,mmlu_econometrics,18,mlp,avg,57.89,P
2026-07-13T04:27:09.223853,/workspace/merge_tools/hf_cache/models/Llama-3.1-Hawkish-8B,mmlu_econometrics,19,attn,avg,63.16,P
2026-07-13T04:27:14.275610,/workspace/merge_tools/hf_cache/models/Llama-3.1-Hawkish-8B,mmlu_econometrics,19,mlp,avg,61.4,P
2026-07-13T04:27:19.212545,/workspace/merge_tools/hf_cache/models/Llama-3.1-Hawkish-8B,mmlu_econometrics,20,attn,avg,61.4,P
2026-07-13T04:27:24.134895,/workspace/merge_tools/hf_cache/models/Llama-3.1-Hawkish-8B,mmlu_econometrics,20,mlp,avg,59.65,P
