timestamp,step_idx,stage,op,component,layer,label,score,threshold,decision,scaled
2026-07-13T06:29:18.642896+00:00,-1,0,baseline,baseline,-1,Llama-3.1-Hawkish-8B,49.12,0.0,baseline,False
2026-07-13T06:29:49.622752+00:00,0,1,merge,mlp,26,Llama-3.1-Hawkish-8B,49.12,2.0,accepted,True
2026-07-13T06:30:43.872367+00:00,1,1,merge,mlp,22,Llama-3.1-Hawkish-8B,50.88,2.0,accepted,True
2026-07-13T06:31:02.970061+00:00,2,1,merge,mlp,17,Llama-3.1-Hawkish-8B,49.12,2.0,accepted,True
2026-07-13T06:31:21.053564+00:00,3,1,merge,mlp,19,Llama-3.1-Hawkish-8B,50.88,2.0,accepted,True
2026-07-13T06:31:39.170451+00:00,4,1,merge,mlp,24,Llama-3.1-Hawkish-8B,49.12,2.0,accepted,True
2026-07-13T06:31:56.805345+00:00,5,1,merge,mlp,28,Llama-3.1-Hawkish-8B,50.88,2.0,accepted,True
2026-07-13T06:32:14.818466+00:00,6,1,merge,mlp,25,Llama-3.1-Hawkish-8B,50.88,2.0,accepted,True
2026-07-13T06:32:33.287225+00:00,7,1,merge,mlp,18,Llama-3.1-Hawkish-8B,49.12,2.0,accepted,True
2026-07-13T06:32:57.801011+00:00,8,1,merge,mlp,20,Llama-3.1-Hawkish-8B,50.88,2.0,accepted,True
2026-07-13T06:33:17.320357+00:00,9,1,merge,mlp,21,Llama-3.1-Hawkish-8B,50.88,2.0,accepted,True
2026-07-13T06:33:35.351292+00:00,10,1,merge,mlp,23,Llama-3.1-Hawkish-8B,50.88,2.0,accepted,True
2026-07-13T06:33:53.525176+00:00,11,1,merge,mlp,27,Llama-3.1-Hawkish-8B,50.88,2.0,accepted,True
2026-07-13T06:34:11.490037+00:00,12,1,merge,mlp,29,Llama-3.1-Hawkish-8B,47.37,2.0,accepted,True
2026-07-13T06:34:28.479974+00:00,13,1,merge,attn,21,Llama-3.1-Hawkish-8B,47.37,2.0,accepted,True
2026-07-13T06:34:45.138119+00:00,14,1,merge,attn,25,Llama-3.1-Hawkish-8B,49.12,2.0,accepted,True
2026-07-13T06:35:02.055257+00:00,15,1,merge,attn,23,Llama-3.1-Hawkish-8B,49.12,2.0,accepted,True
2026-07-13T06:35:19.338321+00:00,16,1,merge,attn,27,Llama-3.1-Hawkish-8B,50.88,2.0,accepted,True
2026-07-13T06:35:36.840448+00:00,17,1,merge,attn,15,Llama-3.1-Hawkish-8B,49.12,2.0,accepted,True
2026-07-13T06:35:54.302659+00:00,18,1,merge,attn,18,Llama-3.1-Hawkish-8B,50.88,2.0,accepted,True
2026-07-13T06:36:11.455176+00:00,19,1,merge,attn,30,Llama-3.1-Hawkish-8B,47.37,2.0,accepted,True
2026-07-13T06:36:28.541803+00:00,20,1,merge,attn,20,Llama-3.1-Hawkish-8B,49.12,2.0,accepted,True
2026-07-13T06:36:45.102753+00:00,21,1,merge,attn,24,Llama-3.1-Hawkish-8B,49.12,2.0,accepted,True
2026-07-13T06:37:01.831491+00:00,22,1,merge,attn,28,Llama-3.1-Hawkish-8B,49.12,2.0,accepted,True
2026-07-13T06:37:19.152396+00:00,23,1,merge,attn,19,Llama-3.1-Hawkish-8B,47.37,2.0,accepted,True
2026-07-13T06:37:35.762654+00:00,24,1,merge,attn,26,Llama-3.1-Hawkish-8B,47.37,2.0,accepted,True
2026-07-13T06:37:52.862627+00:00,25,1,merge,attn,14,Llama-3.1-Hawkish-8B,47.37,2.0,accepted,True
2026-07-13T06:38:11.050728+00:00,26,2,merge,attn,18,Llama-3.1-Hawkish-8B,47.37,2.0,accepted,True
2026-07-13T06:38:28.870893+00:00,27,2,merge,attn,30,Llama-3.1-Hawkish-8B,45.61,2.0,accepted,True
2026-07-13T06:38:46.896971+00:00,28,2,merge,attn,28,Llama-3.1-Hawkish-8B,43.86,2.0,accepted,True
