timestamp,step_idx,stage,op,component,layer,label,score,threshold,decision,scaled
2026-07-13T06:11:13.346210+00:00,-1,0,baseline,baseline,-1,Llama-SafetyGuard-Content-Binary,88.76,0.0,baseline,False
2026-07-13T06:11:44.753887+00:00,0,1,merge,mlp,26,Llama-SafetyGuard-Content-Binary,88.76,2.0,accepted,True
2026-07-13T06:12:39.581796+00:00,1,1,merge,mlp,22,Llama-SafetyGuard-Content-Binary,88.76,2.0,accepted,True
2026-07-13T06:12:58.404208+00:00,2,1,merge,mlp,17,Llama-SafetyGuard-Content-Binary,88.53,2.0,accepted,True
2026-07-13T06:13:16.888555+00:00,3,1,merge,mlp,19,Llama-SafetyGuard-Content-Binary,88.76,2.0,accepted,True
2026-07-13T06:13:35.399992+00:00,4,1,merge,mlp,24,Llama-SafetyGuard-Content-Binary,88.76,2.0,accepted,True
2026-07-13T06:13:53.735607+00:00,5,1,merge,mlp,28,Llama-SafetyGuard-Content-Binary,88.76,2.0,accepted,True
2026-07-13T06:14:12.523973+00:00,6,1,merge,mlp,14,Llama-SafetyGuard-Content-Binary,87.39,2.0,accepted,True
2026-07-13T06:14:31.049373+00:00,7,1,merge,mlp,12,Llama-SafetyGuard-Content-Binary,86.93,2.0,accepted,True
2026-07-13T06:14:50.981294+00:00,8,1,merge,mlp,31,Llama-SafetyGuard-Content-Binary,87.61,2.0,accepted,True
2026-07-13T06:15:09.775403+00:00,9,1,merge,mlp,9,Llama-SafetyGuard-Content-Binary,88.76,2.0,accepted,True
2026-07-13T06:15:28.110916+00:00,10,1,merge,mlp,4,Llama-SafetyGuard-Content-Binary,88.53,2.0,accepted,True
2026-07-13T06:15:45.752844+00:00,11,1,merge,mlp,7,Llama-SafetyGuard-Content-Binary,88.99,2.0,accepted,True
2026-07-13T06:16:04.644052+00:00,12,1,merge,mlp,25,Llama-SafetyGuard-Content-Binary,88.99,2.0,accepted,True
2026-07-13T06:16:23.452484+00:00,13,1,merge,mlp,18,Llama-SafetyGuard-Content-Binary,88.76,2.0,accepted,True
