timestamp,step_idx,stage,op,component,layer,label,score,threshold,decision,scaled
2026-07-13T21:57:55.652301+00:00,-1,0,baseline,baseline,-1,Qwen2.5-Coder-7B-Instruct,87.8,0.0,baseline,False
2026-07-13T21:59:15.825791+00:00,0,1,merge,mlp,19,Qwen2.5-Coder-7B-Instruct,89.02,2.0,accepted,True
2026-07-13T22:00:52.544033+00:00,1,1,merge,mlp,6,Qwen2.5-Coder-7B-Instruct,86.59,2.0,accepted,True
2026-07-13T22:01:48.098218+00:00,2,1,merge,mlp,26,Qwen2.5-Coder-7B-Instruct,85.37,2.0,accepted,True
2026-07-13T22:02:51.674212+00:00,3,1,merge,attn,12,Qwen2.5-Coder-7B-Instruct,87.8,2.0,accepted,True
2026-07-13T22:03:47.732087+00:00,4,1,merge,attn,9,Qwen2.5-Coder-7B-Instruct,86.59,2.0,accepted,True
2026-07-13T22:05:12.167973+00:00,5,1,merge,attn,5,Qwen2.5-Coder-7B-Instruct,86.59,2.0,accepted,True
2026-07-13T22:06:23.003732+00:00,6,1,merge,attn,3,Qwen2.5-Coder-7B-Instruct,82.93,2.0,rejected,True
2026-07-13T22:07:34.470461+00:00,7,1,merge,attn,15,Qwen2.5-Coder-7B-Instruct,85.37,2.0,accepted,True
2026-07-13T22:08:56.157697+00:00,8,1,merge,attn,13,Qwen2.5-Coder-7B-Instruct,82.93,2.0,rejected,True
2026-07-13T22:10:14.129367+00:00,9,1,merge,attn,11,Qwen2.5-Coder-7B-Instruct,82.93,2.0,rejected,True
2026-07-13T22:11:30.163894+00:00,10,1,merge,attn,10,Qwen2.5-Coder-7B-Instruct,87.8,2.0,accepted,True
2026-07-13T22:12:50.220923+00:00,11,1,merge,attn,8,Qwen2.5-Coder-7B-Instruct,86.59,2.0,accepted,True
2026-07-13T22:14:10.739532+00:00,12,1,merge,attn,4,Qwen2.5-Coder-7B-Instruct,85.37,2.0,accepted,True
2026-07-13T22:15:20.994143+00:00,13,1,merge,attn,2,Qwen2.5-Coder-7B-Instruct,85.37,2.0,accepted,True
