timestamp,model,task,layer,variant,perturbation,score,split
2026-07-13T21:03:29.538170,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,-1,none,baseline,75.61,P
2026-07-13T21:04:27.797994,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,0,attn,avg,52.44,P
2026-07-13T21:05:21.166392,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,0,mlp,avg,58.54,P
2026-07-13T21:06:16.097050,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,1,attn,avg,65.85,P
2026-07-13T21:07:11.645779,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,1,mlp,avg,62.2,P
2026-07-13T21:08:06.640952,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,2,attn,avg,74.39,P
2026-07-13T21:09:02.115945,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,2,mlp,avg,79.27,P
2026-07-13T21:09:57.057058,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,3,attn,avg,75.61,P
2026-07-13T21:10:49.657620,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,3,mlp,avg,67.07,P
2026-07-13T21:11:42.709800,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,4,attn,avg,74.39,P
2026-07-13T21:12:33.835678,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,4,mlp,avg,69.51,P
2026-07-13T21:13:26.264553,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,5,attn,avg,71.95,P
2026-07-13T21:14:19.172762,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,5,mlp,avg,75.61,P
2026-07-13T21:15:12.885423,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,6,attn,avg,69.51,P
2026-07-13T21:16:06.030152,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,6,mlp,avg,71.95,P
2026-07-13T21:17:03.480974,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,7,attn,avg,74.39,P
2026-07-13T21:17:57.499542,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,7,mlp,avg,74.39,P
2026-07-13T21:18:53.334155,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,8,attn,avg,73.17,P
2026-07-13T21:19:50.201461,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,8,mlp,avg,71.95,P
2026-07-13T21:20:49.435665,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,9,attn,avg,71.95,P
2026-07-13T21:21:44.882210,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,9,mlp,avg,67.07,P
2026-07-13T21:22:42.378704,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,10,attn,avg,79.27,P
2026-07-13T21:23:38.576333,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,10,mlp,avg,71.95,P
2026-07-13T21:24:34.734204,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,11,attn,avg,74.39,P
2026-07-13T21:25:30.174587,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,11,mlp,avg,62.2,P
2026-07-13T21:26:25.646124,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,12,attn,avg,75.61,P
2026-07-13T21:27:20.727348,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,12,mlp,avg,64.63,P
2026-07-13T21:28:16.799839,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,13,attn,avg,70.73,P
2026-07-13T21:29:12.251066,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,13,mlp,avg,68.29,P
2026-07-13T21:30:08.020987,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,14,attn,avg,73.17,P
2026-07-13T21:31:03.391143,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,14,mlp,avg,67.07,P
2026-07-13T21:32:02.191979,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,15,attn,avg,70.73,P
2026-07-13T21:32:57.447237,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,15,mlp,avg,58.54,P
2026-07-13T21:33:55.739622,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,16,attn,avg,67.07,P
2026-07-13T21:34:55.062563,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,16,mlp,avg,69.51,P
2026-07-13T21:35:50.731168,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,17,attn,avg,68.29,P
2026-07-13T21:36:54.872205,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,17,mlp,avg,69.51,P
2026-07-13T21:37:50.246742,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,18,attn,avg,69.51,P
2026-07-13T21:38:46.164684,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,18,mlp,avg,70.73,P
2026-07-13T21:39:42.450836,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,19,attn,avg,75.61,P
2026-07-13T21:40:38.028750,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,19,mlp,avg,73.17,P
2026-07-13T21:41:33.510076,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,20,attn,avg,76.83,P
2026-07-13T21:42:30.473918,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,20,mlp,avg,65.85,P
2026-07-13T21:43:29.750638,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,21,attn,avg,68.29,P
2026-07-13T21:44:27.508615,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,21,mlp,avg,69.51,P
2026-07-13T21:45:22.657727,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,22,attn,avg,73.17,P
2026-07-13T21:46:23.460244,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,22,mlp,avg,71.95,P
2026-07-13T21:47:17.835039,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,23,attn,avg,76.83,P
2026-07-13T21:48:11.896046,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,23,mlp,avg,70.73,P
2026-07-13T21:49:07.851499,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,24,attn,avg,76.83,P
2026-07-13T21:50:04.225894,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,24,mlp,avg,68.29,P
2026-07-13T21:51:00.831245,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,25,attn,avg,78.05,P
2026-07-13T21:52:02.037715,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,25,mlp,avg,70.73,P
2026-07-13T21:52:57.143951,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,26,attn,avg,76.83,P
2026-07-13T21:53:55.455332,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,26,mlp,avg,71.95,P
2026-07-13T21:54:53.362917,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,27,attn,avg,73.17,P
2026-07-13T21:55:49.305869,/workspace/merge_tools/hf_cache/models/Qwen2.5-Coder-7B-Instruct,humaneval,27,mlp,avg,67.07,P
