timestamp,model,task,layer,variant,perturbation,score,split
2026-07-13T21:03:30.568513,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,-1,none,baseline,89.5,P
2026-07-13T21:04:38.790113,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,0,attn,avg,36.2,P
2026-07-13T21:05:33.116072,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,0,mlp,avg,88.3,P
2026-07-13T21:06:31.757710,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,1,attn,avg,85.8,P
2026-07-13T21:07:27.368449,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,1,mlp,avg,78.3,P
2026-07-13T21:08:20.834177,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,2,attn,avg,89.4,P
2026-07-13T21:09:18.786030,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,2,mlp,avg,81.5,P
2026-07-13T21:10:12.022829,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,3,attn,avg,90.0,P
2026-07-13T21:11:08.125441,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,3,mlp,avg,86.8,P
2026-07-13T21:12:01.411496,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,4,attn,avg,88.9,P
2026-07-13T21:12:53.120971,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,4,mlp,avg,91.2,P
2026-07-13T21:13:44.199227,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,5,attn,avg,90.0,P
2026-07-13T21:14:35.559739,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,5,mlp,avg,87.6,P
2026-07-13T21:15:28.136031,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,6,attn,avg,89.4,P
2026-07-13T21:16:19.889206,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,6,mlp,avg,88.6,P
2026-07-13T21:17:11.605291,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,7,attn,avg,90.9,P
2026-07-13T21:18:08.822119,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,7,mlp,avg,88.2,P
2026-07-13T21:19:04.123716,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,8,attn,avg,89.4,P
2026-07-13T21:19:58.960785,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,8,mlp,avg,88.9,P
2026-07-13T21:20:54.451490,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,9,attn,avg,87.9,P
2026-07-13T21:21:49.855972,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,9,mlp,avg,91.1,P
2026-07-13T21:22:44.879974,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,10,attn,avg,87.4,P
2026-07-13T21:23:40.525019,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,10,mlp,avg,89.2,P
2026-07-13T21:24:36.595477,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,11,attn,avg,87.0,P
2026-07-13T21:25:30.574319,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,11,mlp,avg,87.6,P
2026-07-13T21:26:28.300844,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,12,attn,avg,87.1,P
2026-07-13T21:27:23.851703,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,12,mlp,avg,88.3,P
2026-07-13T21:28:19.053827,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,13,attn,avg,88.2,P
2026-07-13T21:29:13.781444,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,13,mlp,avg,89.1,P
2026-07-13T21:30:13.278428,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,14,attn,avg,86.8,P
2026-07-13T21:31:07.747957,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,14,mlp,avg,89.7,P
2026-07-13T21:32:04.903136,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,15,attn,avg,85.2,P
2026-07-13T21:32:59.181147,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,15,mlp,avg,89.7,P
2026-07-13T21:33:56.086735,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,16,attn,avg,83.8,P
2026-07-13T21:34:50.109701,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,16,mlp,avg,89.8,P
2026-07-13T21:35:46.567855,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,17,attn,avg,84.8,P
2026-07-13T21:36:42.621321,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,17,mlp,avg,87.4,P
2026-07-13T21:37:36.533047,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,18,attn,avg,87.0,P
2026-07-13T21:38:30.213058,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,18,mlp,avg,87.7,P
2026-07-13T21:39:24.398752,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,19,attn,avg,88.3,P
2026-07-13T21:40:20.002033,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,19,mlp,avg,85.8,P
2026-07-13T21:41:18.348277,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,20,attn,avg,87.7,P
2026-07-13T21:42:12.345262,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,20,mlp,avg,88.5,P
2026-07-13T21:43:06.130999,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,21,attn,avg,76.7,P
2026-07-13T21:44:01.683815,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,21,mlp,avg,90.8,P
2026-07-13T21:44:58.119376,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,22,attn,avg,70.3,P
2026-07-13T21:45:51.542314,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,22,mlp,avg,82.0,P
2026-07-13T21:46:45.952763,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,23,attn,avg,75.9,P
2026-07-13T21:47:43.159734,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,23,mlp,avg,75.5,P
2026-07-13T21:48:39.897367,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,24,attn,avg,83.6,P
2026-07-13T21:49:34.376716,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,24,mlp,avg,81.7,P
2026-07-13T21:50:31.688204,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,25,attn,avg,89.1,P
2026-07-13T21:51:27.850503,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,25,mlp,avg,73.5,P
2026-07-13T21:52:23.827229,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,26,attn,avg,81.1,P
2026-07-13T21:53:24.907215,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,26,mlp,avg,86.4,P
2026-07-13T21:54:19.615577,/workspace/merge_tools/hf_cache/models/Qwen2.5-Math-7B-Instruct,gsm8k-cot,27,attn,avg,91.2,P
