timestamp,step_idx,stage,op,component,layer,label,score,threshold,decision,scaled
2026-07-13T08:09:46.786677+00:00,-1,0,baseline,baseline,-1,MedGo,78.12,0.0,baseline,False
2026-07-13T08:12:02.140771+00:00,0,1,merge,mlp,15,MedGo,78.12,2.0,accepted,False
2026-07-13T08:15:17.830016+00:00,1,1,merge,mlp,17,MedGo,76.88,2.0,accepted,False
2026-07-13T08:16:05.991446+00:00,2,1,merge,mlp,13,MedGo,76.25,2.0,accepted,False
2026-07-13T08:16:45.631500+00:00,3,1,merge,mlp,19,MedGo,76.25,2.0,accepted,False
2026-07-13T08:17:23.777059+00:00,4,1,merge,mlp,11,MedGo,75.62,2.0,accepted,False
2026-07-13T08:18:02.413739+00:00,5,1,merge,mlp,21,MedGo,75.62,2.0,accepted,False
2026-07-13T08:18:47.266246+00:00,6,1,merge,mlp,8,MedGo,76.88,2.0,accepted,False
2026-07-13T08:19:26.512373+00:00,7,1,merge,mlp,24,MedGo,76.88,2.0,accepted,False
2026-07-13T08:20:05.238418+00:00,8,1,merge,mlp,26,MedGo,76.88,2.0,accepted,False
2026-07-13T08:20:50.069800+00:00,9,1,merge,mlp,3,MedGo,76.25,2.0,accepted,False
2026-07-13T08:21:35.645451+00:00,10,1,merge,mlp,28,MedGo,76.25,2.0,accepted,False
2026-07-13T08:22:14.868083+00:00,11,1,merge,mlp,30,MedGo,75.0,2.0,accepted,False
2026-07-13T08:22:52.456886+00:00,12,1,merge,mlp,39,MedGo,75.62,2.0,accepted,False
2026-07-13T08:23:30.185484+00:00,13,1,merge,mlp,41,MedGo,75.62,2.0,accepted,False
2026-07-13T08:24:07.842446+00:00,14,1,merge,mlp,44,MedGo,75.62,2.0,accepted,False
2026-07-13T08:24:45.373905+00:00,15,1,merge,mlp,46,MedGo,75.0,2.0,accepted,False
2026-07-13T08:25:29.198541+00:00,16,1,merge,mlp,48,MedGo,74.38,2.0,accepted,False
2026-07-13T08:26:07.759216+00:00,17,1,merge,mlp,50,MedGo,74.38,2.0,accepted,False
2026-07-13T08:26:45.114076+00:00,18,1,merge,mlp,52,MedGo,75.62,2.0,accepted,False
2026-07-13T08:27:22.711742+00:00,19,1,merge,mlp,55,MedGo,75.0,2.0,accepted,False
2026-07-13T08:28:00.145498+00:00,20,1,merge,mlp,57,MedGo,75.0,2.0,accepted,False
2026-07-13T08:28:37.208824+00:00,21,1,merge,mlp,59,MedGo,75.62,2.0,accepted,False
2026-07-13T08:29:17.155479+00:00,22,1,merge,mlp,63,MedGo,75.0,2.0,accepted,False
2026-07-13T08:29:55.157161+00:00,23,1,merge,mlp,61,MedGo,74.38,2.0,accepted,False
2026-07-13T08:30:31.870117+00:00,24,1,merge,mlp,0,MedGo,75.0,2.0,accepted,False
2026-07-13T08:31:08.842918+00:00,25,1,merge,mlp,16,MedGo,74.38,2.0,accepted,False
2026-07-13T08:31:45.867032+00:00,26,1,merge,mlp,14,MedGo,75.0,2.0,accepted,False
2026-07-13T08:32:28.818988+00:00,27,1,merge,mlp,18,MedGo,75.62,2.0,accepted,False
2026-07-13T08:33:07.336281+00:00,28,1,merge,mlp,20,MedGo,75.62,2.0,accepted,False
2026-07-13T08:33:44.751080+00:00,29,1,merge,mlp,10,MedGo,73.75,2.0,accepted,False
2026-07-13T08:34:21.585634+00:00,30,1,merge,mlp,22,MedGo,75.0,2.0,accepted,False
2026-07-13T08:34:58.823393+00:00,31,1,merge,mlp,27,MedGo,75.0,2.0,accepted,False
2026-07-13T08:35:35.936803+00:00,32,1,merge,mlp,2,MedGo,75.62,2.0,accepted,False
2026-07-13T08:36:13.161519+00:00,33,1,merge,mlp,29,MedGo,75.62,2.0,accepted,False
2026-07-13T08:36:50.216383+00:00,34,1,merge,mlp,31,MedGo,75.0,2.0,accepted,False
2026-07-13T08:37:27.114716+00:00,35,1,merge,mlp,42,MedGo,73.75,2.0,accepted,False
2026-07-13T08:38:03.987229+00:00,36,1,merge,mlp,45,MedGo,73.75,2.0,accepted,False
