timestamp,model,task,layer,variant,perturbation,score,split
2026-07-13T04:28:54.389677,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,-1,none,baseline,88.0,P
2026-07-13T04:30:36.310600,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,0,attn,avg,90.0,P
2026-07-13T04:32:18.211826,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,0,mlp,avg,92.0,P
2026-07-13T04:34:00.251237,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,1,attn,avg,90.0,P
2026-07-13T04:35:42.453702,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,1,mlp,avg,72.0,P
2026-07-13T04:37:24.338607,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,2,attn,avg,86.0,P
2026-07-13T04:39:06.232015,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,2,mlp,avg,84.0,P
2026-07-13T04:40:48.141520,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,3,attn,avg,92.0,P
2026-07-13T04:42:29.859650,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,3,mlp,avg,86.0,P
2026-07-13T04:44:11.584892,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,4,attn,avg,92.0,P
2026-07-13T04:45:53.357145,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,4,mlp,avg,92.0,P
2026-07-13T04:47:35.333197,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,5,attn,avg,88.0,P
2026-07-13T04:49:17.286169,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,5,mlp,avg,84.0,P
2026-07-13T04:50:59.530572,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,6,attn,avg,86.0,P
2026-07-13T04:52:41.650920,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,6,mlp,avg,54.0,P
2026-07-13T04:54:23.329221,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,7,attn,avg,90.0,P
2026-07-13T04:56:05.139794,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,7,mlp,avg,86.0,P
2026-07-13T04:57:46.834076,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,8,attn,avg,86.0,P
2026-07-13T04:59:28.578549,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,8,mlp,avg,86.0,P
2026-07-13T05:01:10.313111,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,9,attn,avg,88.0,P
2026-07-13T05:02:52.204473,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,9,mlp,avg,84.0,P
2026-07-13T05:04:34.015638,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,10,attn,avg,90.0,P
2026-07-13T05:06:15.916320,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,10,mlp,avg,86.0,P
2026-07-13T05:07:57.601992,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,11,attn,avg,88.0,P
2026-07-13T05:09:39.384376,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,11,mlp,avg,88.0,P
2026-07-13T05:11:21.365733,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,12,attn,avg,90.0,P
2026-07-13T05:13:03.389000,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,12,mlp,avg,88.0,P
2026-07-13T05:14:45.330256,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,13,attn,avg,86.0,P
2026-07-13T05:16:27.634678,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,13,mlp,avg,86.0,P
2026-07-13T05:18:09.830259,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,14,attn,avg,90.0,P
2026-07-13T05:19:51.890230,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,14,mlp,avg,92.0,P
2026-07-13T05:21:33.898440,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,15,attn,avg,90.0,P
2026-07-13T05:23:15.987253,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,15,mlp,avg,84.0,P
2026-07-13T05:24:58.007880,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,16,attn,avg,88.0,P
2026-07-13T05:26:39.969250,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,16,mlp,avg,86.0,P
2026-07-13T05:28:21.925748,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,17,attn,avg,86.0,P
2026-07-13T05:30:03.927873,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,17,mlp,avg,88.0,P
2026-07-13T05:31:46.133637,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,18,attn,avg,90.0,P
2026-07-13T05:33:28.194345,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,18,mlp,avg,86.0,P
2026-07-13T05:35:10.387562,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,19,attn,avg,88.0,P
2026-07-13T05:36:52.568626,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,19,mlp,avg,90.0,P
2026-07-13T05:38:34.658473,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,20,attn,avg,88.0,P
2026-07-13T05:40:16.933258,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,20,mlp,avg,86.0,P
2026-07-13T05:41:58.983299,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,21,attn,avg,90.0,P
2026-07-13T05:43:41.056240,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,21,mlp,avg,92.0,P
2026-07-13T05:45:23.196779,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,22,attn,avg,92.0,P
