timestamp,model,task,layer,variant,perturbation,score,split
2026-07-13T04:28:37.668143,/workspace/merge_tools/hf_cache/models/MedGo,medqa_4options,-1,none,baseline,79.4,P
2026-07-13T04:30:07.074173,/workspace/merge_tools/hf_cache/models/MedGo,medqa_4options,0,attn,avg,77.2,P
2026-07-13T04:31:36.187170,/workspace/merge_tools/hf_cache/models/MedGo,medqa_4options,0,mlp,avg,77.67,P
2026-07-13T04:33:05.348919,/workspace/merge_tools/hf_cache/models/MedGo,medqa_4options,1,attn,avg,78.3,P
2026-07-13T04:34:34.294724,/workspace/merge_tools/hf_cache/models/MedGo,medqa_4options,1,mlp,avg,63.99,P
2026-07-13T04:36:03.336224,/workspace/merge_tools/hf_cache/models/MedGo,medqa_4options,2,attn,avg,78.46,P
2026-07-13T04:37:32.405435,/workspace/merge_tools/hf_cache/models/MedGo,medqa_4options,2,mlp,avg,75.47,P
2026-07-13T04:39:01.789069,/workspace/merge_tools/hf_cache/models/MedGo,medqa_4options,3,attn,avg,78.46,P
2026-07-13T04:40:31.072971,/workspace/merge_tools/hf_cache/models/MedGo,medqa_4options,3,mlp,avg,74.84,P
2026-07-13T04:42:00.150488,/workspace/merge_tools/hf_cache/models/MedGo,medqa_4options,4,attn,avg,78.46,P
2026-07-13T04:43:29.260113,/workspace/merge_tools/hf_cache/models/MedGo,medqa_4options,4,mlp,avg,72.33,P
2026-07-13T04:44:58.322087,/workspace/merge_tools/hf_cache/models/MedGo,medqa_4options,5,attn,avg,79.09,P
2026-07-13T04:46:27.544812,/workspace/merge_tools/hf_cache/models/MedGo,medqa_4options,5,mlp,avg,72.01,P
2026-07-13T04:47:56.101879,/workspace/merge_tools/hf_cache/models/MedGo,medqa_4options,6,attn,avg,75.79,P
2026-07-13T04:49:24.615724,/workspace/merge_tools/hf_cache/models/MedGo,medqa_4options,6,mlp,avg,33.02,P
2026-07-13T04:50:53.054402,/workspace/merge_tools/hf_cache/models/MedGo,medqa_4options,7,attn,avg,77.36,P
2026-07-13T04:52:21.611848,/workspace/merge_tools/hf_cache/models/MedGo,medqa_4options,7,mlp,avg,74.21,P
2026-07-13T04:53:50.163137,/workspace/merge_tools/hf_cache/models/MedGo,medqa_4options,8,attn,avg,79.09,P
2026-07-13T04:55:18.400187,/workspace/merge_tools/hf_cache/models/MedGo,medqa_4options,8,mlp,avg,76.73,P
2026-07-13T04:56:46.824746,/workspace/merge_tools/hf_cache/models/MedGo,medqa_4options,9,attn,avg,80.03,P
2026-07-13T04:58:15.267078,/workspace/merge_tools/hf_cache/models/MedGo,medqa_4options,9,mlp,avg,76.73,P
2026-07-13T04:59:43.880543,/workspace/merge_tools/hf_cache/models/MedGo,medqa_4options,10,attn,avg,76.89,P
