timestamp,model,task,layer,variant,perturbation,score,split
2026-07-13T04:28:08.419978,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,-1,none,baseline,76.9,P
2026-07-13T04:29:08.210726,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,0,attn,avg,74.6,P
2026-07-13T04:30:07.995844,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,0,mlp,avg,63.7,P
2026-07-13T04:31:07.778969,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,1,attn,avg,76.6,P
2026-07-13T04:32:07.603704,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,1,mlp,avg,63.2,P
2026-07-13T04:33:07.452457,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,2,attn,avg,76.1,P
2026-07-13T04:34:07.415195,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,2,mlp,avg,73.2,P
2026-07-13T04:35:07.218257,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,3,attn,avg,76.9,P
2026-07-13T04:36:06.979535,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,3,mlp,avg,71.9,P
2026-07-13T04:37:06.836444,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,4,attn,avg,76.9,P
2026-07-13T04:38:06.672948,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,4,mlp,avg,71.0,P
2026-07-13T04:39:06.576302,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,5,attn,avg,76.7,P
2026-07-13T04:40:06.282548,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,5,mlp,avg,72.3,P
2026-07-13T04:41:06.029415,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,6,attn,avg,74.2,P
2026-07-13T04:42:05.669399,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,6,mlp,avg,33.6,P
2026-07-13T04:43:05.578780,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,7,attn,avg,76.1,P
2026-07-13T04:44:05.303161,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,7,mlp,avg,75.1,P
2026-07-13T04:45:05.076862,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,8,attn,avg,76.5,P
2026-07-13T04:46:05.390427,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,8,mlp,avg,75.4,P
2026-07-13T04:47:05.860307,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,9,attn,avg,77.1,P
2026-07-13T04:48:06.224140,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,9,mlp,avg,76.4,P
2026-07-13T04:49:06.577732,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,10,attn,avg,77.0,P
2026-07-13T04:50:06.909668,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,10,mlp,avg,76.5,P
2026-07-13T04:51:07.388557,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,11,attn,avg,76.8,P
2026-07-13T04:52:08.241278,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,11,mlp,avg,76.5,P
2026-07-13T04:53:08.614998,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,12,attn,avg,76.6,P
2026-07-13T04:54:08.521272,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,12,mlp,avg,76.9,P
2026-07-13T04:55:08.547508,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,13,attn,avg,76.0,P
2026-07-13T04:56:08.402187,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,13,mlp,avg,76.1,P
2026-07-13T04:57:08.259947,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,14,attn,avg,76.5,P
2026-07-13T04:58:08.073440,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,14,mlp,avg,75.8,P
2026-07-13T04:59:07.875347,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,15,attn,avg,76.0,P
2026-07-13T05:00:07.530409,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,15,mlp,avg,76.5,P
2026-07-13T05:01:07.218760,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,16,attn,avg,76.6,P
2026-07-13T05:02:07.068012,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,16,mlp,avg,76.6,P
2026-07-13T05:03:07.028402,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,17,attn,avg,76.8,P
2026-07-13T05:04:06.764990,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,17,mlp,avg,76.6,P
2026-07-13T05:05:06.760101,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,18,attn,avg,76.7,P
2026-07-13T05:06:06.415473,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,18,mlp,avg,76.5,P
2026-07-13T05:07:06.206429,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,19,attn,avg,76.3,P
2026-07-13T05:08:05.928292,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,19,mlp,avg,75.5,P
2026-07-13T05:09:05.597278,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,20,attn,avg,76.9,P
2026-07-13T05:10:05.392813,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,20,mlp,avg,76.5,P
2026-07-13T05:11:05.296272,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,21,attn,avg,76.1,P
2026-07-13T05:12:05.688080,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,21,mlp,avg,76.5,P
2026-07-13T05:13:05.656965,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,22,attn,avg,76.7,P
2026-07-13T05:14:05.731155,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,22,mlp,avg,77.0,P
2026-07-13T05:15:05.731503,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,23,attn,avg,77.0,P
2026-07-13T05:16:05.730336,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,23,mlp,avg,76.1,P
2026-07-13T05:17:05.663680,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,24,attn,avg,77.1,P
2026-07-13T05:18:05.546871,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,24,mlp,avg,76.3,P
2026-07-13T05:19:05.569701,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,25,attn,avg,76.8,P
2026-07-13T05:20:05.498550,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,25,mlp,avg,77.1,P
2026-07-13T05:21:05.384455,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,26,attn,avg,76.3,P
2026-07-13T05:22:05.311574,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,26,mlp,avg,75.7,P
2026-07-13T05:23:05.502598,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,27,attn,avg,76.3,P
2026-07-13T05:24:05.400655,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,27,mlp,avg,76.0,P
2026-07-13T05:25:05.402798,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,28,attn,avg,76.6,P
2026-07-13T05:26:05.333161,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,28,mlp,avg,76.3,P
2026-07-13T05:27:05.448840,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,29,attn,avg,76.4,P
2026-07-13T05:28:05.431286,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,29,mlp,avg,76.9,P
2026-07-13T05:29:05.324508,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,30,attn,avg,76.4,P
2026-07-13T05:30:05.257355,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,30,mlp,avg,75.8,P
2026-07-13T05:31:05.303840,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,31,attn,avg,76.5,P
2026-07-13T05:32:06.208229,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,31,mlp,avg,74.9,P
2026-07-13T05:33:06.440634,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,32,attn,avg,76.5,P
2026-07-13T05:34:06.656841,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,32,mlp,avg,76.0,P
2026-07-13T05:35:07.011278,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,33,attn,avg,76.5,P
2026-07-13T05:36:08.009013,/workspace/merge_tools/hf_cache/models/T-pro-it-2.0,m_mmlu_ru,33,mlp,avg,76.4,P
