op,component,layer,models
merge,mlp_gate,9,"Light-IF-32B:12,MedGo:12,T-pro-it-2.0:9"
merge,mlp_gate,53,"Light-IF-32B:53,MedGo:53,T-pro-it-2.0:53"
merge,attn_v,12,"Light-IF-32B:12,MedGo:12,T-pro-it-2.0:12"
merge,attn_o,50,"Light-IF-32B:24,MedGo:24,T-pro-it-2.0:50"
merge,attn_o,60,"Light-IF-32B:37,MedGo:37,T-pro-it-2.0:60"
merge,attn_o,32,"Light-IF-32B:25,MedGo:25,T-pro-it-2.0:32"
merge,attn_o,35,"Light-IF-32B:38,MedGo:38,T-pro-it-2.0:35"
merge,attn_q,47,"Light-IF-32B:61,MedGo:61,T-pro-it-2.0:47"
merge,attn_k,11,"Light-IF-32B:23,MedGo:23,T-pro-it-2.0:11"
merge,attn_o,11,"Light-IF-32B:10,MedGo:10,T-pro-it-2.0:11"
merge,attn_o,24,"Light-IF-32B:34,MedGo:34,T-pro-it-2.0:24"
