timestamp,model,task,layer,variant,perturbation,score,split
2026-08-19T19:13:46.123343,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,-1,none,baseline,88.0,P
2026-08-19T19:15:27.567280,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,0,attn,avg,90.0,P
2026-08-19T19:17:09.054695,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,0,mlp,avg,92.0,P
2026-08-19T19:18:50.526408,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,1,attn,avg,90.0,P
2026-08-19T19:20:32.214347,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,1,mlp,avg,72.0,P
2026-08-19T19:22:14.085759,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,2,attn,avg,86.0,P
2026-08-19T19:23:55.966577,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,2,mlp,avg,84.0,P
2026-08-19T19:25:38.270928,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,3,attn,avg,92.0,P
2026-08-19T19:27:19.805648,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,3,mlp,avg,86.0,P
2026-08-19T19:29:01.413075,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,4,attn,avg,92.0,P
2026-08-19T19:30:43.096310,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,4,mlp,avg,92.0,P
2026-08-19T19:32:26.355951,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,5,attn,avg,88.0,P
2026-08-19T19:34:07.734940,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,5,mlp,avg,84.0,P
2026-08-19T19:35:49.916443,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,6,attn,avg,86.0,P
2026-08-19T19:37:31.779143,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,6,mlp,avg,54.0,P
2026-08-19T19:39:13.645958,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,7,attn,avg,90.0,P
2026-08-19T19:40:55.475836,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,7,mlp,avg,86.0,P
2026-08-19T19:42:37.511031,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,8,attn,avg,86.0,P
2026-08-19T19:44:19.408775,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,8,mlp,avg,86.0,P
2026-08-19T19:46:01.095657,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,9,attn,avg,88.0,P
2026-08-19T19:47:42.772838,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,9,mlp,avg,84.0,P
2026-08-19T19:49:24.340243,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,10,attn,avg,90.0,P
2026-08-19T19:51:06.253659,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,10,mlp,avg,86.0,P
2026-08-19T19:52:48.132000,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,11,attn,avg,88.0,P
2026-08-19T19:54:29.978823,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,11,mlp,avg,88.0,P
2026-08-19T19:56:11.983189,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,12,attn,avg,90.0,P
2026-08-19T19:57:54.241395,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,12,mlp,avg,88.0,P
2026-08-19T19:59:36.324505,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,13,attn,avg,86.0,P
2026-08-19T20:01:18.421855,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,13,mlp,avg,86.0,P
2026-08-19T20:03:00.639230,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,14,attn,avg,90.0,P
2026-08-19T20:04:42.707292,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,14,mlp,avg,92.0,P
2026-08-19T20:06:24.752311,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,15,attn,avg,90.0,P
2026-08-19T20:08:06.713053,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,15,mlp,avg,84.0,P
2026-08-19T20:09:48.436784,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,16,attn,avg,88.0,P
2026-08-19T20:11:30.444194,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,16,mlp,avg,86.0,P
2026-08-19T20:13:12.355851,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,17,attn,avg,86.0,P
2026-08-19T20:14:54.192325,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,17,mlp,avg,88.0,P
2026-08-19T20:16:36.174916,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,18,attn,avg,90.0,P
2026-08-19T20:18:18.562286,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,18,mlp,avg,86.0,P
2026-08-19T20:20:00.610732,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,19,attn,avg,88.0,P
2026-08-19T20:21:42.495292,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,19,mlp,avg,90.0,P
2026-08-19T20:23:24.949760,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,20,attn,avg,88.0,P
2026-08-19T20:25:07.374785,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,20,mlp,avg,86.0,P
2026-08-19T20:26:49.791820,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,21,attn,avg,90.0,P
2026-08-19T20:28:32.093844,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,21,mlp,avg,92.0,P
2026-08-19T20:30:14.166298,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,22,attn,avg,92.0,P
2026-08-19T20:31:56.203501,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,22,mlp,avg,88.0,P
2026-08-19T20:33:38.218424,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,23,attn,avg,88.0,P
2026-08-19T20:35:20.282234,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,23,mlp,avg,90.0,P
2026-08-19T20:37:02.383961,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,24,attn,avg,86.0,P
2026-08-19T20:38:44.435540,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,24,mlp,avg,88.0,P
2026-08-19T20:40:26.535171,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,25,attn,avg,86.0,P
2026-08-19T20:42:08.668078,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,25,mlp,avg,88.0,P
2026-08-19T20:43:50.851633,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,26,attn,avg,86.0,P
2026-08-19T20:45:33.120174,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,26,mlp,avg,90.0,P
2026-08-19T20:47:15.424584,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,27,attn,avg,88.0,P
2026-08-19T20:48:57.777785,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,27,mlp,avg,90.0,P
2026-08-19T20:50:39.998236,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,28,attn,avg,90.0,P
2026-08-19T20:52:22.233074,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,28,mlp,avg,90.0,P
2026-08-19T20:54:04.519870,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,29,attn,avg,90.0,P
2026-08-19T20:55:46.573414,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,29,mlp,avg,90.0,P
2026-08-19T20:57:28.521659,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,30,attn,avg,86.0,P
2026-08-19T20:59:10.505850,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,30,mlp,avg,88.0,P
2026-08-19T21:00:52.822864,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,31,attn,avg,88.0,P
2026-08-19T21:02:34.775122,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,31,mlp,avg,88.0,P
2026-08-19T21:04:16.717796,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,32,attn,avg,92.0,P
2026-08-19T21:05:58.730035,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,32,mlp,avg,90.0,P
2026-08-19T21:07:40.664912,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,33,attn,avg,90.0,P
2026-08-19T21:09:22.765424,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,33,mlp,avg,86.0,P
2026-08-19T21:11:04.827271,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,34,attn,avg,86.0,P
2026-08-19T21:12:47.007994,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,34,mlp,avg,90.0,P
2026-08-19T21:14:29.240468,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,35,attn,avg,86.0,P
2026-08-19T21:16:11.117493,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,35,mlp,avg,88.0,P
2026-08-19T21:17:53.071204,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,36,attn,avg,90.0,P
2026-08-19T21:19:35.007475,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,36,mlp,avg,86.0,P
2026-08-19T21:21:16.885913,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,37,attn,avg,86.0,P
2026-08-19T21:22:58.765995,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,37,mlp,avg,82.0,P
2026-08-19T21:24:40.586087,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,38,attn,avg,88.0,P
2026-08-19T21:26:22.433686,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,38,mlp,avg,82.0,P
2026-08-19T21:28:04.245360,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,39,attn,avg,86.0,P
2026-08-19T21:29:46.085606,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,39,mlp,avg,88.0,P
2026-08-19T21:31:27.989535,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,40,attn,avg,82.0,P
2026-08-19T21:33:09.805558,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,40,mlp,avg,80.0,P
2026-08-19T21:34:51.570072,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,41,attn,avg,84.0,P
2026-08-19T21:36:33.398838,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,41,mlp,avg,86.0,P
2026-08-19T21:38:15.124239,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,42,attn,avg,82.0,P
2026-08-19T21:39:56.991814,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,42,mlp,avg,86.0,P
2026-08-19T21:41:39.179068,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,43,attn,avg,86.0,P
2026-08-19T21:43:21.084150,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,43,mlp,avg,82.0,P
2026-08-19T21:45:03.077823,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,44,attn,avg,86.0,P
2026-08-19T21:46:45.179888,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,44,mlp,avg,88.0,P
2026-08-19T21:48:27.310972,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,45,attn,avg,88.0,P
2026-08-19T21:50:09.423241,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,45,mlp,avg,88.0,P
2026-08-19T21:51:52.025006,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,46,attn,avg,86.0,P
2026-08-19T21:53:34.313986,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,46,mlp,avg,88.0,P
2026-08-19T21:55:16.502705,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,47,attn,avg,86.0,P
2026-08-19T21:56:58.838726,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,47,mlp,avg,88.0,P
2026-08-19T21:58:41.170880,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,48,attn,avg,90.0,P
2026-08-19T22:00:23.389063,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,48,mlp,avg,88.0,P
2026-08-19T22:02:06.274899,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,49,attn,avg,90.0,P
2026-08-19T22:03:48.699010,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,49,mlp,avg,82.0,P
2026-08-19T22:05:30.544266,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,50,attn,avg,90.0,P
2026-08-19T22:07:12.256581,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,50,mlp,avg,92.0,P
2026-08-19T22:08:54.050831,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,51,attn,avg,84.0,P
2026-08-19T22:10:35.846187,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,51,mlp,avg,86.0,P
2026-08-19T22:12:17.751289,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,52,attn,avg,90.0,P
2026-08-19T22:13:59.837091,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,52,mlp,avg,90.0,P
2026-08-19T22:15:41.866456,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,53,attn,avg,86.0,P
2026-08-19T22:17:23.824356,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,53,mlp,avg,88.0,P
2026-08-19T22:19:05.772200,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,54,attn,avg,90.0,P
2026-08-19T22:20:47.374544,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,54,mlp,avg,90.0,P
2026-08-19T22:22:28.937783,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,55,attn,avg,90.0,P
2026-08-19T22:24:10.353254,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,55,mlp,avg,88.0,P
2026-08-19T22:25:51.702339,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,56,attn,avg,90.0,P
2026-08-19T22:27:33.091405,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,56,mlp,avg,90.0,P
2026-08-19T22:29:14.573529,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,57,attn,avg,90.0,P
2026-08-19T22:30:56.048568,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,57,mlp,avg,88.0,P
2026-08-19T22:32:37.636421,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,58,attn,avg,88.0,P
2026-08-19T22:34:19.234145,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,58,mlp,avg,90.0,P
2026-08-19T22:36:00.958650,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,59,attn,avg,88.0,P
2026-08-19T22:37:42.437357,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,59,mlp,avg,88.0,P
2026-08-19T22:39:23.945779,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,60,attn,avg,90.0,P
2026-08-19T22:41:05.571751,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,60,mlp,avg,88.0,P
2026-08-19T22:42:47.355734,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,61,attn,avg,90.0,P
2026-08-19T22:44:28.893347,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,61,mlp,avg,88.0,P
2026-08-19T22:46:10.421845,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,62,attn,avg,88.0,P
2026-08-19T22:47:51.862355,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,62,mlp,avg,90.0,P
2026-08-19T22:49:33.162079,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,63,attn,avg,92.0,P
2026-08-19T22:51:14.711562,/workspace/merge_tools/hf_cache/models/Light-IF-32B,tinyMMLU,63,mlp,avg,86.0,P
