timestamp,model,task,layer,variant,perturbation,score,split
2026-08-19T19:13:32.772493,/workspace/merge_tools/hf_cache/models/MedGo,medqa_4options,-1,none,baseline,79.4,P
2026-08-19T19:15:01.344669,/workspace/merge_tools/hf_cache/models/MedGo,medqa_4options,0,attn,avg,77.2,P
2026-08-19T19:16:29.707928,/workspace/merge_tools/hf_cache/models/MedGo,medqa_4options,0,mlp,avg,77.67,P
2026-08-19T19:17:58.180543,/workspace/merge_tools/hf_cache/models/MedGo,medqa_4options,1,attn,avg,78.3,P
2026-08-19T19:19:26.645433,/workspace/merge_tools/hf_cache/models/MedGo,medqa_4options,1,mlp,avg,63.99,P
2026-08-19T19:20:54.977538,/workspace/merge_tools/hf_cache/models/MedGo,medqa_4options,2,attn,avg,78.46,P
2026-08-19T19:22:23.408612,/workspace/merge_tools/hf_cache/models/MedGo,medqa_4options,2,mlp,avg,75.47,P
2026-08-19T19:23:51.776293,/workspace/merge_tools/hf_cache/models/MedGo,medqa_4options,3,attn,avg,78.46,P
2026-08-19T19:25:20.189665,/workspace/merge_tools/hf_cache/models/MedGo,medqa_4options,3,mlp,avg,74.84,P
2026-08-19T19:26:48.811010,/workspace/merge_tools/hf_cache/models/MedGo,medqa_4options,4,attn,avg,78.46,P
2026-08-19T19:28:17.183134,/workspace/merge_tools/hf_cache/models/MedGo,medqa_4options,4,mlp,avg,72.33,P
2026-08-19T19:29:45.506256,/workspace/merge_tools/hf_cache/models/MedGo,medqa_4options,5,attn,avg,79.09,P
2026-08-19T19:31:13.888272,/workspace/merge_tools/hf_cache/models/MedGo,medqa_4options,5,mlp,avg,72.01,P
2026-08-19T19:32:42.163228,/workspace/merge_tools/hf_cache/models/MedGo,medqa_4options,6,attn,avg,75.79,P
2026-08-19T19:34:10.478233,/workspace/merge_tools/hf_cache/models/MedGo,medqa_4options,6,mlp,avg,33.02,P
2026-08-19T19:35:38.805309,/workspace/merge_tools/hf_cache/models/MedGo,medqa_4options,7,attn,avg,77.36,P
