scenario,Request Rate (RPS),Output Token Throughput (tok/s),Median TTFT (ms),P95 TTFT (ms),P99 TTFT (ms)
ds_2ds_40gb_before,1.0,874.04,21.63,1279.22,2508.7
ds_2ds_40gb_before,2.0,841.9,36161.82,77111.72,79472.08
ds_2ds_40gb_before,3.0,842.17,48319.2,99746.65,102681.14
ds_2ds_40gb_before,5.0,845.37,58381.91,117145.27,121441.59
ds_2ds_40gb_before,7.0,845.0,62658.76,125151.95,129760.24
ds_2ds_40gb_before,10.0,849.76,65169.06,130094.48,134970.8
ds_2ds_40gb_after,1.0,874.46,19.46,29.74,301.16
ds_2ds_40gb_after,2.0,1651.88,246.69,3711.54,5325.63
ds_2ds_40gb_after,3.0,1645.86,7375.0,22810.23,24337.73
ds_2ds_40gb_after,5.0,1654.22,16784.36,41098.93,44048.09
ds_2ds_40gb_after,7.0,1662.0,21262.98,47075.32,50130.75
ds_2ds_40gb_after,10.0,1666.03,27179.33,52183.5,55994.14
qwen_2qwen_40gb_before,3.0,2405.54,193.72,3534.64,4123.4
qwen_2qwen_40gb_before,5.0,2564.29,2447.29,13293.86,15020.85
qwen_2qwen_40gb_before,7.0,2553.96,6661.73,20281.99,20785.9
qwen_2qwen_40gb_before,10.0,2575.16,9641.77,25798.28,29202.4
qwen_2qwen_40gb_after,3.0,2422.53,308.47,3289.04,4028.51
qwen_2qwen_40gb_after,5.0,2529.43,2441.25,12649.43,13528.57
qwen_2qwen_40gb_after,7.0,2541.24,6176.7,20604.52,24150.89
qwen_2qwen_40gb_after,10.0,2576.06,9857.19,25766.89,29293.62
llama_5llama_141gb_before,20.0,1434.54,206899.29,401391.79,414964.48
llama_5llama_141gb_before,25.0,1436.87,210406.85,407080.31,425627.41
llama_5llama_141gb_before,50.0,1433.76,218866.95,423019.51,441765.84
llama_5llama_141gb_before,75.0,1434.76,219986.81,426355.89,445613.26
llama_5llama_141gb_after,20.0,10161.36,81.1,12924.0,13710.38
llama_5llama_141gb_after,25.0,10227.4,83.4,16870.01,17369.89
llama_5llama_141gb_after,50.0,10115.14,88.18,169.64,207.09
llama_5llama_141gb_after,75.0,9944.37,96.46,168.25,201.28
llama_qwen-llama_141gb_tp2_before,15.0,3370.4,33285.25,69570.77,73047.94
llama_qwen-llama_141gb_tp2_before,20.0,3416.71,36222.05,72538.62,75492.63
llama_qwen-llama_141gb_tp2_before,25.0,3436.43,37421.13,74995.05,81601.34
llama_qwen-llama_141gb_tp2_before,30.0,3406.83,38862.47,78621.84,81957.06
qwen_qwen-llama_141gb_tp2_before,25.0,5946.88,20394.73,46915.23,47704.13
qwen_qwen-llama_141gb_tp2_before,30.0,5939.33,21173.52,46035.29,49527.05
qwen_qwen-llama_141gb_tp2_before,35.0,5946.95,22229.18,48799.56,51940.92
qwen_qwen-llama_141gb_tp2_before,40.0,5991.25,22754.3,49212.93,52774.25
llama_qwen-llama_141gb_tp2_after,15.0,10598.38,39.04,52.35,61.36
llama_qwen-llama_141gb_tp2_after,20.0,10900.14,46.91,377.27,4824.51
llama_qwen-llama_141gb_tp2_after,25.0,10922.06,48.11,6687.36,7666.26
llama_qwen-llama_141gb_tp2_after,30.0,11549.3,49.12,7426.46,7870.78
qwen_qwen-llama_141gb_tp2_after,25.0,13829.36,53.23,105.86,368.25
qwen_qwen-llama_141gb_tp2_after,30.0,13730.03,51.78,109.5,579.29
qwen_qwen-llama_141gb_tp2_after,35.0,14585.46,56.87,112.9,139.56
qwen_qwen-llama_141gb_tp2_after,40.0,14924.53,63.34,114.07,235.05
ds_ds-llama-qwen_141gb_tp2_before,1.0,803.14,17.65,724.56,1203.8
ds_ds-llama-qwen_141gb_tp2_before,2.0,1041.76,2351.33,10819.15,12051.56
ds_ds-llama-qwen_141gb_tp2_before,3.0,1056.58,6702.43,18319.66,19725.96
ds_ds-llama-qwen_141gb_tp2_before,5.0,1061.22,10546.69,24654.08,26186.76
llama_ds-llama-qwen_141gb_tp2_before,3.0,2547.03,19.4,2666.74,3759.82
llama_ds-llama-qwen_141gb_tp2_before,5.0,3242.67,2426.73,6581.29,8780.88
llama_ds-llama-qwen_141gb_tp2_before,7.0,3309.03,5232.74,16474.61,18552.23
llama_ds-llama-qwen_141gb_tp2_before,10.0,3325.74,11105.41,23779.12,26692.72
qwen_ds-llama-qwen_141gb_tp2_before,7.0,5448.55,28.43,1882.65,2233.9
qwen_ds-llama-qwen_141gb_tp2_before,10.0,5651.84,1226.61,4522.93,7734.62
qwen_ds-llama-qwen_141gb_tp2_before,15.0,5862.44,3806.28,12999.14,15771.9
ds_ds-llama-qwen_141gb_tp2_after,1.0,840.05,18.43,23.23,27.99
ds_ds-llama-qwen_141gb_tp2_after,2.0,1564.82,17.12,19.81,23.39
ds_ds-llama-qwen_141gb_tp2_after,3.0,2158.19,17.75,20.56,66.51
ds_ds-llama-qwen_141gb_tp2_after,5.0,3116.56,20.11,24.39,25.09
llama_ds-llama-qwen_141gb_tp2_after,3.0,2547.64,19.14,23.48,27.36
llama_ds-llama-qwen_141gb_tp2_after,5.0,4058.58,20.59,24.6,25.92
llama_ds-llama-qwen_141gb_tp2_after,7.0,5408.01,23.05,30.68,32.9
llama_ds-llama-qwen_141gb_tp2_after,10.0,7126.24,29.69,37.18,41.19
qwen_ds-llama-qwen_141gb_tp2_after,7.0,5622.66,25.44,32.25,34.86
qwen_ds-llama-qwen_141gb_tp2_after,10.0,7552.96,27.74,35.83,37.67
qwen_ds-llama-qwen_141gb_tp2_after,15.0,9934.0,31.45,44.16,48.08
